"","FG0_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","AL0_hpft","I0_hpft","CF0_hpft","FG0_hpft","SA0_hpft","P0_hpft","Y0_hpft","I0_hpft","V0_hpft","TA0_hpft"
"2018-01-02",1446.75805897948,53172.4857551223,3796.44548055968,59.5319628369838,53172.4857551223,3796.44548055968,59.5319628369838,15016.435099153,499.038021007679,15232.3470254855,1446.75805897948,NA,5323.60441258393,5865.70273702586,499.038021007679,6643.15495367477,5455.17550534834
"2018-01-03",1447.07746243037,53168.8578098052,3796.24066754653,59.649932755398,53168.8578098052,3796.24066754653,59.649932755398,15005.0307981221,498.981553504843,15238.0027393368,1447.07746243037,NA,5320.20968447401,5862.83767451635,498.981553504843,6643.26644031162,5458.77133086866
"2018-01-04",1447.37987792223,53164.4868308143,3796.00159272198,59.767412262395,53164.4868308143,3796.00159272198,59.767412262395,14993.6598854055,498.916613921609,15243.8289810743,1447.37987792223,NA,5316.79409717313,5860.0033868076,498.916613921609,6643.40681310569,5462.36919842259
"2018-01-05",1447.66525777432,53159.3791691856,3795.72893812814,59.8843833730256,53159.3791691856,3795.72893812814,59.8843833730256,14982.3266117979,498.84302396995,15249.8262579185,1447.66525777432,NA,5313.35841878073,5857.20060855037,498.84302396995,6643.5756155734,5465.96917112764
"2018-01-08",1447.93356406957,53153.5420669574,3795.42339531377,60.0008289797276,53153.5420669574,3795.42339531377,60.0008289797276,14971.0352885849,498.760623790826,15255.9949804341,1447.93356406957,NA,5309.90343360244,5854.4300595131,498.760623790826,6643.77246629457,5469.57138304661
"2018-01-09",1448.18476398952,53146.9835311399,3795.08565676634,60.1167326799744,53146.9835311399,3795.08565676634,60.1167326799744,14959.7903211631,498.669269917783,15262.3355261883,1448.18476398952,NA,5306.42994605035,5851.69244574031,498.669269917783,6643.99706090929,5473.17603604605
"2018-01-10",1448.41885119821,53139.7122038541,3794.71642430562,60.2320788562792,53139.7122038541,3794.71642430562,60.2320788562792,14948.5961434366,498.56884233813,15268.8482392693,1448.41885119821,NA,5302.93875974977,5848.98843258963,498.56884233813,6644.24917203663,5476.78342228212
"2018-01-11",1448.63584367156,53131.7374973169,3794.31640963658,60.3468532813968,53131.7374973169,3794.31640963658,60.3468532813968,14937.4572369322,498.45924659758,15275.5334565986,1448.63584367156,NA,5299.43070294985,5846.31866157091,498.45924659758,6644.52863471426,5480.39392436399
"2018-01-12",1448.8357840139,53123.0695100415,3793.88634690286,60.4610430789078,53123.0695100415,3793.88634690286,60.4610430789078,14926.3781292269,498.340412601534,15282.3915073066,1448.8357840139,NA,5295.90661508578,5843.68375311743,498.340412601534,6644.83533182651,5484.00800476879
"2018-01-15",1449.01873440803,53113.7191582729,3793.42698830512,60.5746366964472,53113.7191582729,3793.42698830512,60.5746366964472,14915.3634605556,498.212294040455,15289.4227141035,1449.01873440803,NA,5292.36734740212,5841.08430272909,498.212294040455,6645.16918572171,5487.62620104234
"2018-01-16",1449.18477570581,53103.698051435,3792.93908443759,60.6876242098536,53103.698051435,3792.93908443759,60.6876242098536,14904.417938788,498.074863478662,15296.6274503802,1449.18477570581,NA,5288.81373712783,5838.5208622205,498.074863478662,6645.53019322117,5491.24911769138
"2018-01-17",1449.33400363233,53093.0185745294,3792.42338943818,60.7999974456961,53093.0185745294,3792.42338943818,60.7999974456961,14893.5463605163,497.92810930708,15304.0061001007,1449.33400363233,NA,5285.2466072858,5835.99394162201,497.92810930708,6645.91841928045,5494.87743047511
"2018-01-18",1449.46652417027,53081.6936070607,3791.88065622994,60.9117495501415,53081.6936070607,3791.88065622994,60.9117495501415,14882.7534564352,497.772032906473,15311.559025888,1449.46652417027,NA,5281.66675576093,5833.50400527903,497.772032906473,6646.33392243569,5498.51188160062
"2018-01-19",1449.5824530849,53069.7362298328,3791.31165202856,61.0228750003779,53069.7362298328,3791.31165202856,61.0228750003779,14872.0438482999,497.606649534907,15319.2865494402,1449.5824530849,NA,5278.07493776016,5831.05146462957,497.606649534907,6646.77672984137,5502.15325176816
"2018-01-22",1449.68192082957,53057.1597668302,3790.71717179408,61.1333694137447,53057.1597668302,3790.71717179408,61.1333694137447,14861.4220492546,497.43199066573,15327.1890517475,1449.68192082957,NA,5274.47188134639,5828.63668502023,497.43199066573,6647.2468598333,5505.80236362908
"2018-01-23",1449.76507373794,53043.9778066987,3790.09806616126,61.2432294191204,53043.9778066987,3790.09806616126,61.2432294191204,14850.8925281952,497.24810674275,15335.266936831,1449.76507373794,NA,5270.85826164153,5826.25996853231,497.24810674275,6647.74434034701,5509.4600786272
"2018-01-24",1449.83206447548,53030.2042864789,3789.45524209879,61.3524528055356,53030.2042864789,3789.45524209879,61.3524528055356,14840.4596707579,497.055066012302,15343.5206615423,1449.83206447548,NA,5267.23471885022,5823.92158226192,497.055066012302,6648.26921285672,5513.12732111873
"2018-01-25",1449.88305117853,53015.8534226522,3788.7896569647,61.4610386958354,53015.8534226522,3788.7896569647,61.4610386958354,14830.1277795384,496.852946745525,15351.9507714962,1449.88305117853,NA,5263.6018647138,5821.62176591574,496.852946745525,6648.82154870434,5516.80508430077
"2018-01-26",1449.91819577305,53000.9393076072,3788.10232910601,61.5689880843732,53000.9393076072,3788.10232910601,61.5689880843732,14819.9010742701,496.641837524783,15360.5578749223,1449.91819577305,NA,5259.96029558235,5819.36074104494,496.641837524783,6649.40149021828,5520.49446093752
"2018-01-29",1449.93767594097,52985.4763744023,3787.39435012151,61.6763035234375,52985.4763744023,3787.39435012151,61.6763035234375,14809.783758099,496.42184042745,15369.3426474485,1449.93767594097,NA,5256.3105922628,5817.13871116952,496.42184042745,6650.00926495291,5524.19664514686
"2018-01-30",1449.94168386571,52969.4792334519,3786.66687646505,61.7829894961267,52969.4792334519,3786.66687646505,61.7829894961267,14799.7799536074,496.193066772822,15378.3058306092,1449.94168386571,NA,5252.65332235101,5814.95587015282,496.193066772822,6650.64521645076,5527.91292012808
"2018-01-31",1449.9304311843,52952.96274919,3785.92112973837,61.8890520743658,52952.96274919,3785.92112973837,61.8890520743658,14789.8937255961,495.955635352983,15387.4481786119,1449.9304311843,NA,5248.98905331442,5812.8124105609,495.955635352983,6651.30978125638,5531.64465828479
"2018-02-01",1449.90414774574,52935.9417862664,3785.15838707113,61.9944982423731,52935.9417862664,3785.15838707113,61.9944982423731,14780.1290025484,495.709673767486,15396.7703946942,1449.90414774574,NA,5245.31832672214,5810.70848901572,495.709673767486,6652.00347625284,5535.39330150112
