"","AL0_hpfc","CN_10yry_hpfc","US_10yry_hpfc","UK_10yry_hpfc","GR_10yry_hpfc","IT_10yry_hpfc","AU_10yry_hpfc","INA_10yry_hpfc","IND_10yry_hpfc"
"2010-05-26",-430.998058675114,NA,-0.125577207441998,-0.104989994247272,-0.189013054877353,0.0117830325534486,-0.0500052187516393,0.00713981744881757,-0.000354305963981391
"2010-05-27",-404.753109551194,NA,-0.0873209096820976,-0.0976297607208004,-0.122378064101981,0.0594571792450995,-0.0362701542568101,0.0147465245014326,-0.000358271097438651
"2010-05-28",-278.840984820623,NA,0.0509468492286932,-0.166358220243125,-0.0857777815488877,0.14513207006179,0.0544661670552502,0.0463634581214344,-0.0003621456573673
"2010-05-31",-353.267607495985,NA,0.0292234898873902,-0.0653775108075225,-0.0592140169497889,0.189808030963975,0.00820144130001602,0.0499898879829713,-0.000365924451075484
"2010-06-01",-478.038785328259,NA,0.0275064118316363,-0.00048970164147551,-0.0826885445792379,0.202485327920354,-0.0360666579211413,0.0626250645953752,-0.000369602136174987
"2010-06-02",-688.160180041358,NA,0.025793002519255,-0.00969683494802184,-0.146203114235184,0.24916414844061,-0.0263404603970247,0.0342682178041804,-0.00037317321901905
"2010-06-03",-658.637255757603,NA,0.0940806380380253,-0.00360095272778606,-0.0897594415355582,0.313844596335141,0.0533777189920924,0.0649185515682416,-0.000376632053182158
"2010-06-04",-854.47519214097,NA,0.142366683813947,0.00249590702689391,-0.0133591816635579,0.337526672419904,0.0720855762540237,0.0955752556813151,-0.000379972837984056
"2010-06-07",-1595.6788966023,NA,-0.0393515336161397,-0.0189082921878284,-0.0370039526996524,0.310210247780117,-0.0452192146676436,0.0752374931024311,-0.000383189617060051
"2010-06-08",-1282.25292334539,NA,-0.061076746564077,0.0288844120924876,-0.130695367202051,0.374895053981046,-0.0205390096265458,0.0389043872836604,-0.000386276276979862
"2010-06-09",-859.201166986119,NA,-0.0428116710753141,-0.0346280098517857,-0.174435022433049,0.348580694359518,-0.040876145784602,0.0435750305769045,-0.000389226545917915
