"","T00C1_hpfc","CN_10yry_hpfc","USDCNH_hpfc","CN_5yry_hpfc","CN_2yry_hpfc","IH00C1_hpfc","IF00C1_hpfc","SPX_hpfc"
"2013-05-30",NA,-0.0925414052599709,-0.0160856644645832,-0.170387985305801,-0.122309188137682,NA,182.812278441761,38.3603129627295
"2013-05-31",NA,-0.094897875012781,-0.00105041594559185,-0.162804061677822,-0.11101474647613,NA,159.477758257654,13.3935435462418
"2013-06-03",NA,-0.0844705384384636,-0.0222679082738885,-0.16411405153429,-0.105527913136216,NA,158.152013895118,21.7827608627932
"2013-06-04",NA,-0.0838516402961427,-0.0202480691441415,-0.163993172005863,-0.108094929371979,NA,125.433354406268,11.45779420974
"2013-06-05",NA,-0.0751723259628911,-0.0204320110905519,-0.151120953093337,-0.0998250506861058,NA,118.320023469528,-12.3015361196915
"2013-06-06",NA,-0.0613658960282431,-0.0206196917123819,-0.142230418961102,-0.0971172855314822,NA,101.010212914231,0.0845854315190131
"2013-06-07",NA,-0.0595322866750767,-0.00901106016313586,-0.117921197973068,-0.0809706010975998,NA,44.3020656609643,19.6359795053668
"2013-06-13",NA,-0.0826925136452536,-0.00353323758118197,-0.120038100308996,-0.0776947920112386,NA,-46.8063171232432,7.59058262152059
"2013-06-14",NA,-0.0869530122985407,-0.0107486587069229,-0.12444610934709,-0.0826110442367241,NA,-33.1168525840552,-3.28447053691896
"2013-06-17",NA,-0.0899162142918764,-0.0139136767330686,-0.0802110648197947,-0.0318124663213659,NA,-30.831438519285,7.78461188255306
"2013-06-18",NA,-0.0916678292969769,-0.00614134888457009,-0.0862837257654396,-0.0352128551657586,NA,-20.1519590375705,19.3176394881369
"2013-06-19",NA,-0.0828229494262188,-0.00827188314830455,-0.0820304964921005,0.0254389821898782,NA,-28.680285503082,-4.79558132982232
"2013-06-20",NA,-0.0283477903788829,-0.0128051917339519,-0.018350488135626,0.0965443769024674,NA,-92.2182809499667,-46.7652521661068
"2013-06-21",NA,0.0706581330478965,-0.00994118343192253,0.105157222076346,0.3931046496134,NA,-104.767796557108,-43.7515726332039
