"","IH00C1_hpft","SPX_hpft","FTSE_hpft"
"2015-03-26",NA,2084.75473336617,6840.83375477967
"2015-03-27",NA,2085.10356585296,6841.51239984343
"2015-03-30",NA,2085.43947299161,6842.10152494786
"2015-03-31",NA,2085.76231482267,6842.59977958972
"2015-04-01",NA,2086.07195171766,6843.00583365621
"2015-04-02",NA,2086.36823666037,6843.31832828144
"2015-04-03",NA,NA,NA
"2015-04-07",NA,2086.9201109806,6843.53589074966
"2015-04-08",NA,2087.17536597712,6843.65714426975
"2015-04-09",NA,2087.41660390437,6843.68076092394
"2015-04-10",NA,2087.6436497672,6843.60545154825
"2015-04-13",NA,2087.85633012609,6843.42999794394
"2015-04-14",NA,2088.05447750066,6843.15328366672
"2015-04-15",NA,2088.23792630114,6842.77428357121
"2015-04-16",NA,2088.40651415594,6842.29206845546
"2015-04-17",3330.07056684096,2088.560086296,6841.7058141135
"2015-04-20",3320.02509283837,2088.69849480726,6841.01478651679
"2015-04-21",3309.97958739126,2088.82158872499,6840.21831484957
"2015-04-22",3299.93394745084,2088.9292219214,6839.31581556263
"2015-04-23",3289.88803856139,2089.02125176918,6838.30679716692
"2015-04-24",3279.8417296014,2089.09754350763,6837.19084626707
"2015-04-27",3269.79488031902,2089.1579722589,6835.96763849
"2015-04-28",3259.74733109995,2089.20242496418,6834.63694598604
"2015-04-29",3249.69895862497,2089.23079673344,6833.19865169091
"2015-04-30",3239.6496507572,2089.24299324112,6831.65271951509
"2015-05-04",3229.59931416837,2089.21851075878,NA
"2015-05-05",3219.54786782764,2089.18166247266,6828.23803744903
"2015-05-06",3209.49524872695,2089.12831232197,6826.36947995743
"2015-05-07",3199.44137048362,2089.05839015741,6824.39365713245
"2015-05-08",3189.38612336212,2088.97182211837,6822.31078285197
"2015-05-11",3179.32936115148,2088.86853390677,6820.12109685226
"2015-05-12",3169.27090060941,2088.74846243816,6817.82493167249
"2015-05-13",3159.21055050367,2088.61155143271,6815.42270654545
"2015-05-14",3149.14812197019,2088.4577488977,6812.91488864352
"2015-05-15",3139.08341216896,2088.28700691966,6810.30200061467
"2015-05-18",3129.01621009692,2088.09929107806,6807.58463129629
"2015-05-19",3118.94626437258,2087.89458118977,6804.76343160742
"2015-05-20",3108.87325763556,2087.67287406101,6801.83911913593
"2015-05-21",3098.7968824683,2087.4341830057,6798.8124901473
"2015-05-22",3088.71684646928,2087.17853711867,6795.68442581973
"2015-05-25",3078.63289551538,NA,NA
"2015-05-26",3068.54486405949,2086.90598342868,6792.45589606221
"2015-05-27",3058.45272501647,2086.61658503657,6789.1279683512
