"","P0_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","CU0_hpfc","RB0_hpfc","CL00Y_hpfc","AL0_hpfc","I0_hpfc","CF0_hpfc","FG0_hpfc","SA0_hpfc","P0_hpfc","Y0_hpfc","I0_hpfc","V0_hpfc","TA0_hpfc"
"2013-11-08",321.680226960221,573.777021247038,51.1217667463468,-5.5546181683445,573.777021247038,51.1217667463468,-5.5546181683445,244.488558855715,-6.97188068440998,-689.03274115383,-17.1146637540359,NA,321.680226960221,106.693715598045,-6.97188068440998,-108.534259820501,120.190198040036
"2013-11-11",273.759001987134,746.978778103368,59.8160043935361,-4.84713603946897,746.978778103368,59.8160043935361,-4.84713603946897,251.44098112663,-2.3879395350658,-633.837244119963,-23.2019891361494,NA,273.759001987134,78.7691149479563,-2.3879395350658,-95.2309824538541,130.591440494469
"2013-11-12",311.853160886977,590.427756318826,63.5434790106226,-6.82058152084991,590.427756318826,63.5434790106226,-6.82058152084991,208.457925338374,0.19717980930701,-698.582958133929,-19.2890045527437,NA,311.853160886977,138.848105948589,0.19717980930701,-106.921869826385,113.048807493215
"2013-11-13",395.965809538897,-255.875092304656,42.3047065143572,-6.35500163961791,-255.875092304656,42.3047065143572,-6.35500163961791,185.538316079234,1.7836021403459,-643.266084504694,-21.3755586315529,NA,395.965809538897,174.931392188881,1.7836021403459,-103.607410647867,103.561138385336
"2013-11-14",410.099924914541,-411.929060024321,17.1001765552034,-5.84044060355381,-411.929060024321,17.1001765552034,-5.84044060355381,187.680991769815,-2.62854783181749,-592.882535774957,-19.4614920270107,NA,410.099924914541,237.01961986355,-2.62854783181749,-150.288049430893,122.127225790331
"2013-11-15",354.258320309157,-767.733333329116,-10.0696387035205,-5.37693999352876,-767.733333329116,-10.0696387035205,-5.37693999352876,169.884714136318,-7.03914613432372,-662.427958587123,-20.546636557757,NA,354.258320309157,213.113362857707,-7.03914613432372,-121.964187860902,124.745819519435
"2013-11-18",312.443639499199,-413.286928432998,-7.20427416701952,-6.0545389762193,-413.286928432998,-7.20427416701952,-6.0545389762193,197.14816732531,-4.44806770777305,-851.897754509841,-27.63081599783,NA,312.443639499199,137.213097082086,-4.44806770777305,-128.636165500302,113.415618901553
"2013-11-19",282.658379824926,-1008.58854420032,26.6967394219915,-5.79327449568521,-1008.58854420032,26.6967394219915,-5.79327449568521,174.469965259699,7.14481541693142,-851.287051290688,-11.7138456281183,NA,282.658379824926,117.319210354918,7.14481541693142,-115.304271496422,104.13527170062
"2013-11-20",330.904909475044,-443.636708658413,50.6338742986954,-5.92318099328572,-443.636708658413,50.6338742986954,-5.92318099328572,281.848640369521,8.73963304753859,-700.590624536797,-12.7955293080383,NA,330.904909475044,147.432033776057,8.73963304753859,-81.9687418235531,108.903378799146
"2013-11-21",429.185479798553,-508.429532924988,18.6075916628555,-4.37429051567237,-508.429532924988,18.6075916628555,-4.37429051567237,204.282652965637,0.336512038421966,-624.802897967585,-17.8756660549783,NA,429.185479798553,237.551849950331,0.336512038421966,-83.6297647938575,105.718498034257
