"","T00C1_hpft","SPX_hpft","FTSE_hpft","IH00C1_hpft","IF00C1_hpft"
"2014-12-22",NA,2042.27967743047,6693.41891367268,NA,3226.18078679626
"2014-12-23",NA,2043.13989566998,6695.70152169975,NA,3240.58564404752
"2014-12-24",NA,2043.99594483413,6698.02771234166,NA,3255.00694529597
"2014-12-25",NA,NA,NA,NA,3269.44173589764
"2014-12-26",NA,2044.84775423123,NA,NA,3283.88706285916
"2014-12-29",NA,2045.69526882936,6700.39616470746,NA,3298.34001930083
"2014-12-30",NA,2046.53845175227,6702.80552149015,NA,3312.79778064825
"2014-12-31",NA,2047.37728467312,6705.25439773461,NA,3327.25759518579
"2015-01-05",NA,2049.04188786966,6710.26485364873,NA,3341.71678138724
"2015-01-06",NA,2049.86766309913,6712.82335343744,NA,3356.17276765629
"2015-01-07",NA,2050.68908170607,6715.41514929338,NA,3370.62311867439
"2015-01-08",NA,2051.50611693234,6718.03840390968,NA,3385.06552339024
"2015-01-09",NA,2052.31873177297,6720.6911577964,NA,3399.49779169204
"2015-01-12",NA,2053.1268936186,6723.37136300538,NA,3413.9178066056
"2015-01-13",NA,2053.93056675608,6726.07688083471,NA,3428.32350427431
"2015-01-14",NA,2054.72970519327,6728.80548083677,NA,3442.71287196689
"2015-01-15",NA,2055.52425016502,6731.55485655661,NA,3457.08393881566
"2015-01-16",NA,2056.31412494161,6734.3225608542,NA,3471.43475936925
"2015-01-19",NA,NA,6737.10605036972,NA,3485.763457586
"2015-01-20",NA,2057.09922681199,6739.90270566343,NA,3500.0682275984
"2015-01-21",NA,2057.87943781449,6742.70984464008,NA,3514.34719344827
"2015-01-22",NA,2058.65462570621,6745.52473568289,NA,3528.59843549835
"2015-01-23",NA,2059.42464759632,6748.34464111109,NA,3542.82004719541
"2015-01-26",NA,2060.18936245222,6751.16684436881,NA,3557.01013546245
"2015-01-27",NA,2060.94862609784,6753.988663823,NA,3571.16682961825
"2015-01-28",NA,2061.70229307596,6756.80745968635,NA,3585.28828782989
"2015-01-29",NA,2062.45020495043,6759.62061598988,NA,3599.37266968354
"2015-01-30",NA,2063.19217867269,6762.42554534122,NA,3613.418109266
"2015-02-02",NA,2063.92801416371,6765.21968142085,NA,3627.42269694189
"2015-02-03",NA,2064.6574831524,6768.00045252501,NA,3641.38444692747
"2015-02-04",NA,2065.38033956097,6770.76529411355,NA,3655.30127819152
"2015-02-05",NA,2066.09633126518,6773.51168455291,NA,3669.17103282423
"2015-02-06",NA,2066.80519627379,6776.23713910384,NA,3682.99144407775
"2015-02-09",NA,2067.50667111722,6778.93921122916,NA,3696.76011542116
"2015-02-10",NA,2068.20048764039,6781.61548630416,NA,3710.47451044615
"2015-02-11",NA,2068.88636910412,6784.26357376615,NA,3724.13196023788
"2015-02-12",NA,2069.56403893023,6786.8811026889,NA,3737.7296830033
"2015-02-13",NA,2070.23322039322,6789.46571616183,NA,3751.26478239412
"2015-02-16",NA,NA,6792.01507431659,NA,3764.73424552396
"2015-02-17",NA,2070.89364458671,6794.52687202951,NA,3778.13494158923
"2015-02-25",NA,2074.65868768318,6808.68424404847,NA,3791.46363316652
"2015-02-26",NA,2075.25128077294,6810.87169817837,NA,3804.71697571675
"2015-02-27",NA,2075.83341835311,6813.00459349229,NA,3817.89150141061
"2015-03-02",NA,2076.40495528237,6815.08103381271,NA,3830.9836630054
"2015-03-03",NA,2076.96575826902,6817.09917821,NA,3843.98981789946
"2015-03-04",NA,2077.51571096292,6819.05723765551,NA,3856.90623057478
"2015-03-05",NA,2078.05470975129,6820.95345289511,NA,3869.72903969105
"2015-03-06",NA,2078.58265970783,6822.78610608621,NA,3882.45425010075
"2015-03-09",NA,2079.09947540745,6824.55353733398,NA,3895.07771655336
"2015-03-10",NA,2079.60506839813,6826.25412353787,NA,3907.59513165617
"2015-03-11",NA,2080.09935036448,6827.88626305789,NA,3920.00205132778
"2015-03-12",NA,2080.58221833957,6829.44830323965,NA,3932.29387449436
"2015-03-13",NA,2081.05355288019,6830.93854745682,NA,3944.46584391446
"2015-03-16",NA,2081.51322849477,6832.35527081833,NA,3956.51306168243
"2015-03-17",NA,2081.96110826089,6833.69671108263,NA,3968.43049692902
"2015-03-18",NA,2082.39705512253,6834.96109432019,NA,3980.21301845717
"2015-03-19",NA,2082.82092884856,6836.14664821923,NA,3991.85541097967
"2015-03-20",NA,2083.23259627755,6837.25164603603,NA,4003.35239009044
"2015-03-23",96.0269263270672,2083.63192691383,6838.27441318209,NA,4014.69860439624
"2015-03-24",96.0247013548795,2084.01880054096,6839.21335164711,NA,4025.88865424238
"2015-03-25",96.0224767931886,2084.39310553544,6840.06694584308,NA,4036.91713150205
"2015-03-26",96.0202534225716,2084.75473336617,6840.83375477967,NA,4047.77860229965
"2015-03-27",96.0180323656705,2085.10356585296,6841.51239984343,NA,4058.46759757632
"2015-03-30",96.0158148896985,2085.43947299161,6842.10152494786,NA,4068.97860124151
"2015-03-31",96.0136024569611,2085.76231482267,6842.59977958972,NA,4079.30606708409
"2015-04-01",96.0113965893644,2086.07195171766,6843.00583365621,NA,4089.44447849886
"2015-04-02",96.0091986585156,2086.36823666037,6843.31832828144,NA,4099.38830089569
"2015-04-03",96.0070100726471,NA,NA,NA,4109.13201347362
"2015-04-07",96.0048323684641,2086.9201109806,6843.53589074966,NA,4118.6700982463
"2015-04-08",96.0026670839076,2087.17536597712,6843.65714426975,NA,4127.99707726963
"2015-04-09",96.0005157259861,2087.41660390437,6843.68076092394,NA,4137.10752266896
