"","IH00C1_hpft","T00C1_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","USDX_hpft","USDCNH_hpft"
"2011-02-10",NA,NA,NA,3.32187653741717,3.66838726931558,77.2328478678593,6.56776540745492
"2011-02-11",NA,NA,NA,3.32476932021471,3.67066251413799,77.1936304996868,6.56680279240651
"2011-02-14",NA,NA,NA,3.32751072685673,3.67281777227576,77.1543927663059,6.5658366508392
"2011-02-15",NA,NA,NA,3.33009942272962,3.67485149272086,77.1151440694545,6.56486690842942
"2011-02-16",NA,NA,NA,3.33253420239094,3.67676225259919,77.0758943960254,6.56389349774153
"2011-02-17",NA,NA,NA,3.33481398023149,3.67854875442947,77.0366543425577,6.56291635532187
"2011-02-18",NA,NA,NA,3.33693778533467,3.68020981136018,76.9974349950519,6.56193541714073
"2011-02-21",NA,NA,NA,3.33890476466894,3.68174434134822,76.95824782945,6.56095061982304
"2011-02-22",NA,NA,NA,3.34071416567456,3.68315137415978,76.9191045707698,6.55996189857365
"2011-02-23",NA,NA,NA,3.34236533958452,3.68443003994838,76.8800172465062,6.55896918758441
"2011-02-24",NA,NA,NA,3.34385771380797,3.68557954630944,76.8409982482809,6.55797242643662
"2011-02-25",NA,NA,NA,3.34519076438032,3.68659919511385,76.8020601785217,6.55697155947795
"2011-02-28",NA,NA,NA,3.34636402774527,3.6874883519392,76.7632157425842,6.55596653871462
"2011-03-01",NA,NA,NA,3.34737708780425,3.68824642539452,76.7244778227166,6.55495732381176
"2011-03-02",NA,NA,NA,3.34822955889755,3.68887286332122,76.685859361842,6.55394387961534
"2011-03-03",NA,NA,NA,3.34892108538425,3.68936716140881,76.6473734291741,6.55292617367579
"2011-03-04",NA,NA,NA,3.34945133715665,3.68972885793377,76.6090330873711,6.55190417894043
"2011-03-07",NA,NA,NA,3.34982003002301,3.68995752719015,76.5708513216383,6.55087787314073
"2011-03-08",NA,NA,NA,3.3500269750911,3.69005279041729,76.5328410266416,6.5498472379747
"2011-03-09",NA,NA,NA,3.35007204141362,3.69001432294026,76.4950150512257,6.54881225746428
"2011-03-10",NA,NA,NA,3.34995516416937,3.68984187967484,76.4573863546679,6.54777291838142
"2011-03-11",NA,NA,NA,3.34967636531306,3.68953526422492,76.4199679892452,6.5467292123293
"2011-03-14",NA,NA,NA,3.34923572055441,3.68909433254962,76.3827733431362,6.54568113989221
"2011-03-15",NA,NA,NA,3.34863331400465,3.68851900916993,76.3458159161403,6.54462871230705
"2011-03-16",NA,NA,NA,3.34786925075832,3.68780928210129,76.3091091945095,6.54357195024311
"2011-03-17",NA,NA,NA,3.34694364060909,3.68696517022894,76.2726666662253,6.54251088589054
"2011-03-18",NA,NA,NA,3.34585658596382,3.68598671016794,76.2365017369654,6.5414455625705
"2011-03-21",NA,NA,NA,3.34460813675638,3.68487393519941,76.2006276914314,6.54037603600041
"2011-03-22",NA,NA,NA,3.34319830329664,3.68362686352166,76.1650575925557,6.53930237432099
"2011-03-23",NA,NA,NA,3.34162706918867,3.68224547349671,76.1298041847252,6.53822465647157
"2011-03-24",NA,NA,NA,3.33989441671409,3.68072973756444,76.0948799250169,6.53714296684683
"2011-03-25",NA,NA,NA,3.33800032748246,3.67907960520369,76.0602972003179,6.53605739863584
"2011-03-28",NA,NA,NA,3.33594479141395,3.67729501343949,76.0260682260212,6.53496805509588
