"","RB0_60Close","RB0_60_hpft","RB0_60_hpfc","HC0_60Close","HC0_60_hpft","HC0_60_hpfc","I0_60Close","I0_60_hpft","I0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","BU0_60Close","BU0_60_hpft","BU0_60_hpfc","JM0_60Close","JM0_60_hpft","JM0_60_hpfc","UR0_60Close","UR0_60_hpft","UR0_60_hpfc","FG0_60Close","FG0_60_hpft","FG0_60_hpfc","MA0_60Close","MA0_60_hpft","MA0_60_hpfc","SA0_60Close","SA0_60_hpft","SA0_60_hpfc","SR0_60Close","SR0_60_hpft","SR0_60_hpfc"
"2022-08-22 10:00:00",4012,3998.14197816722,13.8580218327784,3896,3961.73051213094,-65.7305121309394,693.5,710.695277498783,-17.1952774987825,6321,6416.99799680782,-95.9979968078229,3966,4013.15536919527,-47.1553691952723,1940,2019.05383266193,-79.0538326619318,2200,2256.60591386284,-56.6059138628403,1482,1490.15787622594,-8.15787622593739,2459,2513.99960087089,-54.999600870892,2333,2346.95539149518,-13.9553914951826,5532,5540.24175141327,-8.24175141327324
"2022-08-22 10:15:00",4009,3995.77055948819,13.2294405118126,3897,3960.43628615781,-63.4362861578074,695.5,710.35803455502,-14.8580345550199,6327,6414.62653274446,-87.6265327444647,3973,4010.65710497156,-37.6571049715575,1946.5,2016.97907928607,-70.4790792860744,2196,2258.21104052391,-62.2110405239055,1479,1489.56861314061,-10.5686131406122,2468,2515.220830148,-47.2208301480003,2338,2346.34917999674,-8.34917999673566,5532,5539.40837918568,-7.40837918567703
"2022-08-22 11:30:00",4007,3993.36003155411,13.6399684458901,3904,3959.12568159921,-55.1256815992137,694.5,710.026300551602,-15.526300551602,6299,6412.29818549996,-113.298185499961,3957,4008.13436236681,-51.1343623668074,1937.5,2014.90756789024,-77.4075678902358,2182,2259.82876485982,-77.8287648598237,1479,1488.98362045248,-9.98362045248155,2489,2516.46334218422,-27.4633421842166,2346,2345.75863748755,0.241362512453036,5526,5538.59341509394,-12.5934150939394
"2022-08-22 14:30:00",4016,3990.91094611599,25.0890538840093,3911,3957.79881141054,-46.7988114105368,692.5,709.70008645769,-17.2000864576903,6283,6410.01327897509,-127.013278975091,3917,4005.5880686068,-88.5880686067983,1941.5,2012.84028414219,-71.3402841421902,2191,2261.45878504483,-70.4587850448329,1485,1488.4032266324,-3.40322663240376,2490,2517.7267419738,-27.7267419737982,2352,2345.18319583516,6.81680416484141,5528,5537.79692988261,-9.79692988260994
"2022-08-22 15:00:00",4010,3988.42386056297,21.5761394370258,3903,3956.45576576045,-53.4557657604543,690.5,709.379396824529,-18.8793968245288,6270,6407.77209023785,-137.772090237848,3932,4003.01912978032,-71.0191297803237,1961,2010.77818171254,-49.7781817125393,2184,2263.10076708189,-79.100767081888,1486,1487.8277560244,-1.82775602440246,2488,2519.01062315874,-31.0106231587367,2358,2344.62228700685,13.3777129931496,5528,5537.01898909066,-9.0189890906601
"2022-08-22 22:00:00",3983,3985.89934265504,-2.89934265503895,3888,3955.09661547288,-67.0966154728778,684.5,709.064229093529,-24.5642290935294,6184,6405.574843854,-221.574843853999,3881,4000.4284153575,-119.428415357498,1930,2008.72218478268,-78.7221847826827,NA,NA,NA,1463,1487.25753156576,-24.2575315657574,2479,2520.31456791992,-41.3145679199196,2341,2344.07534578769,-3.07534578769324,5491,5536.25965420738,-45.2596542073818
"2022-08-22 23:00:00",4028,3983.33796907089,44.6620309291105,3918,3953.72140927528,-35.7214092752775,691.5,708.754572902113,-17.2545729021134,6204,6403.42170743968,-199.421707439676,3913,3997.81676545198,-84.8167654519775,1950,2006.67319695769,-56.6731969576855,NA,NA,NA,1471,1486.69287543822,-15.6928754382151,2522,2521.63814561975,0.361854380254112,2374,2343.5418124926,30.4581875073955,5486,5535.51898299392,-49.5189829939213
"2022-08-23 10:00:00",4061,3980.74031529066,80.2596847093414,3968,3952.33016816004,15.6698318399604,707.5,708.450407733844,-0.950407733843617,6264,6401.31275702108,-137.312757021082,4060,3995.18497081051,64.8150291894906,1967.5,2004.63208930209,-37.1320893020864,2268,2264.75434784915,3.2456521508522,1485,1486.13409979644,-1.13409979644314,2546,2522.98090854277,23.0190914572327,2389,2343.02112616524,45.9788738347638,5511,5534.79701450306,-23.7970145030648
"2022-08-23 10:15:00",4060,3978.1069752561,81.8930247439019,3964,3950.92289835381,13.0771016461852,704.5,708.151705939936,-3.65170593993575,6238,6399.24798619154,-161.247986191542,4059,3992.53378712005,66.4662128799519,1969,2002.59970945397,-33.5997094539743,2270,2266.41913152762,3.58086847237828,1481,1485.58151030829,-4.58151030829256,2544,2524.34240912311,19.6575908768899,2383,2342.51273843945,40.4872615605477,5506,5534.09376731829,-28.0937673182859
"2022-08-23 11:30:00",4051,3975.43857608503,75.5614239149749,3947,3949.49961256049,-2.49961256049032,707,707.858439478743,-0.858439478743123,6206,6397.22733178462,-191.227331784617,4068,3989.86399685938,78.1360031406201,1973.5,2000.57688970251,-27.0768897025088,2276,2268.09472364002,7.90527635998173,1469,1485.03541217285,-16.0354121728451,2532,2525.72220931012,6.27779068987873,2379,2342.01611995495,36.9838800450525,5523,5533.40925018642,-10.4092501864174
