"","V0_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","GR_10yry_hpft","IT_10yry_hpft","AU_10yry_hpft","INA_10yry_hpft","IND_10yry_hpft"
"2017-07-11",6520.46039147477,3.59323060865795,2.23990913819282,1.15069531286616,0.416877936978396,2.13374064382882,2.60267974236739,0.0534120958784068,6.56068728102304
"2017-07-12",NA,3.59431147832079,2.23931500790631,1.15166007479944,0.417459154005646,2.13225782326814,2.60391960374613,0.0533603293122904,6.55925132694608
"2017-07-13",6526.30764367279,3.59539837822015,2.23873862159512,1.15263314280497,0.418019729988444,2.13077449966487,2.60517486767304,0.0533045819077413,6.55788588834592
"2017-07-14",6532.14049213526,3.59649181558608,2.23817996304073,1.15361410315147,0.418559306420311,2.12929040337709,2.60644420885342,0.0532448527657976,6.55659214585117
"2017-07-17",6537.95211349796,3.59981627033465,2.23661079203718,1.15660111548594,0.420049419154954,2.12483165016226,2.61032408026429,0.053041968387053,6.55315228306469
"2017-07-18",6543.73569384592,3.60094070493965,2.23612368706804,1.15761072922805,0.420502683387879,2.12334299389063,2.61163735192679,0.052966559724677,6.55215632160906
"2017-07-19",6549.48442217749,3.60207402988346,2.23565482117417,1.15862710083617,0.420934103192003,2.12185317823292,2.61295874517154,0.0528873461649604,6.5512373614716
"2017-07-20",6555.19152728273,3.60321667098918,2.23520439952922,1.1596502080748,0.421343702094907,2.12036230872749,2.61428722681406,0.0528043932141007,6.55039634585458
"2017-07-21",6560.85033530438,3.60436904979169,2.23477264150379,1.16068009253372,0.421731561108418,2.11887051908181,2.61562181163663,0.05271777345199,6.54963417569924
"2017-07-24",6566.45426944569,3.60788870306987,2.23359174725926,1.16381156068785,0.422766231293199,2.11439122328835,2.61965314554003,0.052436773214692,6.54782909481028
"2017-07-25",6571.99687656635,3.6090840750115,2.23323708086245,1.16486984273775,0.423068867112036,2.11289728077132,2.62100328842812,0.052336384473761,6.54739041741925
"2017-07-26",6577.471812465,3.61029115827763,2.23290233075441,1.16593566954081,0.423350815316081,2.11140309632892,2.6223552784339,0.0522328128195856,6.54703438532055
"2017-07-27",6582.87285405619,3.61151031554289,2.23258777205489,1.16700925356048,0.423612382838677,2.10990874258062,2.62370836023686,0.0521261748727466,6.54676160532885
"2017-07-28",6588.19387023876,3.61274190345045,2.2322937200198,1.16809082263616,0.423853912430395,2.10841430272664,2.62506182673272,0.052016594598068,6.54657264166813
"2017-07-31",6593.42886513266,3.61651483678098,2.23153816689716,1.17138607758184,0.424462426318079,2.10393133049997,2.62911791028192,0.0516715951957742,6.54651367733439
"2017-08-01",6598.57194281061,3.61779971464467,2.23132986142839,1.17250239360858,0.424628206220859,2.10243740808706,2.63046644699224,0.0515516841405714,6.54666483672328
"2017-08-02",6603.61730720137,3.6190987944976,2.23114407158812,1.17362824733298,0.424776416165616,2.10094383345025,2.63181228852617,0.0514295945714668,6.5469020718445
"2017-08-03",6608.55928269821,3.62041243133088,2.23098128560746,1.17476403319994,0.424907711026285,2.09945068977437,2.63315491439617,0.0513055074723661,6.54722572435767
"2017-08-04",6613.39241334667,3.62174098951934,2.23084200364545,1.17591017428851,0.425022785038438,2.09795802347846,2.63449384056795,0.0511796148103206,6.54763610289357
"2017-08-07",6618.11144220064,3.62581991269495,2.23057037612502,1.17941536809548,0.425277994588937,2.09348276782421,2.6384837998993,0.0507931554641873,6.54938997991773
"2017-08-08",6622.71142506498,3.627211895579,2.23053035942405,1.18060767808247,0.425335578211845,2.09199169496964,2.63980331876547,0.0506621271304219,6.55014942657051
"2017-08-09",6627.18772234465,3.62862069939474,2.23051653535478,1.18181279224775,0.425380715698419,2.09050076077589,2.64111685498217,0.0505303708591495,6.5509964665997
"2017-08-10",6631.53604261287,3.63004673497266,2.23052948084258,1.18303122015915,0.425414216663807,2.08900978624735,2.64242396464274,0.0503981228817411,6.55193115266212
"2017-08-11",6635.75247176289,3.63149042623829,2.2305697974009,1.18426346648775,0.425436900899781,2.08751855456567,2.64372420461897,0.0502656278908903,6.55295350269407
"2017-08-14",6639.83346707695,3.63593181024557,2.23086096043723,1.18804802777698,0.425448196858559,2.08304070480096,2.64757923541325,0.049869165148517,6.55654638919697
"2017-08-15",6643.77574594229,3.63745049293983,2.23101667664233,1.18934036416362,0.425435690057562,2.08154571408887,2.6488474347735,0.049738203032446,6.55791915649849
"2017-08-16",6647.57626556406,3.63898898602311,2.23120265608681,1.19064878999537,0.425416329826113,2.0800489792523,2.65010640981525,0.0496082697293769,6.55937938228511
"2017-08-17",6651.23214486402,3.64054768568274,2.23141944888285,1.19197365432812,0.425390872861691,2.07855012611683,2.65135566950423,0.0494796279523635,6.56092697963421
"2017-08-18",6654.74065050805,3.64212696144885,2.23166762117983,1.19331526829238,0.425360069489319,2.07704876767359,2.65259473309617,0.0493525397496623,6.562561851132
"2017-08-21",6658.0992429323,3.64699164864374,2.23260598446888,1.19744320180651,0.425243162434434,2.07252553939986,2.65624587587632,0.0489831705944396,6.5679888783885
"2017-08-22",6661.30565343046,3.64865652813752,2.23298515618901,1.19885426430953,0.425198506719731,2.07100994194736,2.65743921758028,0.0488648546726543,6.56997150848324
"2017-08-23",6664.35790343361,3.65034353168194,2.23339835624965,1.20028315227134,0.425152210676979,2.06948963800313,2.65861983258382,0.048749353508364,6.5720406347594
"2017-08-24",6667.25433625438,3.65205291509239,2.23384605453431,1.20172997985234,0.425104974282823,2.06796413444233,2.65978718991994,0.0486369062035964,6.57419604268778
"2017-08-25",6669.99354348608,3.65378491850002,2.23432871538832,1.20319482033871,0.425057482983399,2.06643295033852,2.66094076952608,0.0485277482437543,6.57643750242798
"2017-08-28",6672.57440100851,3.65911883316481,2.23599075280482,1.20769751983382,0.424920124834895,2.06180078151795,2.66431359929439,0.0482222603348229,6.58367568393262
"2017-08-29",6674.99611952594,3.66094344408646,2.23661742470541,1.20923428857739,0.424878167426276,2.0602424133608,2.66540681156774,0.0481284477675338,6.58625878876907
"2017-08-30",6677.25825383371,3.66279168719173,2.23728100837731,1.21078877180197,0.424839141642969,2.05867619685185,2.66648360666907,0.0480389500936409,6.58892661886111
"2017-08-31",6679.36070388403,3.6646637409973,2.23798180652947,1.21236075562733,0.424803625484201,2.05710172973214,2.66754343943128,0.0479539276672271,6.59167887181938
"2017-09-01",6681.30371591821,3.6665597745987,2.23872007752531,1.21394996367779,0.424772149479305,2.05551861194337,2.6685857706878,0.0478735230518034,6.59451522337692
"2017-09-04",6683.08792500001,3.67239319804488,2.24116171837015,1.21881713045883,0.424706762609289,2.05071342589684,2.67160263641456,0.0476611834264286,6.6035251294468
"2017-09-05",6684.71444308422,3.67438651205059,2.24205167529662,1.22047110448492,0.424696094322658,2.04909178577097,2.67256988355914,0.0476003227216902,6.60669391005705
"2017-09-06",6686.18482521128,3.67640441237777,2.24297982352922,1.22213993109024,0.42469164009886,2.0474595489481,2.67351711163685,0.0475445170285137,6.60994458240824
"2017-09-07",6687.50112050504,3.67844698259463,2.24394620742615,1.22382296749692,0.424693749230817,2.04581632914436,2.6744438221856,0.0474937933292815,6.61327657285868
"2017-09-08",6688.66584469581,3.6805143024234,2.24495079984273,1.22551951757343,0.424702752537744,2.04416171839124,2.67534948718096,0.0474481577132868,6.61668926438646
"2017-09-11",6689.68190103798,3.68472343506932,2.24707418306514,1.22895008634122,0.424742598171862,2.04081659898033,2.6770954943711,0.0473721013352631,6.62375409500768
"2017-09-12",6690.55254676059,3.68686530323492,2.24819256252672,1.23068238819357,0.424773935341843,2.03912510926835,2.67793466195719,0.0473416140929873,6.6274048334267
"2017-09-13",6691.28139471324,3.68903202517444,2.24934834760949,1.23242474522366,0.424813141888331,2.03742030425701,2.67875044810495,0.047316076631254,6.63113347609496
"2017-09-14",6691.87246054297,3.69122355269323,2.25054118868313,1.23417608522364,0.424860363184086,2.03570165179829,2.6795422135727,0.0472954069675681,6.63493925416089
"2017-09-15",6692.33003011778,3.69343980579608,2.25177070331802,1.23593526345143,0.42491571781078,2.0339686381716,2.68030931880845,0.0472795130681691,6.63882138011685
"2017-09-18",6692.65863034737,3.69794602631504,2.25433811858578,1.23947227795214,0.425051254112835,2.03045762598146,2.68176711873336,0.0472616429005842,6.64681143531575
"2017-09-19",6692.86297318994,3.7002356572743,2.25567514785283,1.24124763028666,0.425131642143157,2.02867878244985,2.68245668240305,0.0472594468430718,6.6509177048868
"2017-09-20",6692.94796585089,3.702549341604,2.2570471132952,1.2430258808587,0.425220586492294,2.02688389525896,2.68311934510721,0.0472615811915722,6.65509700424817
