"","FG0_hpfc","USDCNH_hpfc","USDX_hpfc","GBPUSD_hpfc","EURUSD_hpfc","AUDUSD_hpfc","USDJPY_hpfc"
"2014-10-14",35.9600580228351,-0.0168824740107651,-0.0489340167067545,-0.0209177066630272,-0.00506233339914159,-0.0102427681262732,-3.17594323727021
"2014-10-15",34.2013184316713,-0.0231142770592632,-1.12761539669072,-0.0085130539041183,0.0141059318132677,0.00223639777000423,-4.44756249647099
"2014-10-16",29.4373308889061,-0.015762644089725,-1.11670377779885,-7.7584581388643e-06,0.0126792406669712,-0.00397973196633606,-4.15944504721234
"2014-10-17",26.667988850553,-0.0171275949388222,-0.906192343079498,0.00069794190703044,0.00875756168607968,-0.00389132128905807,-3.73155594260207
"2014-10-20",27.8931736044153,-0.0258220482577412,-1.21607381397902,0.0096038094267147,0.0145408581536408,0.000701467493141009,-3.81385851640118
"2014-10-21",38.1127554148206,-0.0316533961629413,-0.936340537361834,0.00570960604773713,0.00742908973267021,0.00149847368005464,-3.89631455989506
"2014-10-22",37.3265930161665,-0.0349013186922796,-0.646984357416033,0.000715089747094325,0.00192221007556554,0.00199953628153855,-3.86888428787349
"2014-10-23",43.5345293885922,-0.0345657834411046,-0.627996731282864,-7.99838583398607e-05,0.00332016976385482,0.0015044936880321,-2.89152630454651
"2014-10-24",49.7363920829122,-0.036046743578013,-0.849368848668181,0.00672414055270488,0.0067229185844942,0.00611318346345668,-3.13419761488113
"2014-10-27",45.9319906545244,-0.0410879105803548,-1.10109163968811,0.0112272183345884,0.0114304049520183,0.00762544254982305,-3.60685402860729
"2014-10-28",46.1211140997876,-0.0470340919462,-1.34315568336408,0.0139290020621675,0.0164425745019661,0.0140411053621968,-3.40945005990183
"2014-10-29",55.3035324286414,-0.0446963118859584,-0.825551103571162,0.00302923966942163,0.00755936814502364,0.00906000316360074,-2.78193873201312
"2014-10-30",58.4789965864053,-0.04447442810832,-0.798267468976493,0.00322767333263521,0.00698071999516439,0.0138819614130267,-2.61427165886042
"2014-10-31",67.6472346581287,-0.0344682798463104,-0.1112940069986,0.00342404397592994,-0.000493438958381557,0.0111068018244255,0.383600695579283
"2014-11-03",70.8079505560071,-0.0337423852781057,0.165380384915854,0.00341809118924268,-0.00226318061190534,0.00153434037349864,1.67172894796295
"2014-11-04",49.9608202295852,-0.046097244817752,-0.178233144675508,0.00630955314713815,0.00437142334224475,0.00716438844484938,1.46016355638371
"2014-11-05",44.1054903592606,-0.0429668017766175,0.117876484424175,0.0052981666112822,-0.00018969785276898,-0.0061032432111543,2.39895428790805
"2014-11-06",48.2415869736296,-0.0431508012398731,0.673720426084963,-0.00761633426477177,-0.00944661676074483,-0.00776874680561661,2.68815030603053
"2014-11-07",59.3687178698428,-0.0297489705319505,0.0393097854520245,-0.00163421751752094,0.000200594132918237,0.000467687973193656,1.95779978261279
"2014-11-10",74.4864709039418,-0.0419610191404687,0.214655389182165,-0.00395574803517465,-0.00214813375231238,-0.000794125351706132,2.12794977834533
"2014-11-11",75.5944093912923,-0.0380866442560514,-0.170231952317536,0.0041188099695725,0.00480713092010312,0.00824562654938117,2.60864654464099
"2014-11-12",85.692065857583,-0.034725525724312,0.0446584826301798,-0.00801080608082001,0.00216632037465695,0.0112867573344091,2.60993545330556
"2014-11-13",78.7789415807499,-0.038177327647339,-0.120662513930668,-0.0141448604664414,0.00792936484877618,0.0123290772529249,2.65186079783331
"2014-11-14",-65.145497582854,-0.0380416997731338,-0.446184168414921,-0.0169836141560518,0.0141961936844106,0.0172723918889778,3.02446579287831
"2014-11-17",-79.0818183409233,-0.0429182760686753,-0.151895657361695,-0.0187273222714788,0.0081667329458302,0.0143165017302791,3.05779255692025
"2014-11-18",-88.0305604726411,-0.0515066747760818,-0.597785972874792,-0.0185762329142015,0.0181409028291646,0.016461200124822,3.42188195824575
"2014-11-19",-77.9922310679455,-0.0449064963967369,-0.593844044270879,-0.0131305864445973,0.0203186201547581,0.00650627450273704,4.36677360117617
