"","T00C1_hpfc","SPX_hpfc","FTSE_hpfc","IH00C1_hpfc","IF00C1_hpfc"
"2014-09-03",NA,25.5413181565899,196.162995304265,NA,2.93314129950453
"2014-09-04",NA,21.677941911314,201.887840702699,NA,29.6968908596448
"2014-09-05",NA,30.9453662145093,180.347315063442,NA,46.9449064346415
"2014-09-09",NA,10.0918117338233,156.884716612062,NA,26.8764816559569
"2014-09-10",NA,16.5504014825713,159.299748256063,NA,3.09089075089251
"2014-09-11",NA,17.5189374650701,130.103627473104,NA,-28.0126031634804
"2014-09-12",NA,4.81718797792957,138.72474244754,NA,-14.6347382476606
"2014-09-15",NA,2.6149140761372,137.241427584136,NA,-28.7762410825106
"2014-09-16",NA,16.6718748234446,126.521959944432,NA,-75.6378321998653
"2014-09-17",NA,18.4678282027064,116.414559859859,NA,-76.0202202365978
"2014-09-18",NA,27.4625253052928,156.017395362739,NA,-80.5240825638485
"2014-09-19",NA,25.7057095887192,175.838586364364,NA,-75.3500651292832
"2014-09-22",NA,8.79711315859487,112.716188284642,NA,-114.098780594603
"2014-09-23",NA,-3.52354250517678,16.3081838589626,NA,-108.170810475215
"2014-09-24",NA,11.2034604409298,47.6125092302318,NA,-52.3666891226711
"2014-09-25",NA,-21.9121587030587,-17.86290619965,NA,-75.0869061750489
"2014-09-26",NA,-5.86068526818352,-7.13015270995143,NA,-87.9319296242873
"2014-09-29",NA,-11.7223955278786,-8.90131319614778,NA,-92.7021964241128
"2014-09-30",NA,-18.0475633330039,-31.7984676063142,NA,-103.998107180899
"2014-10-08",NA,-26.4253673641567,-167.251189742986,NA,-83.020024181366
"2014-10-09",NA,-67.9515230678961,-216.966233360472,NA,-101.168266724042
"2014-10-10",NA,-90.8828929344256,-308.222614339214,NA,-116.043119790006
"2014-10-13",NA,-123.129615211367,-281.381960775243,NA,-141.24482654166
"2014-10-14",NA,-121.031790578988,-254.425773357804,NA,-166.973582173805
"2014-10-15",NA,-137.109468820746,-435.005436464232,NA,-160.62952349607
"2014-10-16",NA,-137.712649690407,-450.33222930242,NA,-179.212718298265
"2014-10-17",NA,-114.591276266202,-335.607251266374,NA,-198.12316797214
"2014-10-20",NA,-98.225234701493,-378.541415601129,NA,-192.760799830173
"2014-10-21",NA,-61.844363782208,-273.055496824961,NA,-217.725459288938
"2014-10-22",NA,-76.9084616919317,-245.490112982491,NA,-239.216912085163
"2014-10-23",NA,-54.0973010502519,-225.965769247941,NA,-273.03483395668
"2014-10-24",NA,-41.2406226858915,-256.342869319996,NA,-292.97880175877
"2014-10-27",NA,-45.0981450659435,-281.631723492235,NA,-319.648279485024
"2014-10-28",NA,-22.5895696102792,-243.002536096358,NA,-286.042610023486
"2014-10-29",NA,-26.2545790970087,-191.445395048758,NA,-265.56100413223
"2014-10-30",NA,-14.8228469666194,-181.970287818307,NA,-265.002554330935
"2014-10-31",NA,7.65596419298829,-99.3171227380961,NA,-222.966243366917
"2014-11-03",NA,6.49219792108116,-158.145732922153,NA,-246.650944446248
"2014-11-04",NA,-0.143805407740613,-192.535910430511,NA,-258.655438609758
"2014-11-05",NA,10.398291897511,-107.817381952382,NA,-266.378404942596
"2014-11-06",NA,17.1088275872637,-96.3197945903646,NA,-276.41841561227
"2014-11-07",NA,16.8881351137091,-80.8027508795603,NA,-309.373932675731
"2014-11-10",NA,22.2965408569405,-37.4258135402969,NA,-253.243303930335
"2014-11-11",NA,22.7843642161744,-21.9685118924213,NA,-281.024749290224
"2014-11-12",NA,20.4219153741326,-39.0803597855664,NA,-258.716383989036
"2014-11-13",NA,20.5694950953979,-15.4808619881727,NA,-284.716207096065
"2014-11-14",NA,20.1273957029544,2.57049288543172,NA,-290.022110738036
"2014-11-17",NA,20.6959010171849,19.244222619967,NA,-314.031869351063
"2014-11-18",NA,30.2452865386154,55.4208439377878,NA,-348.943137487913
"2014-11-19",NA,26.2358192129169,41.8508656065208,NA,-373.353439892963
"2014-11-20",NA,29.3377534835772,23.054773484781,NA,-376.660157071795
"2014-11-21",NA,39.1613329492537,93.7630361319446,NA,-367.260515200439
"2014-11-24",NA,44.1467890815475,71.5861125773392,NA,-272.151584759149
"2014-11-25",NA,40.8443371643521,71.6744230924038,NA,-235.530284417037
"2014-11-26",NA,45.7241742330407,68.3883583579117,NA,-227.793420347006
"2014-11-27",NA,NA,61.2682794271871,NA,-232.137701363072
"2014-11-28",NA,39.5364804395903,59.044519084576,NA,-174.559742118787
"2014-12-01",NA,24.5014170354398,-8.68261521135238,NA,-205.056061311113
"2014-12-02",NA,36.6991289292345,75.5171595912309,NA,-92.0231054808646
"2014-12-03",NA,43.5697509017191,48.4641301332755,NA,-45.6572364073079
"2014-12-04",NA,40.2534025636979,9.56855183994048,NA,140.045222169103
"2014-12-05",NA,42.8001855159885,71.3506601033782,NA,113.287965380703
"2014-12-08",NA,26.8401847202739,-1.07931363973925,NA,243.474630470983
"2014-12-09",NA,25.4534674463604,-145.551167446029,NA,45.2088078545621
"2014-12-10",NA,-9.11991013060297,-176.824698926044,NA,117.693987303552
"2014-12-11",NA,-0.81990235690152,-217.059645525429,NA,81.733639902556
"2014-12-12",NA,-34.7064598090231,-380.07567159742,NA,75.5311880860847
"2014-12-15",NA,-48.2895327245343,-499.982351771619,NA,89.490020503281
"2014-12-16",NA,-66.0590569947501,-352.919103569646,NA,154.013494581847
"2014-12-17",NA,-26.7849485500255,-350.365137840555,NA,180.504930757799
"2014-12-18",NA,20.6829039854276,-222.989519550802,NA,164.3675858042
"2014-12-19",NA,29.2346230592305,-145.911168839981,NA,140.404641880632
"2014-12-22",NA,36.2603225695283,-116.678913672679,NA,173.219213203735
"2014-12-23",NA,39.0301043300212,-97.5215216997528,NA,72.4143559524829
"2014-12-24",NA,37.8840551658742,-88.0977123416565,NA,3.99305470403308
"2014-12-25",NA,NA,NA,NA,111.558264102356
"2014-12-26",NA,43.9222457687667,NA,NA,199.112937140842
"2014-12-29",NA,44.8747311706378,-66.8861647074614,NA,176.259980699171
"2014-12-30",NA,33.8115482477303,-155.805521490147,NA,169.802219351753
"2014-12-31",NA,11.5227153268781,-139.164397734606,NA,265.942404814215
"2015-01-05",NA,-28.4618878696616,-293.104853648734,NA,329.683218612764
"2015-01-06",NA,-47.25766309913,-346.313353437438,NA,300.627232343715
"2015-01-07",NA,-24.7890817060738,-295.585149293376,NA,292.576881325607
"2015-01-08",NA,10.6338830676553,-213.998403909675,NA,176.934476609757
"2015-01-09",NA,-7.50873177296795,-219.551157796401,NA,128.502208307964
"2015-01-12",NA,-24.8668936185954,-221.951363005381,NA,123.682193394403
"2015-01-13",NA,-30.9005667560755,-183.876880834712,NA,101.276495725689
"2015-01-14",NA,-43.459705193272,-340.345480836765,NA,61.4871280331101
"2015-01-15",NA,-62.8542501650158,-232.774856556605,NA,167.916061184337
"2015-01-16",NA,-36.8941249416142,-184.052560854201,NA,169.765240630754
"2015-01-19",NA,NA,-151.576050369724,NA,-169.563457585999
"2015-01-20",NA,-34.5492268119924,-119.802705663427,NA,-105.668227598402
"2015-01-21",NA,-25.7594378144918,-14.6698446400821,NA,31.6528065517273
"2015-01-22",NA,4.49537429379513,51.1052643171101,NA,32.60156450165
"2015-01-23",NA,-7.60464759632132,84.4853588889096,NA,54.1799528045885
"2015-01-26",NA,-3.09936245222415,101.233155631193,NA,69.7898645375539
"2015-01-27",NA,-31.3986260978447,57.6213361769988,NA,3.43317038175002
"2015-01-28",NA,-59.5422930759632,69.1325403136481,NA,-61.6882878298932
"2015-01-29",NA,-41.2002049504296,50.9793840101223,NA,-105.772669683542
"2015-01-30",NA,-68.2021786726936,-13.0255453412246,NA,-184.218109265998
"2015-02-02",NA,-43.0780141637111,17.3303185791507,NA,-230.422696941889
"2015-02-03",NA,-14.6274831524014,103.79954747499,NA,-185.984446927466
"2015-02-04",NA,-23.8703395609665,89.2547058864501,NA,-263.301278191519
"2015-02-05",NA,-3.57633126518063,92.4183154470944,NA,-313.971032824229
"2015-02-06",NA,-11.3351962737865,77.2028608961585,NA,-338.391444077754
"2015-02-09",NA,-20.7666711172209,58.2107887708423,NA,-320.56011542116
"2015-02-10",NA,0.38951235960909,47.5045136958441,NA,-273.074510446153
"2015-02-11",NA,-0.356369104118004,33.9064262338545,NA,-277.131960237879
"2015-02-12",NA,18.9159610697712,41.2288973110949,NA,-281.9296830033
"2015-02-13",NA,26.7567796067782,84.0542838381737,NA,-285.264782394116
"2015-02-16",NA,NA,65.0349256834139,NA,-257.934245523962
"2015-02-17",NA,29.4463554132901,103.603127970494,NA,-259.134941589231
"2015-02-25",NA,39.201312316821,126.695755951527,NA,-298.263633166518
"2015-02-26",NA,35.48871922706,138.858301821632,NA,-192.116975716749
"2015-02-27",NA,28.6665816468942,133.655406507711,NA,-230.691501410607
"2015-03-02",NA,40.9850447176319,125.558966187286,NA,-224.783663005397
"2015-03-03",NA,30.8142417309785,72.0308217899979,NA,-304.389817899459
"2015-03-04",NA,21.0142890370818,100.182762344487,NA,-323.706230574775
"2015-03-05",NA,22.9852902487064,140.186547104889,NA,-363.129039691055
"2015-03-06",NA,-7.32265970783397,89.0138939137902,NA,-392.254250100751
"2015-03-09",NA,0.330524592544967,51.9164626660235,NA,-330.677716553363
"2015-03-10",NA,-35.4450683981306,-123.414123537867,NA,-379.795131656167
"2015-03-11",NA,-39.8593503644808,-106.376263057889,NA,-377.802051327777
"2015-03-12",NA,-14.6322183395684,-68.3783032396457,NA,-340.29387449436
"2015-03-13",NA,-27.6535528801873,-90.3585474568171,NA,-321.665843914461
"2015-03-16",NA,-0.323228494769823,-28.2752708183263,NA,-242.713061682426
"2015-03-17",NA,-7.68110826089201,3.91328891736968,NA,-203.430496929016
"2015-03-18",NA,17.1029448774654,110.238905679812,NA,-167.213018457175
"2015-03-19",NA,6.44907115143842,126.173351780766,NA,-162.05541097967
"2015-03-20",NA,24.8674037224487,185.258353963974,NA,-116.752390090437
"2015-03-23",0.993073672932831,20.7880730861692,199.39558681791,NA,-20.4986043962442
"2015-03-24",0.895298645120467,7.48119945903973,180.466648352888,NA,-62.2886542423807
"2015-03-25",0.827523206811366,-23.3431055354356,150.90305415692,NA,-85.1171315020469
"2015-03-26",0.349746577428379,-28.6047333661671,54.4962452203293,NA,-113.778602299647
"2015-03-27",0.471967634329484,-24.0835658529612,13.5076001565686,NA,-72.8675975763242
"2015-03-30",0.14418511030152,0.800527008389373,49.3284750521418,NA,71.621398758489
"2015-03-31",-0.363602456961129,-17.8723148226731,-69.5597795897228,NA,-43.5060670840915
"2015-04-01",0.088603410635581,-26.3819517176628,-33.5058336562081,NA,33.355521501143
"2015-04-02",0.310801341484378,-19.4082366603715,-9.85832828143707,NA,6.8116991043123
"2015-04-03",0.00298992735289097,NA,NA,NA,96.8679865263841
"2015-04-07",-0.0748323684640756,-10.5901109805989,118.234109250345,NA,121.129901753699
"2015-04-08",-0.842667083907627,-5.2753659771188,93.7528557302533,NA,119.602922730368
"2015-04-09",-0.740515725986126,3.76339609563117,171.679239076055,NA,89.0924773310356
"2015-04-10",-0.808379453383291,14.4163502327991,246.164548451754,NA,231.003943990924
"2015-04-13",-0.366259118683416,4.57366987391452,220.870002056059,NA,266.342664317884
"2015-04-14",-0.424155240319243,7.78552249934183,232.106716333285,NA,253.513884431764
"2015-04-15",0.157931814673351,18.3920736988598,254.005716428794,NA,211.122740357917
"2015-04-16",0.190001854587155,16.5834858440625,218.157931544539,NA,341.974263328725
"2015-04-17",0.31205462243228,-7.38008629599614,152.924185886499,-76.0705668409646,412.273397307027
"2015-04-20",1.26408978267974,11.701505192736,211.115213483208,-173.225092838369,322.024944897449
"2015-04-21",1.4061068708097,8.46841127500977,222.711685150431,-75.9795873912594,417.233538286928
"2015-04-22",1.43810489977846,19.0307780785991,188.924184437368,8.06605254916439,552.503676550327
"2015-04-23",1.36008230131426,23.9087482308157,215.363202833081,-22.0880385613899,500.839686295006
"2015-04-24",1.05203691269058,28.5924564923738,233.509153732925,-46.8417296013973,500.445665745474
"2015-04-27",1.78396600897765,19.7620277410958,268.012361509997,87.8051196809757,576.325506099828
"2015-04-28",1.76586643037584,25.5575750358205,195.893054013956,27.0526689000481,487.482891691615
"2015-04-29",1.71773427966582,17.6192032665603,113.081348309087,45.5010413750335,531.921268624558
"2015-04-30",1.98956492968993,-3.73299324111622,128.977280484913,29.7503492427964,523.443881496278
"2015-05-04",1.63135304324844,25.2714892412156,NA,43.6006858316272,508.253755030156
"2015-05-05",1.53309246073534,0.278337527343897,99.3419625509715,-56.5478678276399,363.953697578314
"2015-05-06",1.18477634820892,-8.97831232197075,107.370520042571,-56.4952487269486,323.546307401591
