"ZL00YDate","ZL00YClose","ZL00Y_hpft","ZL00Y_hpfc"
2010-09-02,40.2,43.6404989089588,-3.44049890895882
2010-09-03,40.86,43.7584624793201,-2.89846247932014
2010-09-07,41.79,43.8775740418878,-2.08757404188776
2010-09-08,41.68,43.9978130035805,-2.3178130035805
2010-09-09,41.59,44.1191579083944,-2.52915790839437
2010-09-10,41.76,44.2415863422363,-2.48158634223631
2010-09-13,41.81,44.3650748455605,-2.55507484556048
2010-09-14,41.71,44.4895989330328,-2.77959893303276
2010-09-15,42.01,44.6151330631555,-2.60513306315551
2010-09-16,41.75,44.7416505454539,-2.99165054545393
2010-09-17,42.3,44.8691236125977,-2.56912361259769
2010-09-20,43.05,44.9975232606284,-1.9475232606284
2010-09-21,42.82,45.1268194236158,-2.30681942361584
2010-09-22,43.26,45.2569812306015,-1.99698123060153
2010-09-23,43.9,45.3879768570792,-1.48797685707918
2010-09-24,44.89,45.5197736530725,-0.629773653072517
2010-09-27,44.97,45.6523383535342,-0.682338353534224
2010-09-28,44.93,45.7856374330939,-0.855637433093864
2010-09-29,44.44,45.9196370843309,-1.47963708433091
2010-09-30,45.09,46.0543031461382,-0.96430314613815
2010-10-01,43.83,46.1896008457854,-2.35960084578542
2010-10-04,43.45,46.3254950119395,-2.87549501193948
2010-10-05,43.82,46.4619494979019,-2.64194949790188
2010-10-06,43.78,46.5989269683604,-2.81892696836045
2010-10-07,44.12,46.7363889959281,-2.61638899592811
2010-10-08,46.62,46.8742959879856,-0.254295987985555
2010-10-11,46.35,47.0126072704046,-0.662607270404609
2010-10-12,46.95,47.1512820639407,-0.201282063940685
2010-10-13,47.58,47.290279315454,0.289720684546048
2010-10-14,48.02,47.4295578886028,0.590442111397188
2010-10-15,47.77,47.5690767668048,0.200923233195196
2010-10-18,47.66,47.7087951775422,-0.0487951775421738
2010-10-19,47.1,47.8486724313509,-0.748672431350855
2010-10-20,48.47,47.988667818597,0.481332181402992
2010-10-21,48.24,48.1287403201754,0.1112596798246
2010-10-22,48.3,48.2688491159444,0.031150884055642
2010-10-25,49.47,48.4089534317523,1.06104656824766
2010-10-26,49.53,48.5490125063245,0.980987493675534
2010-10-27,49.6,48.6889860169807,0.911013983019275
2010-10-28,49.7,48.8288340465399,0.871165953460094
2010-10-29,49.3,48.9685170543985,0.331482945601499
2010-11-01,49.75,49.1079958600581,0.64200413994188
2010-11-02,49.63,49.2472314200417,0.382768579958256
2010-11-03,49.9,49.386184956251,0.513815043749043
2010-11-04,51.25,49.5248178488087,1.7251821511913
2010-11-05,52.22,49.6630916902281,2.55690830977192
2010-11-08,52.01,49.8009687861435,2.2090312138565
2010-11-09,53.4,49.9384124991124,3.46158750088761
2010-11-10,54.25,50.0753871048173,4.17461289518271
2010-11-11,55.35,50.2118583098208,5.13814169017923
2010-11-12,52.85,50.3477935463028,2.50220645369718
2010-11-15,52.75,50.4831623703459,2.26683762965414
2010-11-16,50.25,50.6179353723416,-0.367935372341638
2010-11-17,49.25,50.7520840797033,-1.50208407970329
2010-11-18,51.25,50.8855798677534,0.364420132246604
2010-11-19,49.3,51.0183934909139,-1.71839349091387
2010-11-22,49.51,51.1504958542437,-1.64049585424366
2010-11-23,49.57,51.2818571524849,-1.71185715248486
2010-11-24,50.6,51.4124469022661,-0.812446902266142
2010-11-26,50.25,51.5422339126031,-1.29223391260313
2010-11-29,50.22,51.6711866566802,-1.45118665668019
2010-11-30,51,51.7992730735207,-0.799273073520709
