"ZS00YDate","ZS00YClose","ZS00Y_hpft","ZS00Y_hpfc"
2021-03-19,1416.5,1410.68510659686,5.81489340313599
2021-03-22,1418.25,1412.15420626751,6.0957937324857
2021-03-23,1421.75,1413.57582085247,8.1741791475312
2021-03-24,1431.5,1414.94976009458,16.550239905416
2021-03-25,1415.5,1416.27583711567,-0.775837115667866
2021-03-26,1401.5,1417.55387187877,-16.0538718787684
2021-03-29,1390.75,1418.78368402625,-28.0336840262534
2021-03-30,1367.5,1419.96508656437,-52.4650865643736
2021-03-31,1436.75,1421.09788091147,15.6521190885273
2021-04-01,1401.75,1422.18184679891,-20.4318467989125
2021-04-05,1412,1423.21677042806,-11.2167704280557
2021-04-06,1420.5,1424.20242955441,-3.70242955440752
2021-04-07,1408,1425.13859729696,-17.1385972969627
2021-04-08,1415.5,1426.02504524436,-10.5250452443617
2021-04-09,1403.25,1426.86153790085,-23.6115379008551
2021-04-12,1383,1427.64783542013,-44.647835420135
2021-04-13,1389.25,1428.38368819556,-39.1336881955615
2021-04-14,1409.75,1429.06882816501,-19.3188281650128
2021-04-15,1417.25,1429.70297109009,-12.4529710900876
2021-04-16,1422,1430.28582474684,-8.28582474683595
2021-04-19,1435,1430.81709176354,4.18290823646466
2021-04-20,1458.25,1431.29647134368,26.9535286563198
2021-04-21,1480,1431.7236644196,48.2763355804016
2021-04-22,1514.5,1432.09838306527,82.4016169347288
2021-04-23,1516.75,1432.4203593102,84.3296406897985
2021-04-26,1541.5,1432.68935924522,108.810640754775
2021-04-27,1518.25,1432.90518381992,85.3448161800799
2021-04-28,1507.75,1433.06767896154,74.6823210384631
2021-04-29,1500.5,1433.17672587558,67.3232741244242
2021-04-30,1535.75,1433.23223663815,102.517763361851
2021-05-03,1526.25,1433.23415115428,93.0158488457192
2021-05-04,1540,1433.18245170552,106.817548294478
2021-05-05,1542,1433.07715902244,108.922840977555
2021-05-06,1569.25,1432.91833798987,136.331662010129
2021-05-07,1589.75,1432.70609851669,157.043901483308
2021-05-10,1587.25,1432.44060686608,154.809393133921
2021-05-11,1616,1432.12209421666,183.877905783341
2021-05-12,1643,1431.75085573904,211.249144260956
2021-05-13,1583.5,1431.32726261176,152.172737388245
2021-05-14,1591,1430.85177333503,160.148226664974
2021-05-17,1587.25,1430.32490931122,156.925090688783
2021-05-18,1574.5,1429.74725814164,144.75274185836
2021-05-19,1542.75,1429.11947229402,113.63052770598
2021-05-20,1531.75,1428.44226407101,103.307735928991
2021-05-21,1524.5,1427.71639274567,96.783607254333
2021-05-24,1521.75,1426.94266029422,94.8073397057751
2021-05-25,1512.75,1426.12190869941,86.6280913005943
2021-05-26,1503.75,1425.25501913343,78.4949808665738
2021-05-27,1536.75,1424.34290857715,112.407091422848
2021-05-28,1528.75,1423.38652645811,105.363473541894
2021-06-01,1548.25,1422.38686866834,125.863131331664
2021-06-02,1565.25,1421.34497465287,143.905025347133
2021-06-03,1548.5,1420.26193588363,128.238064116368
2021-06-04,1582.5,1419.13890331698,163.361096683017
2021-06-07,1562,1417.97708091781,144.022919082192
2021-06-08,1583,1416.77774017782,166.222259822175
2021-06-09,1561.25,1415.54221212217,145.707787877831
2021-06-10,1543.25,1414.27189648544,128.978103514563
2021-06-11,1508.25,1412.96825323206,95.281746767945
2021-06-14,1471.75,1411.63279564073,60.1172043592729
2021-06-15,1463.75,1410.26707637584,53.4829236241594
2021-06-16,1442.5,1408.8726729519,33.6273270480975
2021-06-17,1247.25,1407.45118499098,-160.201184990982
2021-06-18,1315,1406.00422601533,-91.0042260153295
2021-06-21,1320.5,1404.53334332656,-84.0333433265621
2021-06-22,1303.5,1403.04004660875,-99.5400466087459
2021-06-23,1298.5,1401.52581081001,-103.025810810006
2021-06-24,1291.25,1399.99206973254,-108.742069732543
2021-06-25,1269.75,1398.44021459185,-128.690214591853
2021-06-28,1311.5,1396.87159165384,-85.3715916538426
2021-06-29,1310.25,1395.28749398908,-85.0374939890764
2021-06-30,1393.25,1393.68917937889,-0.439179378891819
2021-07-01,1394.75,1392.07787045358,2.67212954642271
2021-07-02,1398,1390.45478966188,7.54521033811719
2021-07-06,1306.25,1388.82116055707,-82.571160557068
2021-07-07,1331,1387.17820981134,-56.1782098113362
2021-07-08,1322,1385.52712996526,-63.5271299652633
2021-07-09,1326.5,1383.86909033762,-57.369090337621
2021-07-12,1351,1382.20523398761,-31.2052339876136
2021-07-13,1351.25,1380.53668026038,-29.2866802603757
2021-07-14,1384,1378.86453560205,5.13546439795329
2021-07-15,1378.75,1377.18989435283,1.56010564716609
2021-07-16,1389,1375.51385297574,13.4861470242641
2021-07-19,1375,1373.83750857864,1.1624914213583
2021-07-20,1389.75,1372.16196384407,17.5880361559312
2021-07-21,1389.5,1370.48832193506,19.0116780649381
2021-07-22,1362.5,1368.81769328485,-6.31769328485264
2021-07-23,1348.5,1367.15119618532,-18.6511961853249
2021-07-26,1358.5,1365.48994631691,-6.98994631690586
2021-07-27,1361.25,1363.83505165036,-2.58505165035574
2021-07-28,1361,1362.18761726706,-1.18761726706185
2021-07-29,1378.5,1360.54874717986,17.9512528201385
2021-07-30,1348,1358.91954491067,-10.9195449106748
2021-08-02,1352.5,1357.30112140179,-4.8011214017867
2021-08-03,1320,1355.69458308173,-35.6945830817347
2021-08-04,1327,1354.10103439449,-27.1010343944861
2021-08-05,1328.5,1352.52156502927,-24.0215650292749
2021-08-06,1338.75,1350.9572534729,-12.2072534728983
2021-08-09,1331,1349.40916828257,-18.409168282571
2021-08-10,1338.5,1347.87837296956,-9.37837296956472
2021-08-11,1339.5,1346.36592343547,-6.8659234354679
2021-08-12,1341.25,1344.8728717053,-3.62287170529609
2021-08-13,1365.75,1343.40026696596,22.3497330340428
2021-08-16,1368,1341.94915690678,26.0508430932176
2021-08-17,1363,1340.52059845558,22.4794015444155
2021-08-18,1352.25,1339.11565930858,13.1343406914188
2021-08-19,1321,1337.73541645403,-16.7354164540278
2021-08-20,1292.5,1336.38095230944,-43.8809523094394
2021-08-23,1295,1335.05334237455,-40.0533423745485
2021-08-24,1331.75,1333.75364401042,-2.00364401042132
2021-08-25,1331.5,1332.48289802177,-0.982898021766587
2021-08-26,1325.75,1331.24214438508,-5.4921443850767
2021-08-27,1320,1330.03242267046,-10.0324226704556
2021-08-30,1302.75,1328.85477017783,-26.1047701778343
2021-08-31,1293.5,1327.71022006013,-34.2102200601296
2021-09-01,1277.75,1326.59979467963,-48.849794679634
2021-09-02,1282.5,1325.5245022575,-43.0245022575033
2021-09-03,1290,1324.4853308222,-34.4853308222017
2021-09-07,1276.75,1323.48325061779,-46.7332506177909
2021-09-08,1280.25,1322.51921763349,-42.2692176334856
2021-09-09,1272.25,1321.59416854081,-49.344168540812
2021-09-10,1288.5,1320.70902253871,-32.2090225387057
2021-09-13,1285.25,1319.86467842954,-34.6146784295419
2021-09-14,1282,1319.06202170153,-37.0620217015276
2021-09-15,1295.5,1318.30192353469,-22.8019235346874
2021-09-16,1295.5,1317.58523978897,-22.0852397889667
2021-09-17,1284.25,1316.91281689902,-32.6628168990226
2021-09-20,1263.5,1316.2854921704,-52.7854921703997
