"SPXDate","SPXClose","SPX_hpft","SPX_hpfc"
2010-12-07,1223.75,1228.29451284265,-4.54451284264984
2010-12-08,1228.28,1229.87693177017,-1.59693177017148
2010-12-09,1233,1231.45433563561,1.54566436438554
2010-12-10,1240.4,1233.02626519048,7.37373480951588
2010-12-13,1240.46,1234.5922618252,5.86773817480485
2010-12-14,1241.59,1236.15186997819,5.43813002180688
2010-12-15,1235.23,1237.70463651339,-2.47463651338752
2010-12-16,1242.87,1239.25011054261,3.61988945739287
2010-12-17,1243.91,1240.78784015474,3.1221598452603
2010-12-20,1247.08,1242.31737493502,4.7626250649774
2010-12-21,1254.6,1243.83826575924,10.7617342407565
2010-12-22,1258.84,1245.35006547188,13.4899345281153
2010-12-23,1256.77,1246.85233136591,9.91766863409451
2010-12-27,1257.54,1248.34462631042,9.19537368957977
2010-12-28,1258.51,1249.82651727415,8.68348272584742
2010-12-29,1259.78,1251.29757502681,8.48242497319265
2010-12-30,1257.88,1252.75737392748,5.12262607251941
2010-12-31,1257.64,1254.20549184156,3.43450815843684
2011-01-03,1271.87,1255.64150875198,16.2284912480223
2011-01-04,1270.2,1257.06500606127,13.134993938733
2011-01-05,1276.56,1258.47557188021,18.08442811979
2011-01-06,1273.85,1259.8727997491,13.9772002509049
2011-01-07,1271.5,1261.25629068351,10.2437093164873
2011-01-10,1269.75,1262.62565147676,7.12434852323978
2011-01-11,1274.48,1263.9804931564,10.4995068436029
2011-01-12,1285.96,1265.32042969494,20.6395703050649
2011-01-13,1283.76,1266.64507940493,17.1149205950684
2011-01-14,1293.24,1267.95406913054,25.2859308694561
2011-01-18,1295.02,1269.24703279054,25.7729672094575
2011-01-19,1281.92,1270.52361475588,11.3963852441245
2011-01-20,1280.26,1271.78347005102,8.47652994897587
2011-01-21,1283.35,1273.02625841125,10.3237415887537
2011-01-24,1290.84,1274.25164307568,16.5883569243181
2011-01-25,1291.18,1275.45929155081,15.7207084491916
2011-01-26,1296.63,1276.64887820018,19.9811217998232
2011-01-27,1299.54,1277.82008388562,21.7199161143788
2011-01-28,1276.34,1278.9725977283,-2.63259772829572
2011-01-31,1286.12,1280.10611782758,6.01388217241814
2011-02-01,1307.59,1281.22034119461,26.3696588053867
2011-02-02,1304.03,1282.31496732642,21.7150326735826
2011-02-03,1307.1,1283.38970662016,23.7102933798379
2011-02-04,1310.87,1284.44427844917,26.4257215508323
2011-02-07,1319.05,1285.47841198767,33.5715880123321
2011-02-08,1324.57,1286.49184733311,38.0781526668928
2011-02-09,1320.88,1287.48433846018,33.3956615398191
2011-02-10,1321.87,1288.45565508359,33.4143449164105
2011-02-11,1329.15,1289.40558072235,39.7444192776464
2011-02-14,1332.32,1290.33391270768,41.9860872923218
2011-02-15,1328.01,1291.24046479957,36.7695352004314
2011-02-16,1336.32,1292.12506811333,44.1949318866652
2011-02-17,1340.43,1292.98756896331,47.442431036687
2011-02-18,1343.01,1293.82783193228,49.1821680677174
2011-02-22,1315.44,1294.64574121384,20.7942587861612
2011-02-23,1307.4,1295.44120133143,11.9587986685725
2011-02-24,1306.1,1296.2141254041,9.88587459589731
2011-02-25,1319.88,1296.96443149412,22.9155685058758
2011-02-28,1327.22,1297.69204175024,29.5279582497595
2011-03-01,1306.33,1298.39688779352,7.93311220648092
2011-03-02,1308.44,1299.07891345074,9.36108654925554
2011-03-03,1330.97,1299.73806582791,31.2319341720865
2011-03-04,1321.15,1300.37429590049,20.7757040995109
2011-03-07,1310.13,1300.98756755402,9.14243244597817
2011-03-08,1321.82,1301.57785326184,20.2421467381615
2011-03-09,1320.02,1302.14512927644,17.8748707235596
2011-03-10,1295.11,1302.68938021757,-7.57938021756672
2011-03-11,1304.28,1303.21059809374,1.06940190626208
2011-03-14,1296.39,1303.70877178043,-7.31877178042954
2011-03-15,1281.87,1304.18389059521,-22.3138905952115
2011-03-16,1256.88,1304.63594083036,-47.7559408303607
2011-03-17,1273.72,1305.06489955447,-31.3448995544716
2011-03-18,1279.2,1305.47072409575,-26.2707240957536
2011-03-21,1298.38,1305.85335882568,-7.47335882568416
2011-03-22,1293.77,1306.2127372565,-12.4427372565022
2011-03-23,1297.54,1306.54878981123,-9.00878981123467
2011-03-24,1309.66,1306.86144176959,2.79855823041224
2011-03-25,1313.8,1307.15061468744,6.64938531255985
2011-03-28,1310.19,1307.41623127744,2.77376872256259
2011-03-29,1319.44,1307.65821700087,11.7817829991336
2011-03-30,1328.26,1307.87649846546,20.3835015345407
2011-03-31,1325.83,1308.07100714915,17.7589928508496
2011-04-01,1332.41,1308.24168295565,24.1683170443512
2011-04-04,1332.87,1308.38847312938,24.4815268706176
2011-04-05,1332.63,1308.51133490512,24.1186650948821
2011-04-06,1335.54,1308.61023563724,26.9297643627553
2011-04-07,1333.51,1308.68515264982,24.8248473501776
2011-04-08,1328.17,1308.73607439863,19.4339256013718
2011-04-11,1324.46,1308.76299960097,15.6970003990285
2011-04-12,1314.16,1308.7659350074,5.39406499259707
2011-04-13,1314.41,1308.74489385696,5.6651061430387
2011-04-14,1314.52,1308.69989161843,5.82010838156868
2011-04-15,1319.68,1308.63094610229,11.0490538977111
2011-04-18,1305.14,1308.53807752479,-3.39807752478647
2011-04-19,1312.62,1308.4213106695,4.198689330503
2011-04-20,1330.36,1308.28066891527,22.0793310847344
2011-04-21,1337.38,1308.11617737656,29.2638226234408
2011-04-25,1335.25,1307.92787029451,27.3221297054871
2011-04-26,1347.24,1307.71579400682,39.5242059931824
2011-04-27,1355.66,1307.48000614495,48.1799938550477
2011-04-28,1360.48,1307.22058067817,53.2594193218296
2011-04-29,1363.61,1306.93761149137,56.6723885086288
