"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2021-01-05,1850,1863.65763754724,-13.6576375472417
2021-01-06,1852,1867.08664283381,-15.0866428338061
2021-01-07,1895,1870.52701348734,24.4729865126634
2021-01-08,1888,1873.97848566518,14.0215143348203
2021-01-11,1913,1877.44080564091,35.5591943590914
2021-01-12,1951,1880.91372548395,70.0862745160484
2021-01-13,1953,1884.39701196253,68.6029880374706
2021-01-14,2008,1887.89046081567,120.109539184327
2021-01-15,2033,1891.39389614017,141.606103859828
2021-01-18,1967,1894.90719168125,72.0928083187514
2021-01-19,1948,1898.43027971838,49.5697202816205
2021-01-20,1930,1901.96312233131,28.0368776686891
2021-01-21,1962,1905.50570208995,56.4942979100488
2021-01-22,1942,1909.0580131535,32.9419868464971
2021-01-25,1991,1912.62007303363,78.3799269663701
2021-01-26,1967,1916.19191285891,50.8080871410901
2021-01-27,1997,1919.77359615701,77.226403842986
2021-01-28,1989,1923.36520745765,65.6347925423499
2021-01-29,2058,1926.96686321281,131.03313678719
2021-02-01,2035,1930.57870700524,104.421292994756
2021-02-02,2045,1934.20093658157,110.799063418428
2021-02-03,1981,1937.83379285192,43.1662071480757
2021-02-04,2009,1941.47756252637,67.5224374736284
2021-02-05,1984,1945.13255015812,38.8674498418848
2021-02-08,1962,1948.79908821145,13.2009117885492
2021-02-09,2016,1952.47752521688,63.5224747831173
2021-02-10,1970,1956.16821516164,13.8317848383576
2021-02-18,2028,1959.87153829065,68.1284617093538
2021-02-19,2026,1963.58788056628,62.4121194337221
2021-02-22,2044,1967.31765611247,76.682343887532
2021-02-23,2045,1971.06130485182,73.938695148181
2021-02-24,2024,1974.81929840436,49.1807015956422
2021-02-25,2029,1978.59213895336,50.4078610466401
2021-02-26,1964,1982.38034901143,-18.3803490114251
2021-03-01,1943,1986.18447192782,-43.184471927822
2021-03-02,1939,1990.00504345401,-51.005043454014
2021-03-03,1907,1993.84258149078,-86.8425814907849
2021-03-04,1895,1997.69758285547,-102.697582855469
2021-03-05,1842,2001.57050846819,-159.570508468192
2021-03-08,1899,2005.46177679798,-106.461776797985
2021-03-09,1895,2009.37174035394,-114.371740353935
2021-03-10,1939,2013.300707638,-74.3007076380021
2021-03-11,1927,2017.24893987551,-90.2489398755095
2021-03-12,1906,2021.21666757893,-115.216667578935
2021-03-15,1969,2025.20408395536,-56.2040839553596
2021-03-16,1950,2029.21133458599,-79.2113345859867
2021-03-17,1981,2033.23854181948,-52.2385418194806
2021-03-18,1969,2037.28579526176,-68.2857952617589
2021-03-19,1939,2041.35316292543,-102.353162925426
2021-03-22,1912,2045.44068459644,-133.440684596443
2021-03-23,1939,2049.54835775214,-110.548357752145
2021-03-24,1969,2053.67612471079,-84.6761247107929
2021-03-25,1979,2057.82388209441,-78.8238820944107
2021-03-26,2020,2061.99149152338,-41.9914915233829
2021-03-29,2012,2066.17878203537,-54.1787820353717
2021-03-30,2003,2070.38556531056,-67.3855653105602
2021-03-31,1947,2074.61163063371,-127.611630633706
2021-04-01,1928,2078.85673943517,-150.856739435166
2021-04-02,1923,2083.12060039571,-160.12060039571
2021-04-06,1937,2087.402859838,-150.402859837999
