"GC00YDate","GC00YClose","GC00Y_hpft","GC00Y_hpfc"
2018-05-18,1291.7,1290.91354934858,0.786450651421933
2018-05-21,1292,1290.04453303144,1.95546696856104
2018-05-22,1290.5,1289.16711706089,1.33288293910936
2018-05-23,1298.2,1288.28162307001,9.91837692999454
2018-05-24,1309.6,1287.38837324283,22.2116267571704
2018-05-25,1306.5,1286.48769386327,20.0123061367341
2018-05-28,1302.7,1285.5799203966,17.1200796034038
2018-05-29,1303.2,1284.66539658039,18.5346034196087
2018-05-30,1305.7,1283.74447322897,21.9555267710312
2018-05-31,1302.7,1282.81750881813,19.8824911818672
2018-06-01,1297.9,1281.88487089918,16.01512910082
2018-06-04,1295.9,1280.94693524204,14.953064757957
2018-06-05,1300.5,1280.00408423668,20.4959157633171
2018-06-06,1300.6,1279.05670645404,21.5432935459626
2018-06-07,1301.3,1278.10519893724,23.1948010627614
2018-06-08,1303.5,1277.14996763455,26.350032365449
2018-06-11,1304.5,1276.19142808203,28.3085719179678
2018-06-12,1299.6,1275.23000670779,24.369993292212
2018-06-13,1302.9,1274.26614164156,28.6338583584402
2018-06-14,1305.8,1273.30028108664,32.4997189133586
2018-06-15,1282,1272.33288508242,9.66711491758093
2018-06-18,1280.6,1271.36442710236,9.2355728976377
2018-06-19,1277,1270.39538461594,6.60461538406391
2018-06-20,1270,1269.42623891022,0.57376108978098
2018-06-21,1269,1268.45747400237,0.542525997628532
2018-06-22,1271.1,1267.48957414672,3.61042585327599
2018-06-25,1267.3,1266.52302382187,0.776976178134414
2018-06-26,1260.8,1265.55830899879,-4.75830899879115
2018-06-27,1253.8,1264.59591596967,-10.7959159696679
2018-06-28,1249.5,1263.63632905976,-14.1363290597585
2018-06-29,1254.2,1262.68002813175,-8.48002813174553
2018-07-02,1242.8,1261.72748720491,-18.9274872049089
2018-07-03,1254,1260.77917679323,-6.779176793229
2018-07-04,1258.1,1259.83555958683,-1.73555958682925
2018-07-05,1258.8,1258.89709547358,-0.0970954735837748
2018-07-06,1255.9,1257.96424362397,-2.06424362396533
2018-07-09,1258.3,1257.0374631683,1.26253683169927
2018-07-10,1255.9,1256.11721238365,-0.217212383646992
2018-07-11,1241.9,1255.20395006896,-13.3039500689559
2018-07-12,1247.7,1254.29813493337,-6.59813493336674
2018-07-13,1241.8,1253.40022018671,-11.6002201867117
2018-07-16,1241,1252.51065631145,-11.5106563114463
2018-07-17,1227.4,1251.62988899491,-24.2298889949103
2018-07-18,1227.3,1250.75835916643,-23.4583591664334
2018-07-19,1222.5,1249.8964977397,-27.3964977396991
2018-07-20,1231.9,1249.04472593162,-17.1447259316154
2018-07-23,1225.1,1248.20345363448,-23.103453634485
2018-07-24,1233.8,1247.37308365368,-13.573083653684
2018-07-25,1241,1246.55400924454,-5.55400924453715
2018-07-26,1231.6,1245.74661805184,-14.1466180518387
2018-07-27,1232.5,1244.95129542451,-12.4512954245059
2018-07-30,1230.2,1244.16842086388,-13.9684208638805
2018-07-31,1232.9,1243.3983687244,-10.4983687244032
2018-08-01,1224.5,1242.64150758655,-18.1415075865517
2018-08-02,1215.9,1241.89820169118,-25.9982016911786
2018-08-03,1221.9,1241.1688077802,-19.2688077802033
2018-08-06,1215.6,1240.45367184888,-24.8536718488803
2018-08-07,1218.8,1239.75313192755,-20.9531319275487
2018-08-08,1221.8,1239.06751577308,-17.2675157730821
2018-08-09,1220,1238.39714248108,-18.3971424810844
2018-08-10,1219.2,1237.74232400953,-18.5423240095284
2018-08-13,1200.5,1237.1033647117,-36.6033647117016
2018-08-14,1201.1,1236.48056127625,-35.3805612762458
2018-08-15,1181.8,1235.87419526147,-54.0741952614699
2018-08-16,1181,1235.28453360077,-54.2845336007667
2018-08-17,1191.8,1234.71182087545,-42.9118208754486
2018-08-20,1197.3,1234.15627922776,-36.856279227761
2018-08-21,1202.7,1233.61811306195,-30.9181130619481
2018-08-22,1202.5,1233.09751154732,-30.5975115473171
2018-08-23,1191.8,1232.59465107295,-40.794651072953
2018-08-24,1212.3,1232.10969538003,-19.8096953800302
2018-08-27,1217.6,1231.64279134693,-14.0427913469344
2018-08-28,1207.1,1231.19407766353,-24.0940776635276
2018-08-29,1212.8,1230.76368721492,-17.9636872149155
2018-08-30,1205.8,1230.35174292672,-24.5517429267187
2018-08-31,1206.9,1229.95836029904,-23.0583602990442
2018-09-03,1201.9,1229.58364468332,-27.6836446833186
2018-09-04,1197.1,1229.22769189958,-32.1276918995795
2018-09-05,1202.3,1228.89058632456,-26.5905863245608
2018-09-06,1205.3,1228.57239905466,-23.2723990546567
2018-09-07,1201.8,1228.27319019483,-26.4731901948331
2018-09-10,1201,1227.99301023021,-26.9930102302137
2018-09-11,1203.7,1227.73189870287,-24.0318987028697
2018-09-12,1211.6,1227.48988399709,-15.8898839970933
2018-09-13,1206.4,1227.26698456338,-20.8669845633812
2018-09-14,1198.3,1227.06321228394,-28.7632122839434
2018-09-17,1206.1,1226.87857041546,-20.7785704154651
2018-09-18,1202.9,1226.71305032501,-23.8130503250091
2018-09-19,1208.7,1226.5666347907,-17.8666347906995
2018-09-20,1211.9,1226.43929674727,-14.5392967472673
2018-09-21,1203.3,1226.3310017441,-23.0310017440971
2018-09-24,1203.4,1226.24170932059,-22.8417093205908
2018-09-25,1205.7,1226.17136949605,-20.4713694960472
2018-09-26,1198.5,1226.11992284802,-27.6199228480175
2018-09-27,1186.4,1226.08730149192,-39.6873014919204
2018-09-28,1196.2,1226.07342612622,-29.8734261262202
2018-10-01,1192.6,1226.07820104427,-33.4782010442719
2018-10-02,1207.3,1226.10151819093,-18.801518190931
2018-10-03,1201.1,1226.14325567249,-25.0432556724898
2018-10-04,1203.7,1226.20328382355,-22.5032838235522
2018-10-05,1206.7,1226.2814626267,-19.5814626267037
2018-10-08,1191.5,1226.3776427627,-34.8776427627013
2018-10-09,1193.1,1226.49166681804,-33.3916668180389
2018-10-10,1198.1,1226.62336296226,-28.5233629622577
2018-10-11,1227.7,1226.77254556207,0.927454437929764
2018-10-12,1221.6,1226.93901719376,-5.33901719376182
2018-10-15,1230.5,1227.12258081705,3.3774191829465
2018-10-16,1228.1,1227.3230371847,0.776962815296978
2018-10-17,1225.5,1227.54018844558,-2.04018844557812
2018-10-18,1228.9,1227.77383706968,1.12616293031942
2018-10-19,1230,1228.02378468367,1.97621531633292
2018-10-22,1224.9,1228.28983337976,-3.38983337975902
2018-10-23,1233.2,1228.57178606705,4.6282139329503
2018-10-24,1236.4,1228.86944425337,7.53055574663488
2018-10-25,1234.6,1229.18261135969,5.41738864031345
2018-10-26,1235.4,1229.5110939198,5.88890608019927
2018-10-29,1231.2,1229.85470070686,1.34529929313909
2018-10-30,1224.6,1230.21324292824,-5.61324292823973
2018-10-31,1216.1,1230.58653234741,-14.4865323474081
2018-11-01,1235.3,1230.9743784075,4.32562159249883
2018-11-02,1234.6,1231.37658456358,3.22341543642179
2018-11-05,1233,1231.79295605873,1.20704394127473
2018-11-06,1228.5,1232.22329946842,-3.72329946841967
2018-11-07,1227.8,1232.66742186708,-4.86742186707698
2018-11-08,1224.7,1233.12512879009,-8.42512879008923
2018-11-09,1210.3,1233.59622376084,-23.2962237608408
2018-11-12,1200.8,1234.0805068201,-33.2805068200969
2018-11-13,1202.8,1234.57776837888,-31.7777683788767
2018-11-14,1211.4,1235.08778509143,-23.6877850914336
2018-11-15,1213.9,1235.61032047634,-21.7103204763354
2018-11-16,1222,1236.14512826055,-14.1451282605499
2018-11-19,1224.8,1236.69195319693,-11.8919531969266
2018-11-20,1222,1237.25053419124,-15.2505341912394
2018-11-21,1226.7,1237.82060523366,-11.1206052336643
2018-11-22,1227.9,1238.40189401034,-10.5018940103442
2018-11-23,1223.4,1238.99412361066,-15.5941236106621
2018-11-26,1222.3,1239.59701278291,-17.2970127829075
2018-11-27,1220.8,1240.21027382943,-19.4102738294298
2018-11-28,1227.4,1240.83361190265,-13.43361190265
2018-11-29,1229.8,1241.46672413159,-11.6667241315944
2018-11-30,1227.8,1242.10930209235,-14.3093020923472
2018-12-03,1236,1242.76103253846,-6.76103253845826
2018-12-04,1243.9,1243.42159630855,0.478403691450202
2018-12-05,1242.6,1244.09067144655,-1.49067144655153
2018-12-06,1243.1,1244.76793619412,-1.66793619411956
2018-12-07,1254,1245.45306817673,8.54693182327128
2018-12-10,1249.8,1246.14574433041,3.65425566958736
