"CAIXINPMIDate","CAIXINPMI","CAIXINPMI_hpft","CAIXINPMI_hpfc"
2013-09-01,50.2,49.7986884738178,0.401311526182225
2013-08-01,50.1,49.7886150978014,0.311384902198585
2013-07-01,47.7,49.774823280212,-2.07482328021201
2013-06-01,48.2,49.7585550277328,-1.55855502773284
2013-05-01,49.2,49.739323327647,-0.53932332764701
2013-04-01,50.4,49.7153423713812,0.684657628618814
2013-03-01,51.6,49.6843769142557,1.91562308574435
2013-02-01,50.4,49.6447622596146,0.755237740385449
2013-01-01,52.3,49.5964300633735,2.70356993662653
2012-12-01,51.5,49.5399413462317,1.96005865376834
2012-11-01,50.5,49.4781101038355,1.02188989616445
2012-10-01,49.5,49.415383714043,0.0846162859569594
2012-09-01,47.9,49.3570611296255,-1.45706112962552
2012-08-01,47.6,49.308511816926,-1.708511816926
2012-07-01,49.3,49.2738910246795,0.0261089753205254
2012-06-01,48.2,49.2559302417734,-1.05593024177345
2012-05-01,48.4,49.257382714575,-0.857382714574954
2012-04-01,49.3,49.2801217475828,0.0198782524171826
2012-03-01,48.3,49.3253061597004,-1.02530615970041
2012-02-01,49.6,49.3941113350414,0.205888664958585
2012-01-01,48.8,49.4868582359198,-0.686858235919825
2011-12-01,48.7,49.604039398537,-0.904039398537006
2011-11-01,47.7,49.7455749772312,-2.04557497723116
2011-10-01,51,49.910631760175,1.08936823982502
2011-09-01,49.9,50.0966718897268,-0.196671889726815
2011-08-01,49.9,50.3020653151115,-0.402065315111545
2011-07-01,49.3,50.5250180923126,-1.22501809231258
2011-06-01,50.1,50.7634012228841,-0.663401222884116
2011-05-01,51.6,51.0140648599701,0.585935140029948
2011-04-01,51.8,51.2733063223619,0.526693677638103
2011-03-01,51.8,51.5379112081345,0.262088791865479
2011-02-01,51.7,51.8051040267608,-0.105104026760813
2011-01-01,54.5,52.0723276950402,2.42767230495976
2010-12-01,54.4,52.3369375430833,2.06306245691672
2010-11-01,55.3,52.5983119612545,2.70168803874546
2010-10-01,54.8,52.8575485586328,1.94245144136725
2010-09-01,52.9,53.1179963509956,-0.21799635099557
2010-08-01,51.9,53.3846230636551,-1.48462306365515
2010-07-01,49.4,53.6622147582978,-4.26221475829781
2010-06-01,50.4,53.9543203107235,-3.55432031072346
2010-05-01,52.7,54.2609367511001,-1.56093675110012
2010-04-01,55.2,54.5790991760036,0.620900823996432
2010-03-01,57,54.9045419013836,2.09545809861638
2010-02-01,55.8,55.2335166605434,0.566483339456564
2010-01-01,57.4,55.5640214018684,1.83597859813164
