"","HybridClose","Hybrid_hpft","Hybrid_hpfc"
"2017-07-03",1589540,1596871.40004674,-7331.40004673869
"2017-07-04",1572620,1598767.41462424,-26147.4146242374
"2017-07-05",1598640,1600673.78586501,-2033.78586500551
"2017-07-06",1596240,1602590.17001805,-6350.17001805315
"2017-07-07",1592840,1604516.22249169,-11676.222491691
"2017-07-10",1597440,1606451.59606934,-9011.59606934318
"2017-07-11",1611940,1608395.93870795,3544.06129205008
"2017-07-12",1602520,1610348.8946394,-7828.89463940109
"2017-07-13",1623280,1612310.10956059,10969.8904394137
"2017-07-14",1634880,1614279.22593222,20600.7740677805
"2017-07-17",1621100,1616255.89074954,4844.10925045877
"2017-07-18",1618840,1618239.75952332,600.240476677641
"2017-07-19",1651460,1620230.48976669,31229.5102333137
"2017-07-20",1658160,1622227.73924088,35932.2607591204
"2017-07-21",1651040,1624231.17861617,26808.8213838284
"2017-07-24",1652500,1626240.49341578,26259.5065842206
"2017-07-25",1640000,1628255.38024461,11744.619755395
"2017-07-26",1631600,1630275.54656218,1324.45343781905
"2017-07-27",1633780,1632300.7046828,1479.29531720499
"2017-07-28",1639640,1634330.5674682,5309.43253179528
"2017-07-31",1644380,1636364.84839166,8015.15160833869
"2017-08-01",1661040,1638403.26312111,22636.7368788924
"2017-08-02",1663380,1640445.53063763,22934.4693623664
"2017-08-03",1643980,1642491.37927944,1488.62072055929
"2017-08-04",1632920,1644540.54686493,-11620.5468649298
"2017-08-07",1641620,1646592.77182783,-4972.77182782635
"2017-08-08",1642580,1648647.7877984,-6067.78779839507
"2017-08-09",1638020,1650705.32635136,-12685.3263513556
"2017-08-10",1631740,1652765.11655325,-21025.1165532471
"2017-08-11",1601100,1654826.882227,-53726.8822270031
"2017-08-14",1621740,1656890.33850462,-35150.3385046224
"2017-08-15",1629320,1658955.17830957,-29635.1783095689
"2017-08-16",1625480,1661021.08003557,-35541.0800355733
"2017-08-17",1636180,1663087.70982637,-26907.7098263728
"2017-08-18",1640560,1665154.71913445,-24594.7191344505
"2017-08-21",1639840,1667221.74828973,-27381.7482897265
"2017-08-22",1648820,1669288.42745565,-20468.4274556514
"2017-08-23",1655320,1671354.37547716,-16034.3754771628
"2017-08-24",1647800,1673419.20273837,-25619.2027383734
"2017-08-25",1681400,1675482.51299543,5917.48700457054
"2017-08-28",1702100,1677543.89941453,24556.1005854711
"2017-08-29",1700820,1679602.95760792,21217.0423920753
"2017-08-30",1696580,1681659.29333837,14920.7066616314
"2017-08-31",1693840,1683712.52113889,10127.4788611138
"2017-09-01",1694780,1685762.26171013,9017.73828987449
"2017-09-04",1696300,1687808.13993902,8491.86006098107
"2017-09-05",1702740,1689849.78444008,12890.2155599164
"2017-09-06",1697140,1691886.82733802,5253.17266197711
"2017-09-07",1687340,1693918.90608584,-6578.90608583526
"2017-09-08",1684000,1695945.66030797,-11945.6603079682
"2017-09-11",1686300,1697966.72690941,-11666.726909415
"2017-09-12",1693180,1699981.73785732,-6801.73785731962
"2017-09-13",1691100,1701990.32029626,-10890.3202962583
"2017-09-14",1683600,1703992.09855926,-20392.098559255
"2017-09-15",1684060,1705986.69247771,-21926.6924777061
"2017-09-18",1694200,1707973.71345374,-13773.7134537357
"2017-09-19",1682580,1709952.76382585,-27372.7638258523
"2017-09-20",1688660,1711923.44023907,-23263.440239071
"2017-09-21",1688400,1713885.3280236,-25485.3280236018
"2017-09-22",1685660,1715838.00289348,-30178.0028934829
"2017-09-25",1676860,1717781.03002819,-40921.0300281934
"2017-09-26",1681100,1719713.96213274,-38613.9621327371
"2017-09-27",1679500,1721636.33499709,-42136.3349970866
"2017-09-28",1683700,1723547.66844972,-39847.668449716
"2017-09-29",1691320,1725447.46490165,-34127.4649016463
"2017-10-09",1706880,1727335.21029248,-20455.2102924797
"2017-10-10",1707620,1729210.3764549,-21590.3764549034
"2017-10-11",1712980,1731072.42676625,-18092.4267662472
"2017-10-12",1718960,1732920.81567923,-13960.8156792271
"2017-10-13",1724260,1734754.99016788,-10494.9901678773
"2017-10-16",1721160,1736574.39143542,-15414.3914354209
"2017-10-17",1718660,1738378.45634685,-19718.456346849
"2017-10-18",1728880,1740166.61539542,-11286.6153954214
"2017-10-19",1726660,1741938.29092369,-15278.2909236928
"2017-10-20",1725400,1743692.90060871,-18292.9006087068
"2017-10-23",1725120,1745429.85581206,-20309.8558120635
"2017-10-24",1734480,1747148.56033387,-12668.5603338668
"2017-10-25",1740780,1748848.40957891,-8068.40957890877
"2017-10-26",1754460,1750528.7937153,3931.20628469651
"2017-10-27",1770820,1752189.09957603,18630.9004239721
"2017-10-30",1754680,1753828.71561905,851.284380950074
"2017-10-31",1757700,1755447.03800361,2252.96199639351
"2017-11-01",1752800,1757043.46324082,-4243.46324081712
"2017-11-02",1755740,1758617.38877311,-2877.38877311313
"2017-11-03",1748020,1760168.21028881,-12148.2102888112
"2017-11-06",1761520,1761695.32228683,-175.322286832215
"2017-11-07",1780020,1763198.11424451,16821.8857554948
"2017-11-08",1778580,1764675.97556675,13904.0244332496
"2017-11-09",1791260,1766128.30261193,25131.6973880707
"2017-11-10",1807920,1767554.49748575,40365.5025142515
"2017-11-13",1813539.7,1768953.97268239,44585.7273176091
"2017-11-14",1802860,1770326.15738153,32533.8426184741
"2017-11-15",1791620,1771670.49919277,19949.5008072305
"2017-11-16",1807780,1772986.45917385,34793.5408261492
"2017-11-17",1813679.7,1774273.5066289,39406.1933711046
"2017-11-20",1832880,1775531.12524423,57348.8747557663
"2017-11-21",1869760,1776758.81499516,93001.1850048382
"2017-11-22",1874560,1777956.09956266,96603.9004373419
"2017-11-23",1817780,1779122.54107068,38657.4589293209
"2017-11-24",1817760,1780257.74157535,37502.25842465
"2017-11-27",1789560,1781361.31911223,8198.6808877723
"2017-11-28",1792200,1782432.90721874,9767.09278125772
"2017-11-29",1789380,1783472.14282145,5907.85717854733
"2017-11-30",1766120,1784478.66688414,-18358.666884136
"2017-12-01",1761720,1785452.12281267,-23732.1228126736
"2017-12-04",1771460,1786392.14642423,-14932.14642423
"2017-12-05",1786360,1787298.36372604,-938.363726043281
"2017-12-06",1769880,1788170.39455299,-18290.3945529926
"2017-12-07",1753020,1789007.85835211,-35987.8583521147
"2017-12-08",1772800,1789810.36700984,-17010.36700984
"2017-12-11",1800500,1790577.5175368,9922.48246319605
"2017-12-12",1772980,1791308.89991214,-18328.89991214
"2017-12-13",1788500,1792004.10821658,-3504.10821658443
"2017-12-14",1779520,1792662.72895441,-13142.7289544112
"2017-12-15",1762120,1793284.34718146,-31164.3471814558
"2017-12-18",1763040,1793868.54252088,-30828.5425208804
"2017-12-19",1789680,1794414.88171372,-4734.88171372283
"2017-12-20",1785580,1794922.91875779,-9342.91875779345
"2017-12-21",1806000,1795392.20569364,10607.7943063643
"2017-12-22",1798880,1795822.29069986,3057.70930014096
"2017-12-25",1792320,1796212.72633991,-3892.72633991013
"2017-12-26",1802440,1796563.06644112,5876.93355887814
"2017-12-27",1765940,1796872.86322179,-30932.8632217875
"2017-12-28",1782320,1797141.67132943,-14821.6713294273
"2017-12-29",1785780,1797369.03262526,-11589.0326252594
"2018-01-02",1814880,1797554.48284371,17325.5171562937
"2018-01-03",1821080,1797697.55292877,23382.4470712293
"2018-01-04",1826580,1797797.78098616,28782.2190138376
"2018-01-05",1833020,1797854.71478692,35165.2852130802
"2018-01-08",1839180,1797867.91399955,41312.0860004546
"2018-01-09",1855180,1797836.95282841,57343.0471715849
"2018-01-10",1863740,1797761.42255467,65978.5774453258
"2018-01-11",1862320,1797640.93816277,64679.0618372349
"2018-01-12",1874020,1797475.14191004,76544.858089956
"2018-01-15",1876860,1797263.70278956,79596.2972104393
"2018-01-16",1895520,1797006.32143496,98513.67856504
"2018-01-17",1890980,1796702.73138185,94277.2686181474
"2018-01-18",1906920,1796352.70688735,110567.293112653
"2018-01-19",1911960,1795956.06117898,116003.938821015
"2018-01-22",1935560,1795512.6531884,140047.346811601
"2018-01-23",1959000,1795022.38979861,163977.610201394
"2018-01-24",1958980,1794485.23578258,164494.764217417
"2018-01-25",1944860,1793901.223695,150958.776305001
"2018-01-26",1957140,1793270.45408606,163869.54591394
"2018-01-29",1919960,1792593.08990632,127366.910093683
"2018-01-30",1897720,1791869.36184328,105850.638156717
"2018-01-31",1909000,1791099.55323294,117900.446767058
