"NI0Date","NI0Close","NI0_hpft","NI0_hpfc"
2017-12-25,95060,97260.3972954461,-2200.39729544608
2017-12-26,95630,97394.4649108773,-1764.46491087731
2017-12-27,94590,97528.4824439672,-2938.48244396721
2017-12-28,96810,97662.4362395796,-852.436239579604
2017-12-29,96870,97796.3114279277,-926.311427927676
2018-01-02,99170,97930.0927868622,1239.90721313779
2018-01-03,98620,98063.7647113335,556.235288666535
2018-01-04,99180,98197.31210882,982.687891179964
2018-01-05,98580,98330.7201167255,249.279883274468
2018-01-08,98490,98463.9742786572,26.0257213427877
2018-01-09,99380,98597.0602412648,782.939758735244
2018-01-10,100420,98729.9636619557,1690.03633804429
2018-01-11,101430,98862.6705217733,2567.3294782267
2018-01-12,99570,98995.1675003543,574.832499645697
2018-01-15,100210,99127.4423385657,1082.55766143435
2018-01-16,97810,99259.4830148878,-1449.48301488778
2018-01-17,96950,99391.2779552859,-2441.27795528591
2018-01-18,96780,99522.8149865676,-2742.81498656764
2018-01-19,96830,99654.080926415,-2824.08092641503
2018-01-22,98540,99785.0614587397,-1245.06145873966
2018-01-23,99720,99915.7411000925,-195.741100092553
2018-01-24,98640,100046.103852365,-1406.10385236533
2018-01-25,104740,100176.13363654,4563.8663634604
2018-01-26,104360,100305.813792369,4054.18620763126
2018-01-29,105920,100435.129546126,5484.8704538737
2018-01-30,103780,100564.067799922,3215.93220007812
2018-01-31,102620,100692.617723091,1927.38227690872
2018-02-01,102090,100820.769814307,1269.23018569333
2018-02-02,104530,100948.515368943,3581.48463105699
2018-02-05,102190,101075.846207024,1114.15379297649
2018-02-06,101260,101202.755629014,57.2443709863769
2018-02-07,102260,101329.237395924,930.762604075982
2018-02-08,100470,101455.28529243,-985.285292429742
2018-02-09,98770,101580.893487944,-2810.89348794367
2018-02-12,99820,101706.055744603,-1886.05574460277
2018-02-13,100870,101830.764662633,-960.764662633433
2018-02-14,103490,101955.012062641,1534.98793735884
2018-02-22,102840,102078.789368092,761.210631908447
2018-02-23,104950,102202.088636952,2747.91136304785
2018-02-26,105470,102324.902241844,3145.09775815593
2018-02-27,106000,102447.223691265,3552.77630873479
2018-02-28,105010,102569.04779377,2440.95220623044
2018-03-01,104780,102690.370826487,2089.62917351339
2018-03-02,102180,102811.190075536,-631.190075536475
2018-03-05,101440,102931.503690809,-1491.5036908085
2018-03-06,102410,103051.309561284,-641.309561284306
2018-03-07,102060,103170.604959417,-1110.60495941662
2018-03-08,100730,103289.386892566,-2559.38689256583
2018-03-09,100420,103407.651909015,-2987.65190901477
2018-03-12,103640,103525.395499097,114.604500902696
2018-03-13,103440,103642.611918173,-202.61191817299
2018-03-14,104350,103759.295468974,590.704531026091
2018-03-15,103300,103875.44037048,-575.440370480098
2018-03-16,103220,103991.041085847,-771.041085846676
2018-03-19,101690,104106.091840363,-2416.09184036334
2018-03-20,102280,104220.586540603,-1940.58654060282
2018-03-21,101020,104334.518094422,-3314.51809442208
2018-03-22,101200,104447.878607519,-3247.8786075188
2018-03-23,97990,104560.658815501,-6570.65881550127
2018-03-26,95900,104672.848111433,-8772.84811143342
2018-03-27,97210,104784.433172337,-7574.43317233737
2018-03-28,96210,104895.397048891,-8685.39704889145
2018-03-29,98360,105005.719660805,-6645.71966080517
2018-03-30,99800,105115.377337596,-5315.37733759635
2018-04-02,100470,105224.34366171,-4754.34366170967
2018-04-03,100790,105332.590018425,-4542.59001842545
2018-04-04,100350,105440.085827772,-5090.08582777169
2018-04-09,99630,105546.798632049,-5916.79863204901
2018-04-10,100930,105652.693869523,-4722.69386952253
2018-04-11,101670,105757.734532692,-4087.73453269186
2018-04-12,102150,105861.881661885,-3711.88166188488
2018-04-13,103760,105965.094607723,-2205.0946077235
2018-04-16,104350,106067.331186487,-1717.33118648651
2018-04-17,103800,106168.548302956,-2368.54830295577
2018-04-18,104750,106268.702152038,-1518.70215203817
2018-04-19,108120,106367.747949576,1752.25205042351
2018-04-20,104260,106465.640283645,-2205.64028364548
2018-04-23,104930,106562.334466631,-1632.33446663121
2018-04-24,103330,106657.784899194,-3327.78489919411
2018-04-25,103300,106751.945307251,-3451.94530725082
2018-04-26,103350,106844.768041151,-3494.76804115086
2018-04-27,104740,106936.204024343,-2196.20402434294
2018-05-02,105100,107026.202735689,-1926.20273568873
2018-05-03,104760,107114.712746213,-2354.71274621335
2018-05-04,103910,107201.681830737,-3291.68183073746
2018-05-07,104560,107287.056790733,-2727.0567907325
2018-05-08,105160,107370.783067025,-2210.78306702536
2018-05-09,103900,107452.804973187,-3552.80497318724
2018-05-10,103770,107533.065908939,-3763.06590893857
2018-05-11,103920,107611.507805412,-3691.50780541161
2018-05-14,106490,107688.071038241,-1198.07103824058
2018-05-15,107150,107762.694457144,-612.694457143522
2018-05-16,107740,107835.316416594,-95.3164165943519
2018-05-17,107820,107905.875017812,-85.8750178117475
2018-05-18,110240,107974.308322609,2265.69167739075
2018-05-21,108850,108040.554357302,809.445642697875
2018-05-22,108250,108104.55208476,145.447915240476
2018-05-23,108440,108166.240802432,273.759197567847
2018-05-24,108190,108225.559867907,-35.5598679073012
2018-05-25,109880,108282.448751921,1597.55124807937
2018-05-28,110520,108336.846910515,2183.15308948461
2018-05-29,112880,108388.694460093,4491.30553990663
2018-05-30,111650,108437.932419489,3212.06758051089
2018-05-31,114820,108484.503664054,6335.49633594627
2018-06-01,116110,108528.352396892,7581.647603108
2018-06-04,116830,108569.425439931,8260.57456006915
2018-06-05,116600,108607.672749055,7992.32725094478
2018-06-06,118470,108643.047694739,9826.95230526081
2018-06-07,118020,108675.506951166,9344.49304883425
2018-06-08,114900,108705.011254585,6194.98874541514
2018-06-11,115780,108731.525203872,7048.47479612828
2018-06-12,115170,108755.015958675,6414.98404132453
2018-06-13,114720,108775.453592201,5944.54640779922
2018-06-14,115250,108792.81082934,6457.1891706604
2018-06-15,115770,108807.062852227,6962.93714777301
2018-06-19,113040,108818.187512141,4221.81248785911
2018-06-20,113750,108826.165538554,4923.83446144624
2018-06-21,115150,108830.979406062,6319.02059393838
2018-06-22,117000,108832.613624585,8167.38637541515
2018-06-25,116670,108831.055316069,7838.94468393051
2018-06-26,114360,108826.294978528,5533.70502147209
2018-06-27,114550,108818.32635028,5731.67364971956
2018-06-28,116220,108807.145457061,7412.85454293906
2018-06-29,117680,108792.750693841,8887.24930615884
2018-07-02,115330,108775.143519771,6554.85648022855
2018-07-03,116090,108754.32906763,7335.67093237015
2018-07-04,112660,108730.315179711,3929.68482028915
2018-07-05,111780,108703.112730582,3076.88726941819
2018-07-06,110980,108672.734219184,2307.26578081565
2018-07-09,111830,108639.193416321,3190.80658367883
2018-07-10,111990,108602.505046526,3387.49495347416
2018-07-11,109370,108562.685153278,807.314846722244
2018-07-12,114000,108519.751180318,5480.24881968231
2018-07-13,112440,108473.720905092,3966.27909490826
2018-07-16,110210,108424.614370369,1785.38562963072
2018-07-17,109140,108372.453258414,767.546741586023
2018-07-18,108910,108317.25998949,592.740010509539
2018-07-19,109050,108259.057301148,790.942698851654
2018-07-20,109880,108197.868175939,1682.13182406078
2018-07-23,110330,108133.715923368,2196.28407663212
2018-07-24,109560,108066.624548265,1493.37545173463
2018-07-25,110920,107996.618963317,2923.38103668318
2018-07-26,111320,107923.724698503,3396.27530149719
2018-07-27,112210,107847.96849222,4362.03150778042
2018-07-30,111680,107769.378486746,3910.62151325442
2018-07-31,113010,107687.984627445,5322.01537255522
2018-08-01,113290,107603.818476172,5686.18152382817
2018-08-02,110540,107516.913794699,3023.08620530148
2018-08-03,108930,107427.306695225,1502.69330477456
2018-08-06,110330,107335.034539582,2994.96546041806
2018-08-07,112630,107240.135310752,5389.86468924777
2018-08-08,114110,107142.648229705,6967.35177029502
2018-08-09,114450,107042.614745379,7407.38525462144
2018-08-10,113260,106940.079186732,6319.92081326827
2018-08-13,114270,106835.088944627,7434.91105537291
2018-08-14,111980,106727.69402234,5252.30597765992
2018-08-15,110000,106617.947496434,3382.05250356567
2018-08-16,109150,106505.904614566,2644.09538543433
2018-08-17,110090,106391.622022397,3698.37797760303
2018-08-20,112110,106275.157458546,5834.84254145379
2018-08-21,112830,106156.570190402,6673.42980959818
2018-08-22,111060,106035.921897238,5024.07810276206
2018-08-23,109380,105913.277016855,3466.72298314541
2018-08-24,110100,105788.702063804,4311.29793619639
2018-08-27,108760,105662.264985648,3097.73501435196
2018-08-28,109400,105534.03551206,3865.96448793976
2018-08-29,109890,105404.084653188,4485.91534681151
2018-08-30,110260,105272.485017222,4987.51498277781
2018-08-31,107600,105139.311066649,2460.68893335116
2018-09-03,105130,105004.639325587,125.360674412829
2018-09-04,103250,104868.547335313,-1618.54733531292
2018-09-05,102330,104731.112688918,-2401.11268891792
2018-09-06,102760,104592.412310449,-1832.41231044919
2018-09-07,101100,104452.522131432,-3352.52213143237
2018-09-10,101860,104311.51732595,-2451.51732595015
2018-09-11,102450,104169.471682284,-1719.47168228445
2018-09-12,101930,104026.457975357,-2096.45797535706
2018-09-13,103890,103882.548269332,7.45173066778193
2018-09-14,103820,103737.813761781,82.1862382185174
2018-09-17,102090,103592.325653358,-1502.32565335801
2018-09-18,102040,103446.155178686,-1406.15517868559
2018-09-19,103340,103299.372951389,40.6270486114536
2018-09-20,102910,103152.049003842,-242.049003842455
2018-09-21,104870,103004.253385216,1865.7466147842
2018-09-25,105390,102856.056044625,2533.94395537499
2018-09-26,105710,102707.52770241,3002.47229759019
2018-09-27,104130,102558.740126342,1571.25987365811
2018-09-28,104550,102409.766325293,2140.23367470657
2018-10-08,103230,102260.679957633,969.320042367445
2018-10-09,105470,102111.555566414,3358.4444335862
2018-10-10,106210,101962.468095374,4247.53190462631
2018-10-11,103360,101813.493876487,1546.50612351343
2018-10-12,105510,101664.71099749,3845.28900251037
2018-10-15,104200,101516.198185383,2683.80181461655
2018-10-16,102370,101368.035756657,1001.96424334344
2018-10-17,103140,101220.305137173,1919.69486282743
2018-10-18,101140,101073.088166968,66.9118330316763
2018-10-19,103440,100926.467479604,2513.53252039634
2018-10-22,104220,100780.525736298,3439.4742637017
2018-10-23,102720,100635.346637265,2084.65336273534
2018-10-24,103230,100491.015304456,2738.98469554446
2018-10-25,102040,100347.617721537,1692.38227846309
2018-10-26,99310,100205.241004358,-895.241004358303
2018-10-29,98210,100063.972968336,-1853.97296833557
2018-10-30,98390,99923.9010588229,-1533.90105882291
2018-10-31,97760,99785.1119548226,-2025.11195482258
2018-11-01,96730,99647.6917012786,-2917.69170127858
2018-11-02,98680,99511.7255060374,-831.725506037415
2018-11-05,97340,99377.2973708874,-2037.29737088738
2018-11-06,98450,99244.4909538188,-794.490953818811
2018-11-07,97120,99113.389070683,-1993.38907068299
2018-11-08,97160,98984.0742089185,-1824.07420891854
2018-11-09,96310,98856.6280319849,-2546.62803198486
2018-11-12,94650,98731.1314493328,-4081.13144933282
2018-11-13,95180,98607.66431774,-3427.66431773999
2018-11-14,93920,98486.3048070172,-4566.30480701722
2018-11-15,95250,98367.1296701094,-3117.12967010943
2018-11-16,94080,98250.2137724404,-4170.21377244038
2018-11-19,93200,98135.6306909307,-4935.63069093066
2018-11-20,93310,98023.4522787027,-4713.45227870274
2018-11-21,91850,97913.7483486943,-6063.74834869428
2018-11-22,90360,97806.5867654871,-7446.58676548705
2018-11-23,88490,97702.0328871589,-9212.0328871589
2018-11-26,89290,97600.1489936547,-8310.1489936547
2018-11-27,88690,97500.9935570474,-8810.99355704745
2018-11-28,89560,97404.6216143231,-7844.62161432314
2018-11-29,89920,97311.0845603631,-7391.08456036313
2018-11-30,91330,97220.430547389,-5890.43054738903
2018-12-03,91800,97132.7046724501,-5332.70467245011
2018-12-04,92020,97047.949597734,-5027.94959773402
2018-12-05,90930,96966.2057810967,-6036.20578109665
2018-12-06,90600,96887.5116020405,-6287.5116020405
2018-12-07,89580,96811.9029449403,-7231.90294494026
2018-12-10,89310,96739.4130951732,-7429.41309517324
2018-12-11,88830,96670.0723487441,-7840.07234874408
2018-12-12,88880,96603.9079306194,-7723.90793061937
2018-12-13,89460,96540.9438250086,-7080.94382500858
2018-12-14,89060,96481.2008233684,-7421.20082336842
2018-12-17,90920,96424.6967901676,-5504.69679016757
2018-12-18,90610,96371.4465222639,-5761.4465222639
2018-12-19,89380,96321.4625410832,-6941.46254108323
2018-12-20,90080,96274.7549865012,-6194.75498650115
2018-12-21,89750,96231.3311290715,-6481.33112907146
2018-12-24,90300,96191.1956786936,-5891.19567869362
2018-12-25,88880,96154.3506661458,-7274.35066614579
2018-12-26,87870,96120.7956870109,-8250.79568701095
2018-12-27,87960,96090.5273299551,-8130.52732995506
2018-12-28,88070,96063.5387730982,-7993.53877309824
2019-01-02,86280,96039.8198337241,-9759.81983372408
2019-01-03,88370,96019.3570249153,-7649.35702491534
2019-01-04,89950,96002.1328254234,-6052.13282542338
2019-01-07,90830,95988.1265520786,-5158.12655207855
2019-01-08,90830,95977.3150199996,-5147.31501999965
2019-01-09,91340,95969.6729121382,-4629.67291213823
2019-01-10,91560,95965.1727837468,-4405.17278374684
