"C0Date","C0Close","C0_hpft","C0_hpfc"
2019-11-05,1874,1881.45533592126,-7.45533592125529
2019-11-06,1854,1881.572527588,-27.5725275880025
2019-11-07,1845,1881.71105793971,-36.7110579397081
2019-11-08,1865,1881.87107776896,-16.8710777689647
2019-11-11,1855,1882.05272269357,-27.0527226935728
2019-11-12,1838,1882.25612135745,-44.2561213574486
2019-11-13,1841,1882.48139122204,-41.4813912220391
2019-11-14,1840,1882.72863145505,-42.728631455048
2019-11-15,1841,1882.99792407748,-41.9979240774763
2019-11-18,1859,1883.28933344798,-24.2893334479841
2019-11-19,1854,1883.60290656506,-29.6029065650591
2019-11-20,1846,1883.93868038686,-37.9386803868636
2019-11-21,1852,1884.29667963495,-32.2966796349477
2019-11-22,1847,1884.67691334857,-37.676913348567
2019-11-25,1841,1885.07937721679,-44.07937721679
2019-11-26,1839,1885.50405135458,-46.5040513545847
2019-11-27,1836,1885.95089765621,-49.9508976562085
2019-11-28,1896,1886.41985879312,9.5801412068766
2019-11-29,1901,1886.91085678908,14.0891432109183
2019-12-02,1892,1887.42381762781,4.57618237219135
2019-12-03,1898,1887.95867311692,10.0413268830808
2019-12-04,1896,1888.51535695573,7.4846430442725
2019-12-05,1894,1889.09380699411,4.90619300588864
2019-12-06,1904,1889.6939641759,14.3060358240955
2019-12-09,1895,1890.31577147289,4.68422852710835
2019-12-10,1905,1890.95917777045,14.0408222295485
2019-12-11,1903,1891.6241338902,11.3758661098021
2019-12-12,1904,1892.31059645763,11.6894035423654
2019-12-13,1893,1893.01852680067,-0.0185268006708039
2019-12-16,1894,1893.74789107906,0.252108920942318
2019-12-17,1886,1894.49865544494,-8.49865544494204
2019-12-18,1891,1895.27078615468,-4.27078615468295
2019-12-19,1882,1896.06424595159,-14.0642459515897
2019-12-20,1885,1896.87899581363,-11.8789958136326
2019-12-23,1895,1897.7149909052,-2.71499090519809
2019-12-24,1902,1898.57218148038,3.42781851962375
2019-12-25,1907,1899.45051667097,7.54948332903189
2019-12-26,1915,1900.3499470257,14.6500529742982
2019-12-27,1913,1901.27042621396,11.7295737860356
2019-12-30,1915,1902.21191396086,12.7880860391413
2019-12-31,1910,1903.17437484008,6.82562515991538
2020-01-02,1918,1904.15777871139,13.842221288609
2020-01-03,1918,1905.16209825594,12.837901744064
2020-01-06,1913,1906.18731187669,6.81268812331499
2020-01-07,1926,1907.23340328335,18.7665967166519
2020-01-08,1918,1908.30035900167,9.6996409983324
2020-01-09,1921,1909.38817331475,11.6118266852512
2020-01-10,1911,1910.49684451518,0.50315548481592
2020-01-13,1918,1911.62637569541,6.37362430458741
2020-01-14,1919,1912.7767701558,6.22322984420367
2020-01-15,1924,1913.94803383136,10.051966168635
2020-01-16,1946,1915.14017522949,30.8598247705126
2020-01-17,1947,1916.35320701277,30.6467929872256
2020-01-20,1944,1917.58715459991,26.4128454000859
2020-01-21,1928,1918.8420560778,9.15794392220284
2020-01-22,1924,1920.11796045132,3.88203954868458
2020-01-23,1912,1921.41492051091,-9.41492051090882
2020-02-03,1926,1922.73299065163,3.2670093483675
2020-02-04,1944,1924.0722213768,19.927778623201
2020-02-05,1921,1925.43266454027,-4.43266454027227
2020-02-06,1934,1926.81438023317,7.18561976682976
2020-02-07,1938,1928.21742671428,9.78257328571823
2020-02-10,1926,1929.64186521276,-3.64186521275851
2020-02-11,1923,1931.08776100143,-8.08776100143489
2020-02-12,1923,1932.55517784773,-9.55517784773439
2020-02-13,1926,1934.04417617588,-8.04417617588022
2020-02-14,1919,1935.55481246042,-16.5548124604239
2020-02-17,1927,1937.08713985077,-10.0871398507695
2020-02-18,1907,1938.6412046532,-31.6412046531954
2020-02-19,1910,1940.21704900442,-30.2170490044202
2020-02-20,1905,1941.81470196188,-36.8147019618832
2020-02-21,1912,1943.43418009262,-31.4341800926189
2020-02-24,1913,1945.07548474582,-32.0754847458246
2020-02-25,1915,1946.73860427718,-31.73860427718
2020-02-26,1913,1948.42351378356,-35.4235137835563
2020-02-27,1927,1950.13017524243,-23.1301752424334
2020-02-28,1922,1951.8585359886,-29.8585359885961
2020-03-02,1943,1953.60853379572,-10.608533795724
2020-03-03,1941,1955.38009409527,-14.3800940952723
2020-03-04,1938,1957.17313793344,-19.1731379334416
2020-03-05,1943,1958.98758041236,-15.987580412365
2020-03-06,1935,1960.82332870871,-25.823328708706
2020-03-09,1933,1962.68028339055,-29.6802833905512
2020-03-10,1947,1964.55833435164,-17.5583343516379
2020-03-11,1955,1966.45735921709,-11.4573592170868
2020-03-12,2008,1968.37722835407,39.6227716459313
2020-03-13,2010,1970.31780739377,39.6821926062267
2020-03-16,1999,1972.27897834589,26.7210216541097
2020-03-17,1995,1974.26063962304,20.7393603769571
2020-03-18,1987,1976.26270068334,10.7372993166647
2020-03-19,1985,1978.28507955763,6.71492044237194
2020-03-20,2001,1980.3276987152,20.6723012847994
2020-03-23,2017,1982.39048340099,34.6095165990081
2020-03-24,2013,1984.47336740499,28.5266325950126
2020-03-25,2026,1986.57629882345,39.4237011765537
2020-03-26,2018,1988.6992375443,29.3007624557035
2020-03-27,2034,1990.84215975171,43.1578402482851
2020-03-30,2046,1993.00505374162,52.9949462583763
2020-03-31,2048,1995.18792564963,52.8120743503725
2020-04-01,2037,1997.39080351733,39.6091964826726
2020-04-02,2031,1999.6137372167,31.3862627833041
2020-04-03,2033,2001.85679299255,31.1432070074526
2020-04-07,2030,2004.1200500636,25.879949936398
2020-04-08,2045,2006.40360052184,38.5963994781624
2020-04-09,2043,2008.707547157,34.2924528429971
2020-04-10,2043,2011.03200871298,31.9679912870157
2020-04-13,2044,2013.37711810885,30.6228818911513
2020-04-14,2051,2015.74302147796,35.2569785220433
2020-04-15,2070,2018.12987761189,51.8701223881149
2020-04-16,2065,2020.53785987606,44.4621401239408
2020-04-17,2065,2022.96716307696,42.0328369230376
2020-04-20,2060,2025.4180003999,34.581999600097
2020-04-21,2063,2027.89060240481,35.1093975951922
2020-04-22,2069,2030.3852139465,38.6147860535039
2020-04-23,2078,2032.90209439261,45.0979056073932
2020-04-24,2079,2035.44151907255,43.5584809274511
2020-04-27,2098,2038.00378195741,59.9962180425909
2020-04-28,2096,2040.58919502357,55.4108049764296
2020-04-29,2094,2043.19809504748,50.8019049525216
2020-04-30,2074,2045.83084171011,28.1691582898943
2020-05-06,2086,2048.48781569197,37.5121843080308
2020-05-07,2071,2051.16940931756,19.8305906824402
2020-05-08,2061,2053.87603041734,7.12396958265686
2020-05-11,2045,2056.608095019,-11.6080950190024
2020-05-12,2045,2059.36602209502,-14.3660220950204
2020-05-13,2048,2062.15022581947,-14.1502258194663
2020-05-14,2043,2064.96111442819,-21.9611144281917
2020-05-15,2027,2067.79909030779,-40.7990903077879
2020-05-18,2049,2070.66454676709,-21.6645467670924
2020-05-19,2043,2073.55786025028,-30.5578602502846
2020-05-20,2032,2076.47939824613,-44.4793982461349
2020-05-21,2019,2079.42951561212,-60.4295156121172
2020-05-22,2022,2082.40854881971,-60.4085488197085
2020-05-25,2039,2085.41680936121,-46.4168093612056
2020-05-26,2041,2088.45458375855,-47.4545837585498
2020-05-27,2053,2091.5221393467,-38.5221393467015
2020-05-28,2062,2094.61972384492,-32.6197238449199
2020-05-29,2078,2097.74756904888,-19.7475690488767
2020-06-01,2069,2100.90589327066,-31.905893270663
2020-06-02,2067,2104.09490665945,-37.0949066594523
2020-06-03,2065,2107.31480617574,-42.314806175742
2020-06-04,2062,2110.56577344661,-48.5657734466088
2020-06-05,2073,2113.84797260778,-40.8479726077809
2020-06-08,2062,2117.16154771996,-55.1615477199618
2020-06-09,2077,2120.50662595887,-43.5066259588668
2020-06-10,2085,2123.88331169866,-38.8833116986606
2020-06-11,2096,2127.29169132958,-31.2916913295847
2020-06-12,2094,2130.73183516921,-36.7318351692054
2020-06-15,2118,2134.20380060022,-16.2038006002239
2020-06-16,2117,2137.70762982197,-20.7076298219707
2020-06-17,2127,2141.24335833569,-14.2433583356925
2020-06-18,2129,2144.811013083,-15.8110130830003
2020-06-19,2121,2148.41061511787,-27.410615117866
2020-06-22,2097,2152.04217895863,-55.0421789586296
2020-06-23,2088,2155.70570779314,-67.7057077931364
2020-06-24,2086,2159.40118205703,-73.4011820570271
2020-06-29,2118,2163.12855419916,-45.1285541991568
2020-06-30,2090,2166.88774632725,-76.8877463272477
2020-07-01,2096,2170.67866189465,-74.6786618946543
2020-07-02,2100,2174.50117257258,-74.5011725725851
2020-07-03,2106,2178.3551191629,-72.3551191628951
2020-07-06,2116,2182.24031167179,-66.2403116717859
2020-07-07,2114,2186.1565301967,-72.1565301966988
2020-07-08,2113,2190.10352745407,-77.1035274540703
2020-07-09,2145,2194.08102633361,-49.0810263336091
2020-07-10,2144,2198.08871785368,-54.0887178536811
2020-07-13,2144,2202.1262727444,-58.1262727444046
2020-07-14,2135,2206.19333937782,-71.1933393778194
2020-07-15,2146,2210.2895420989,-64.2895420989037
2020-07-16,2156,2214.41447582419,-58.4144758241906
2020-07-17,2162,2218.56770889555,-56.5677088955491
2020-07-20,2190,2222.74878550856,-32.7487855085565
2020-07-21,2181,2226.957226476,-45.9572264759985
2020-07-22,2189,2231.19253907366,-42.1925390736627
2020-07-23,2240,2235.45421158045,4.54578841954945
2020-07-24,2216,2239.7417148346,-23.7417148345984
2020-07-27,2260,2244.05452155328,15.945478446722
2020-07-28,2220,2248.39209463994,-28.392094639942
2020-07-29,2255,2252.75390358927,2.24609641073132
2020-07-30,2255,2257.13940615958,-2.13940615957759
2020-07-31,2248,2261.54806103777,-13.5480610377701
2020-08-03,2251,2265.97932602644,-14.9793260264369
2020-08-04,2257,2270.4326533279,-13.4326533278962
2020-08-05,2249,2274.90748895259,-25.9074889525939
2020-08-06,2252,2279.40327335853,-27.4032733585331
2020-08-07,2224,2283.91943629451,-59.919436294509
2020-08-10,2219,2288.455396182,-69.4553961820034
2020-08-11,2231,2293.01054667407,-62.0105466740702
2020-08-12,2224,2297.58425271387,-73.5842527138735
2020-08-13,2228,2302.17585361176,-74.175853611764
2020-08-14,2296,2306.78465826144,-10.7846582614405
2020-08-17,2299,2311.4099448952,-12.409944895202
2020-08-18,2290,2316.05098728744,-26.0509872874424
2020-08-19,2301,2320.70705408275,-19.7070540827541
2020-08-20,2310,2325.37740315733,-15.3774031573289
2020-08-21,2300,2330.06128424124,-30.0612842412354
2020-08-24,2266,2334.75794070816,-68.7579407081572
2020-08-25,2275,2339.46660350562,-64.4666035056161
2020-08-26,2298,2344.18647515941,-46.1864751594102
2020-08-27,2257,2348.91673154742,-91.9167315474157
2020-08-28,2267,2353.65652945588,-86.6565294558756
2020-08-31,2262,2358.40498767637,-96.4049876763665
2020-09-01,2273,2363.16118918013,-90.1611891801342
2020-09-02,2290,2367.92417708846,-77.9241770884598
2020-09-03,2275,2372.69295725364,-97.6929572536422
2020-09-04,2296,2377.46650331724,-81.4665033172402
2020-09-07,2347,2382.24374853848,-35.2437485384786
2020-09-08,2335,2387.02359250161,-52.0235925016094
2020-09-09,2335,2391.80492022253,-56.8049202225322
2020-09-10,2370,2396.58659521269,-26.5865952126868
2020-09-11,2398,2401.36745750264,-3.36745750264384
2020-09-14,2419,2406.14633613314,12.8536638668607
2020-09-15,2402,2410.92205875295,-8.9220587529485
2020-09-16,2410,2415.69345832402,-5.69345832401916
2020-09-17,2426,2420.45936412028,5.5406358797166
2020-09-18,2484,2425.21860306224,58.7813969377591
2020-09-21,2476,2429.97000436065,46.029995639348
2020-09-22,2470,2434.71242152416,35.2875784758432
2020-09-23,2421,2439.44472708833,-18.4447270883327
2020-09-24,2438,2444.16580817523,-6.16580817523316
2020-09-25,2428,2448.87454428256,-20.8745442825589
2020-09-28,2464,2453.56981235937,10.4301876406318
2020-09-29,2462,2458.25048072603,3.74951927396561
2020-09-30,2468,2462.91542201427,5.08457798572861
2020-10-09,2537,2467.56351040576,69.4364895942364
2020-10-12,2571,2472.19362218396,98.8063778160407
2020-10-13,2562,2476.8046623345,85.1953376654997
2020-10-14,2566,2481.39557668565,84.6044233143543
2020-10-15,2549,2485.96534628202,63.0346537179802
2020-10-16,2584,2490.51298714027,93.4870128597346
2020-10-19,2589,2495.03754133303,93.9624586669725
2020-10-20,2591,2499.53808957672,91.4619104232788
2020-10-21,2587,2504.01375142803,82.9862485719719
2020-10-22,2575,2508.46368425041,66.5363157495855
2020-10-23,2572,2512.88707971044,59.1129202895641
2020-10-26,2583,2517.28315697805,65.7168430219487
2020-10-27,2590,2521.65115965821,68.3488403417883
2020-10-28,2603,2525.99035852056,77.0096414794449
2020-10-29,2608,2530.3000525873,77.6999474127025
2020-10-30,2621,2534.57957271343,86.4204272865655
2020-11-02,2553,2538.82828187193,14.1717181280719
2020-11-03,2540,2543.04557875857,-3.04557875856544
2020-11-04,2547,2547.23086792709,-0.230867927087708
2020-11-05,2556,2551.38355267231,4.61644732769075
2020-11-06,2541,2555.50303619358,-14.5030361935836
2020-11-09,2527,2559.58872359859,-32.5887235985923
