"TF00YDate","TF00YClose","TF00Y_hpft","TF00Y_hpfc"
2020-11-24,159.3,154.579042266068,4.72095773393211
2020-11-25,158.7,154.840062929298,3.85993707070218
2020-11-26,164.5,155.098438525588,9.4015614744117
2020-11-27,163.5,155.354157426344,8.14584257365635
2020-11-30,164.2,155.607211889195,8.5927881108045
2020-12-01,168.3,155.857597538944,12.4424024610558
2020-12-02,165.6,156.105313552299,9.49468644770083
2020-12-03,161.8,156.35036424916,5.44963575084025
2020-12-04,160.4,156.592757874148,3.80724212585178
2020-12-07,157.1,156.832504924544,0.267495075455781
2020-12-08,155.5,157.069617471389,-1.56961747138931
2020-12-09,154.2,157.30410769629,-3.10410769629049
2020-12-10,156,157.535987132048,-1.53598713204827
2020-12-11,158.2,157.765266028349,0.434733971651102
2020-12-14,158.7,157.99195399996,0.708046000040219
2020-12-15,156.8,158.216060841348,-1.41606084134779
2020-12-16,159.9,158.437596639662,1.46240336033822
2020-12-17,161,158.656570896708,2.34342910329231
2020-12-18,162.3,158.872993718782,3.42700628121766
2020-12-21,154.7,159.086876180878,-4.38687618087791
2020-12-22,156,159.298230774557,-3.29823077455689
2020-12-23,156.1,159.507068178035,-3.40706817803516
2020-12-25,152.5,159.713397706168,-7.21339770616829
2020-12-28,150.6,159.91722726546,-9.31722726546024
2020-12-29,151.1,160.1185617807,-9.01856178069954
2021-01-01,157.9,160.317402325298,-2.41740232529822
2021-01-04,160,160.513746244757,-0.513746244756652
2021-01-05,159.7,160.707589885323,-1.00758988532294
2021-01-06,163.9,160.89892938088,3.00107061912008
2021-01-07,162.5,161.087760448818,1.41223955118225
2021-01-08,155.9,161.274080047046,-5.37408004704633
2021-01-11,157.5,161.45788571724,-3.95788571724025
2021-01-12,159.6,161.639172779636,-2.03917277963587
2021-01-13,158.8,161.817934918452,-3.01793491845204
2021-01-14,162.3,161.99416497499,0.305835025009787
2021-01-15,163.1,162.167854543057,0.932145456942751
2021-01-18,161,162.338995342883,-1.33899534288324
2021-01-19,161,162.507579480005,-1.50757948000491
2021-01-20,161.9,162.673598506472,-0.77359850647245
2021-01-21,159.1,162.837043351167,-3.73704335116686
2021-01-22,157.7,162.997904623193,-5.29790462319318
2021-01-25,155.3,163.156171386914,-7.85617138691412
2021-01-26,157.5,163.311830516755,-5.81183051675472
2021-01-27,156.4,163.464865639706,-7.06486563970648
2021-01-28,157.5,163.615257980389,-6.11525798038934
2021-01-29,158.7,163.762985843095,-5.0629858430948
2021-02-01,157.5,163.908025004306,-6.40802500430649
2021-02-02,157.2,164.050349147674,-6.85034914767358
2021-02-03,159.1,164.189929308026,-5.089929308026
2021-02-04,160.3,164.326733688542,-4.02673368854152
2021-02-05,164.6,164.460728388417,0.139271611583336
2021-02-08,165.1,164.591877842362,0.508122157637536
2021-02-09,164.6,164.720146542654,-0.120146542654098
2021-02-12,165.4,164.84549919161,0.554500808389941
2021-02-15,167,164.96790044189,2.03209955810953
2021-02-16,169.1,165.087315175354,4.01268482464605
2021-02-17,168.8,165.20370911385,3.59629088614984
2021-02-18,172.6,165.31704963791,7.28295036209007
2021-02-19,175.4,165.427305614632,9.97269438536829
2021-02-22,178.2,165.534448921582,12.6655510784181
2021-02-23,180.3,165.638455558649,14.6615444413508
2021-02-24,188.5,165.739306761146,22.7606932388539
2021-02-25,178.7,165.836989824878,12.8630101751221
2021-02-26,175.9,165.931501454006,9.96849854599444
2021-03-01,172.3,166.02284366974,6.27715633026044
2021-03-02,175.4,166.111022613877,9.28897738612253
2021-03-03,173.9,166.196047022926,7.70395297707431
2021-03-04,176.1,166.277929473087,9.82207052691326
2021-03-05,174.7,166.356685725072,8.34331427492838
2021-03-08,173.4,166.432335599632,6.9676644003683
2021-03-09,177,166.504902366323,10.4950976336768
2021-03-10,179.2,166.574412174839,12.6255878251606
2021-03-11,179.2,166.640895513129,12.5591044868706
