"SI00YDate","SI00YClose","SI00Y_hpft","SI00Y_hpfc"
2014-03-18,20.705,20.2212581446732,0.483741855326798
2014-03-19,20.62,20.2166224104485,0.403377589551521
2014-03-20,20.28,20.2119192947224,0.0680807052776473
2014-03-21,20.285,20.2071511268597,0.0778488731403036
2014-03-24,19.94,20.2023202643671,-0.262320264367113
2014-03-25,19.98,20.197429096931,-0.217429096931049
2014-03-26,19.735,20.192479905805,-0.457479905804959
2014-03-27,19.7,20.187474882366,-0.48747488236601
2014-03-28,19.83,20.1824160288875,-0.352416028887546
2014-03-31,19.755,20.1773051461404,-0.422305146140439
2014-04-01,19.74,20.172143889221,-0.432143889220961
2014-04-02,19.975,20.1669337386613,-0.19193373866129
2014-04-03,19.815,20.1616759963628,-0.346675996362821
2014-04-04,19.955,20.1563718848892,-0.201371884889174
2014-04-07,19.865,20.1510224835021,-0.286022483502141
2014-04-08,20.06,20.1456287882244,-0.0856287882243971
2014-04-09,19.845,20.1401916768485,-0.295191676848456
2014-04-10,20.03,20.1347119917713,-0.104711991771321
2014-04-11,19.96,20.1291904533696,-0.169190453369648
2014-04-14,19.965,20.1236277387364,-0.158627738736371
2014-04-15,19.56,20.1180244550279,-0.558024455027908
2014-04-16,19.63,20.1123811438303,-0.482381143830274
2014-04-17,19.65,20.1066981160647,-0.456698116064747
2014-04-21,19.44,20.1009754832554,-0.660975483255421
2014-04-22,19.385,20.095213168146,-0.710213168145985
2014-04-23,19.45,20.0894108202593,-0.639410820259335
2014-04-24,19.64,20.0835677955447,-0.443567795544739
2014-04-25,19.715,20.0776831856449,-0.362683185644899
2014-04-28,19.56,20.0717558988494,-0.511755898849361
2014-04-29,19.41,20.0657846935289,-0.655784693528927
2014-04-30,19.14,20.0597681165152,-0.919768116515248
2014-05-01,19.015,20.0537044435648,-1.03870444356484
2014-05-02,19.425,20.047591570239,-0.622591570239039
2014-05-05,19.56,20.0414269627406,-0.481426962740613
2014-05-06,19.6,20.0352078299181,-0.435207829918076
2014-05-07,19.3,20.0289311816172,-0.728931181617234
2014-05-08,19.18,20.0225938477866,-0.842593847786558
2014-05-09,19.11,20.0161923570636,-0.90619235706363
2014-05-12,19.5,20.0097228897918,-0.509722889791751
2014-05-13,19.525,20.0031812517305,-0.478181251730532
2014-05-14,19.74,19.9965630379408,-0.256563037940837
2014-05-15,19.465,19.9898636458225,-0.524863645822474
2014-05-16,19.31,19.9830783667226,-0.673078366722594
2014-05-19,19.355,19.9762022750306,-0.621202275030626
2014-05-20,19.395,19.9692301669126,-0.574230166912577
2014-05-21,19.395,19.9621565817545,-0.56715658175453
2014-05-22,19.49,19.9549758215786,-0.464975821578581
2014-05-23,19.485,19.9476819539673,-0.462681953967257
2014-05-26,19.45,19.9402688543009,-0.490268854300897
2014-05-27,19.045,19.9327302067055,-0.887730206705486
2014-05-28,19.015,19.9250594926498,-0.910059492649776
2014-05-29,19.03,19.9172498266506,-0.887249826650554
2014-05-30,18.8,19.9092939470425,-1.1092939470425
2014-06-02,18.75,19.9011842254073,-1.15118422540727
2014-06-03,18.795,19.8929125747884,-1.09791257478837
2014-06-04,18.785,19.8844704323765,-1.09947043237653
2014-06-05,19.025,19.8758487815293,-0.850848781529259
2014-06-06,19,19.8670381511277,-0.867038151127738
2014-06-09,19.045,19.8580287183456,-0.813028718345616
2014-06-10,19.18,19.8488103019581,-0.66881030195814
2014-06-11,19.185,19.8393723846677,-0.65437238466773
2014-06-12,19.515,19.8297041727166,-0.314704172716608
2014-06-13,19.66,19.8197946018567,-0.159794601856693
2014-06-16,19.66,19.8096324777529,-0.14963247775291
2014-06-17,19.75,19.7992065400189,-0.0492065400188903
2014-06-18,19.89,19.7885054664151,0.101494533584857
2014-06-19,20.745,19.7775179143628,0.967482085637219
2014-06-20,20.865,19.7662325832351,1.0987674167649
2014-06-23,20.885,19.7546385723256,1.13036142767437
2014-06-24,20.915,19.7427254351134,1.1722745648866
2014-06-25,21.02,19.7304831923232,1.28951680767679
2014-06-26,21.12,19.7179023492512,1.40209765074885
2014-06-27,20.905,19.7049739442279,1.2000260557721
2014-06-30,21.02,19.6916895951543,1.32831040484567
2014-07-01,21.105,19.678041415974,1.42695858402597
2014-07-02,21.16,19.6640220697014,1.49597793029865
2014-07-03,21.12,19.6496248091971,1.47037519080295
2014-07-04,21.16,19.6348435057,1.52515649430005
2014-07-07,21.035,19.6196726382417,1.41532736175829
2014-07-08,21.04,19.6041073162937,1.43589268370631
2014-07-09,21.14,19.5881432343651,1.55185676563486
2014-07-10,21.405,19.5717766805075,1.83322331949245
2014-07-11,21.44,19.5550045842457,1.88499541575431
2014-07-14,20.88,19.5378246328865,1.34217536711355
2014-07-15,20.7,19.5202352929166,1.17976470708336
2014-07-16,20.785,19.5022355856254,1.28276441437455
2014-07-17,21.12,19.48382501997,1.63617498002997
2014-07-18,20.75,19.4650036351485,1.28499636485155
2014-07-21,20.965,19.4457721466898,1.51922785331019
2014-07-22,21.015,19.4261318012885,1.58886819871147
2014-07-23,20.955,19.4060844736266,1.5489155263734
2014-07-24,20.415,19.3856326951603,1.02936730483974
2014-07-25,20.795,19.3647796376052,1.43022036239483
2014-07-28,20.62,19.3435288981755,1.27647110182454
2014-07-29,20.61,19.3218846652812,1.28811533471878
2014-07-30,20.655,19.2998516549752,1.35514834502479
2014-07-31,20.42,19.2774351157641,1.14256488423586
2014-08-01,20.335,19.2546408563192,1.08035914368075
2014-08-04,20.17,19.231475157601,0.938524842399016
2014-08-05,19.78,19.2079447471489,0.572055252851113
2014-08-06,20.045,19.1840567404493,0.860943259550687
2014-08-07,19.985,19.1598184894543,0.825181510545697
2014-08-08,19.915,19.1352377019939,0.779762298006107
2014-08-11,20.01,19.1103224269968,0.899677573003199
2014-08-12,19.95,19.0850810357125,0.864918964287537
2014-08-13,19.81,19.0595222712811,0.750477728718901
2014-08-14,19.855,19.0336552343665,0.821344765633537
2014-08-15,19.55,19.0074893358486,0.542510664151394
2014-08-18,19.585,18.9810343261191,0.603965673880875
2014-08-19,19.405,18.9543001798218,0.450699820178245
2014-08-20,19.45,18.9272971212545,0.52270287874546
2014-08-21,19.415,18.9000355610175,0.514964438982465
2014-08-22,19.395,18.8725261257753,0.522473874224733
2014-08-25,19.33,18.8447796550573,0.485220344942666
2014-08-26,19.4,18.8168072043633,0.583192795636715
2014-08-27,19.42,18.7886200297634,0.63137997023659
2014-08-28,19.455,18.7602296283959,0.694770371604109
2014-08-29,19.4,18.7316477583863,0.668352241613707
2014-09-01,19.395,18.7028864650508,0.692113534949207
2014-09-02,19.11,18.6739580699747,0.436041930025332
2014-09-03,19.145,18.6448751808359,0.500124819164139
2014-09-04,18.985,18.615650585554,0.369349414445981
2014-09-05,19.07,18.5862972787803,0.483702721219736
2014-09-08,18.975,18.5568284078403,0.418171592159744
2014-09-09,18.895,18.5272573200028,0.367742679997167
2014-09-10,18.89,18.4975975353919,0.392402464608073
2014-09-11,18.64,18.4678627261417,0.172137273858279
2014-09-12,18.59,18.4380667265896,0.151933273410385
2014-09-15,18.61,18.4082234422277,0.201776557772275
2014-09-16,18.675,18.3783468413513,0.296653158648711
2014-09-17,18.47,18.3484509756619,0.121549024338139
2014-09-18,18.52,18.3185500194854,0.201449980514568
2014-09-19,17.79,18.2886581973916,-0.498658197391561
2014-09-22,17.72,18.2587898172211,-0.538789817221106
2014-09-23,17.77,18.2289589806896,-0.458958980689581
2014-09-24,17.665,18.1991795667986,-0.534179566798557
2014-09-25,17.49,18.1694652648344,-0.679465264834368
2014-09-26,17.65,18.139829543275,-0.489829543275003
2014-09-29,17.45,18.1102855897349,-0.660285589734858
2014-09-30,16.96,18.0808463893526,-1.12084638935261
2014-10-01,17.165,18.051524654331,-0.886524654331017
2014-10-02,17.085,18.0223326335605,-0.937332633560508
2014-10-03,16.845,17.9932822094776,-1.14828220947761
2014-10-06,17.34,17.9643848770632,-0.624384877063183
2014-10-07,17.18,17.9356516566446,-0.755651656644633
2014-10-08,17.37,17.9070933104536,-0.5370933104536
2014-10-09,17.34,17.8787202883655,-0.538720288365476
2014-10-10,17.385,17.8505428182431,-0.465542818243066
2014-10-13,17.49,17.8225709052641,-0.332570905264068
2014-10-14,17.38,17.7948143621692,-0.41481436216921
2014-10-15,17.435,17.7672828642283,-0.332282864228264
2014-10-16,17.355,17.7399859152429,-0.384985915242945
2014-10-17,17.27,17.712932881663,-0.442932881663022
2014-10-20,17.415,17.6861329707998,-0.27113297079976
2014-10-21,17.505,17.6595952068744,-0.154595206874447
2014-10-22,17.16,17.6333285020325,-0.473328502032509
2014-10-23,17.185,17.6073417045166,-0.422341704516611
2014-10-24,17.195,17.5816434669141,-0.386643466914114
2014-10-27,17.1,17.5562422672329,-0.456242267232884
2014-10-28,17.185,17.5311464236582,-0.346146423658248
2014-10-29,17.08,17.5063640657837,-0.426364065783719
2014-10-30,16.45,17.4819031801196,-1.03190318011961
2014-10-31,16.17,17.4577715769333,-1.28777157693326
2014-11-03,16.125,17.4339766399463,-1.30897663994633
