"AUDUSDDate","AUDUSDClose","AUDUSD_hpft","AUDUSD_hpfc"
2021-11-19,0.72308,0.728147110297486,-0.00506711029748561
2021-11-22,0.72249,0.728009955577707,-0.00551995557770652
2021-11-23,0.72272,0.727875200503006,-0.00515520050300558
2021-11-24,0.71949,0.727742893624998,-0.00825289362499766
2021-11-25,0.7189,0.727613081364359,-0.00871308136435878
2021-11-26,0.7121,0.727485806730334,-0.015385806730334
2021-11-29,0.71427,0.727361109130543,-0.0130911091305428
2021-11-30,0.71287,0.727239021612726,-0.0143690216127259
2021-12-01,0.71079,0.727119571813279,-0.0163295718132788
2021-12-02,0.70927,0.727002781429032,-0.0177327814290325
2021-12-03,0.69987,0.726888665406829,-0.0270186654068292
2021-12-06,0.70495,0.726777231363483,-0.0218272313634835
2021-12-07,0.71187,0.726668475747388,-0.0147984757473882
2021-12-08,0.71713,0.726562385984433,-0.00943238598443303
2021-12-09,0.71485,0.726458943383412,-0.0116089433834121
2021-12-10,0.71708,0.726358125354153,-0.00927812535415263
2021-12-13,0.71351,0.726259904507812,-0.0127499045078122
2021-12-14,0.71049,0.726164249620339,-0.0156742496203393
2021-12-15,0.71693,0.726071124197394,-0.00914112419739374
2021-12-16,0.71839,0.725980485265521,-0.00759048526552069
2021-12-17,0.71259,0.725892286072698,-0.0133022860726981
2021-12-20,0.71115,0.725806476729299,-0.0146564767292993
2021-12-21,0.7155,0.725723001847071,-0.0102230018470706
2021-12-22,0.7214,0.725641799979361,-0.00424179997936043
2021-12-23,0.72435,0.725562805453735,-0.00121280545373508
2021-12-24,0.72217,0.725485950844376,-0.00331595084437557
2021-12-27,0.72388,0.725411168224133,-0.0015311682241327
2021-12-28,0.72265,0.725338388295182,-0.00268838829518189
2021-12-29,0.72516,0.725267541126774,-0.00010754112677437
2021-12-30,0.72503,0.725198555676887,-0.000168555676886733
2021-12-31,0.72685,0.725131360859049,0.00171863914095114
2022-01-03,0.71906,0.725065885517109,-0.00600588551710896
2022-01-04,0.72395,0.725002059205339,-0.0010520592053388
2022-01-05,0.72222,0.724939808995409,-0.0027198089954088
2022-01-06,0.7163,0.72487906152412,-0.00857906152412014
2022-01-07,0.71817,0.724819742304009,-0.00664974230400919
2022-01-10,0.71737,0.724761773301375,-0.00739177330137468
2022-01-11,0.72104,0.72470507373378,-0.00366507373377967
2022-01-12,0.72838,0.724649559763325,0.00373044023667521
2022-01-13,0.72799,0.724595146037114,0.0033948539628861
2022-01-14,0.72101,0.72454174874427,-0.00353174874426954
2022-01-17,0.72101,0.724489285477208,-0.00347928547720763
2022-01-18,0.71849,0.724437672368462,-0.00594767236846238
2022-01-19,0.72117,0.72438682411237,-0.00321682411237046
2022-01-20,0.72273,0.724336652944739,-0.00160665294473933
2022-01-21,0.71751,0.724287069771672,-0.00677706977167212
2022-01-24,0.71452,0.724237984835147,-0.00971798483514653
2022-01-25,0.71514,0.72418930557577,-0.00904930557577039
2022-01-26,0.71163,0.724140935417128,-0.0125109354171283
2022-01-27,0.70352,0.724092774042186,-0.0205727740421863
2022-01-28,0.69952,0.724044715962392,-0.0245247159623923
2022-01-31,0.70673,0.723996647185236,-0.0172666471852366
2022-02-01,0.71294,0.723948443580678,-0.0110084435806783
2022-02-02,0.71378,0.723899973881339,-0.0101199738813389
2022-02-03,0.71397,0.723851102269392,-0.00988110226939159
2022-02-04,0.70766,0.723801688743819,-0.0161416887438187
2022-02-07,0.7126,0.723751589219155,-0.0111515892191549
2022-02-08,0.71469,0.723700652937607,-0.00901065293760719
2022-02-09,0.71802,0.723648724531766,-0.00562872453176568
2022-02-10,0.71681,0.723595644909579,-0.0067856449095786
2022-02-11,0.71309,0.723541252652303,-0.0104512526523028
