"LNKTDate","LNKTClose","LNKT_hpft","LNKT_hpfc"
2014-12-09,16560,15877.4432054635,682.556794536465
2014-12-10,16350,15846.9187119876,503.081288012407
2014-12-11,16223,15816.4217696394,406.578230360645
2014-12-12,16600,15785.9532393226,814.046760677404
2014-12-15,16405,15755.5141500043,649.485849995724
2014-12-16,15981,15725.1058671455,255.894132854515
2014-12-17,15671,15694.7300246787,-23.7300246786827
2014-12-18,15520,15664.3883623127,-144.388362312652
2014-12-19,15612,15634.0826099472,-22.0826099471664
2014-12-22,15625,15603.8144377976,21.1855622024335
2014-12-23,15445,15573.5855069512,-128.585506951228
2014-12-24,15293,15543.3974872528,-250.397487252771
2014-12-29,15054,15513.2519953947,-459.251995394651
2014-12-30,15051,15483.1505445652,-432.150544565195
2014-12-31,15148,15453.0944581164,-305.094458116351
2015-01-02,14881,15423.0848807664,-542.084880766377
2015-01-05,15125,15393.1228311198,-268.122831119847
2015-01-06,15257,15363.2091037052,-106.20910370518
2015-01-07,15531,15333.3443822196,197.655617780405
2015-01-08,15573,15303.5293064578,269.470693542238
2015-01-09,15300,15273.7645979172,26.2354020828346
2015-01-12,15144,15244.0510894838,-100.051089483837
2015-01-13,14499,15214.3896248883,-715.389624888293
2015-01-14,14295,15184.781006504,-889.781006504011
2015-01-15,14447,15155.2257409912,-708.225740991187
2015-01-16,14750,15125.7239672101,-375.72396721013
2015-01-19,14470,15096.2755312694,-626.275531269409
2015-01-20,14735,15066.8801239682,-331.880123968182
2015-01-21,15060,15037.5371772286,22.4628227713879
2015-01-22,14795,15008.2459857869,-213.245985786919
2015-01-23,14250,14979.0058536645,-729.005853664514
2015-01-26,14745,14949.8159967356,-204.815996735574
2015-01-27,14765,14920.6753295325,-155.675329532514
2015-01-28,14960,14891.5826819251,68.4173180748786
2015-01-29,14925,14862.5368194332,62.463180566821
2015-01-30,15165,14833.5365358574,331.463464142592
2015-02-02,15290,14804.5806508184,485.419349181572
2015-02-03,15415,14775.6681209504,639.331879049564
2015-02-04,15120,14746.7981035405,373.201896459484
2015-02-05,15125,14717.9700201499,407.029979850149
2015-02-06,15130,14689.1834466062,440.816553393814
2015-02-09,15190,14660.4381269871,529.561873012854
2015-02-10,14795,14631.7339875862,163.266012413788
2015-02-11,14735,14603.0711735964,131.928826403561
2015-02-12,14745,14574.4498976985,170.550102301505
2015-02-13,14655,14545.8704271071,109.129572892927
2015-02-16,14560,14517.3330995354,42.6669004645555
2015-02-17,14220,14488.8382978067,-268.838297806724
2015-02-18,14200,14460.3864223807,-260.386422380717
2015-02-19,13960,14431.9777625904,-471.97776259036
2015-02-20,13965,14403.6125001353,-438.612500135258
2015-02-23,14130,14375.2906216184,-245.290621618421
2015-02-24,14335,14347.011932338,-12.0119323380227
2015-02-25,14305,14318.776136199,-13.7761361990008
2015-02-26,14395,14290.582932141,104.417067858955
2015-02-27,14065,14262.4320134094,-197.432013409374
2015-03-02,13860,14234.323116411,-374.323116411015
2015-03-03,13675,14206.2558959425,-531.255895942517
2015-03-04,13975,14178.2298520703,-203.229852070338
2015-03-05,14170,14150.244265261,19.7557347389804
2015-03-06,14395,14122.2983319741,272.701668025879
2015-03-09,14415,14094.3912568355,320.608743164529
2015-03-10,14060,14066.5223571947,-6.52235719473415
2015-03-11,13795,14038.6910829283,-243.691082928329
2015-03-12,13995,14010.8968812167,-15.8968812166663
2015-03-13,14145,13983.139098508,161.860901491974
2015-03-16,13940,13955.4170746796,-15.4170746795664
2015-03-17,13765,13927.7302165152,-162.730216515194
2015-03-18,13515,13900.077924426,-385.077924426032
2015-03-19,13750,13872.4595315571,-122.459531557133
2015-03-20,14135,13844.8742118777,290.125788122298
2015-03-23,14290,13817.3210887372,472.678911262787
2015-03-24,13955,13789.7994054114,165.20059458861
2015-03-25,13670,13762.3086005625,-92.3086005624925
2015-03-26,13605,13734.84818114,-129.848181140047
2015-03-27,13260,13707.4176159369,-447.417615936856
2015-03-30,12865,13680.0163200718,-815.016320071757
2015-03-31,12360,13652.6435237191,-1292.6435237191
2015-04-01,12700,13625.2981201583,-925.298120158286
2015-04-02,13000,13597.9784683418,-597.978468341828
2015-04-07,12650,13570.6825447413,-920.682544741267
2015-04-08,12660,13543.4080786479,-883.408078647854
2015-04-09,12535,13516.1524187797,-981.152418779703
2015-04-10,12685,13488.9125486896,-803.912548689563
2015-04-13,12500,13461.6850463612,-961.685046361205
2015-04-14,12570,13434.4661574733,-864.466157473289
2015-04-15,12680,13407.2517301825,-727.25173018254
2015-04-16,12795,13380.0372553102,-585.037255310154
2015-04-17,12600,13352.8179230607,-752.817923060679
2015-04-20,12770,13325.5886818078,-555.588681807814
2015-04-21,12680,13298.3441687406,-618.344168740578
2015-04-22,12655,13271.07879139,-616.078791389989
2015-04-23,12715,13243.7867016884,-528.786701688426
2015-04-24,13255,13216.4617969061,38.538203093864
2015-04-27,13460,13189.0977557341,270.902244265884
2015-04-28,13410,13161.6882727936,248.311727206431
2015-04-29,13455,13134.2271546857,320.772845314272
2015-04-30,13925,13106.708310654,818.291689346026
2015-05-01,13750,13079.1257825363,670.874217463725
2015-05-05,14245,13051.4739504194,1193.52604958057
2015-05-06,13970,13023.7474717027,946.252528297303
2015-05-07,14150,12995.941497141,1154.05850285896
2015-05-08,14330,12968.0515686321,1361.94843136793
2015-05-11,14270,12940.073705115,1329.92629488499
2015-05-12,14300,12912.0044885035,1387.99551149653
2015-05-13,14000,12883.8410504494,1116.15894955061
2015-05-14,13830,12855.5810963461,974.418903653856
2015-05-15,13865,12827.2227929621,1037.77720703789
2015-05-18,13710,12798.7647098516,911.235290148391
2015-05-19,12955,12770.2058455442,184.794154455835
2015-05-20,13080,12741.5455752373,338.454424762696
2015-05-21,13030,12712.7833505151,317.216649484851
2015-05-22,12755,12683.9187628652,71.081237134803
2015-05-26,12715,12654.9515348995,60.0484651005374
2015-05-27,12870,12625.8814186121,244.11858138789
2015-05-28,12809,12596.7081908191,212.291809180915
2015-05-29,12619,12567.4317292449,51.5682707551084
2015-06-01,12985,12538.0519993672,446.948000632765
2015-06-02,13049,12508.5689879799,540.431012020125
2015-06-03,12950,12478.982866627,471.017133373045
2015-06-04,12970,12449.2940302449,520.705969755056
2015-06-05,13125,12419.5030684701,705.496931529932
2015-06-08,13415,12389.6107861773,1025.38921382273
2015-06-09,13440,12359.6182798657,1080.38172013434
2015-06-10,13530,12329.527069889,1200.47293011097
2015-06-11,13300,12299.3391231875,1000.6608768125
2015-06-12,13130,12269.0569029284,860.943097071637
2015-06-15,12965,12238.6832859118,726.316714088155
2015-06-16,12715,12208.2215048177,506.778495182323
2015-06-17,12750,12177.6750925555,572.324907444467
2015-06-18,12745,12147.047791517,597.952208483009
2015-06-19,12645,12116.3435806696,528.656419330385
2015-06-22,12480,12085.5666861505,394.433313849489
2015-06-23,12840,12054.721552622,785.278447377959
2015-06-24,12775,12023.8127877894,751.187212210595
2015-06-25,12740,11992.8453239604,747.154676039615
2015-06-26,12455,11961.8244039533,493.175596046682
2015-06-29,11865,11930.7555794303,-65.7555794302617
2015-06-30,12085,11899.6446059122,185.355394087771
2015-07-01,12005,11868.4972117395,136.502788260497
2015-07-02,12150,11837.3192018709,312.680798129146
2015-07-03,12010,11806.1164376898,203.883562310163
2015-07-06,11655,11774.8949098296,-119.89490982963
2015-07-07,10740,11743.6606932007,-1003.66069320069
2015-07-08,10980,11712.4198131537,-732.419813153734
2015-07-09,11435,11681.1778801665,-246.177880166525
2015-07-10,11280,11649.9402019639,-369.940201963917
2015-07-13,11625,11618.7119845106,6.28801548940099
2015-07-14,11625,11587.4982808531,37.5017191468867
2015-07-15,11500,11556.3041466371,-56.304146637062
2015-07-16,11535,11525.1346530098,9.86534699019765
2015-07-17,11495,11493.9948478448,1.00515215520742
2015-07-20,11675,11462.8897830934,212.110216906573
2015-07-21,11710,11431.8245111226,278.175488877435
2015-07-22,11485,11400.804171977,84.1958280230266
2015-07-23,11405,11369.8340206879,35.1659793120776
2015-07-24,11345,11338.9193470898,6.080652910161
2015-07-27,11020,11308.0654555534,-288.065455553403
2015-07-28,11290,11277.2776529628,12.7223470372416
2015-07-29,11285,11246.5611271274,38.4388728725902
2015-07-30,11030,11215.9210711157,-185.921071115724
2015-07-31,11080,11185.3626938851,-105.362693885052
2015-08-03,10780,11154.8911275406,-374.891127540648
2015-08-04,10870,11124.511460635,-254.511460634956
2015-08-05,10865,11094.2286267557,-229.228626755688
2015-08-06,10860,11064.0474542855,-204.047454285459
2015-08-07,10845,11033.972676853,-188.972676853016
2015-08-10,11170,11004.0089437424,165.991056257599
2015-08-11,10720,10974.1608261237,-254.160826123695
2015-08-12,10665,10944.4329637811,-279.432963781066
2015-08-13,10480,10914.8298914387,-434.829891438655
2015-08-14,10600,10885.3560283145,-285.356028314452
2015-08-17,10615,10856.0156138853,-241.015613885259
2015-08-18,10395,10826.8127696732,-431.81276967318
2015-08-19,10420,10797.751517574,-377.751517574042
2015-08-20,10425,10768.8357009897,-343.835700989667
2015-08-21,10155,10740.0690071747,-585.069007174741
2015-08-24,9540,10711.4549812559,-1171.45498125588
2015-08-25,9650,10682.9969265159,-1032.99692651588
2015-08-26,9565,10654.6976620049,-1089.69766200491
2015-08-27,10010,10626.5595797739,-616.559579773894
2015-08-28,10020,10598.5846214367,-578.584621436667
2015-09-01,9760,10570.7744737462,-810.774473746183
2015-09-02,9860,10543.1305842915,-683.130584291452
2015-09-03,9950,10515.6540655203,-565.654065520342
2015-09-04,9850,10488.3457475015,-638.345747501516
2015-09-07,9770,10461.2062264853,-691.206226485322
2015-09-08,10010,10434.2358348556,-424.235834855557
2015-09-09,10025,10407.434619279,-382.434619279019
2015-09-10,10440,10380.8024510608,59.1975489391874
2015-09-11,10255,10354.3390434226,-99.3390434225812
2015-09-14,9890,10328.0441340562,-438.044134056209
2015-09-15,10060,10301.9174195906,-241.917419590599
2015-09-16,10100,10275.9584155845,-175.958415584542
2015-09-17,9975,10250.1665375987,-275.166537598651
2015-09-18,9750,10224.5411284589,-474.54112845891
2015-09-21,9825,10199.0814172483,-374.081417248285
2015-09-22,9680,10173.786436894,-493.786436893988
2015-09-23,9775,10148.6550656928,-373.655065692807
2015-09-24,9890,10123.6859778303,-233.685977830284
2015-09-25,9915,10098.8776930374,-183.877693037426
2015-09-28,9835,10074.2286344494,-239.228634449366
2015-09-29,9855,10049.7371491936,-194.737149193563
2015-09-30,10355,10025.4014855097,329.598514490276
2015-10-01,10070,10001.2198111413,68.7801888586581
2015-10-02,10030,9977.19043007431,52.8095699256941
2015-10-05,9950,9953.31167472579,-3.31167472578855
2015-10-06,9925,9929.58189934225,-4.58189934224471
2015-10-07,10170,9905.99945680115,264.000543198849
2015-10-08,10175,9882.56269808598,292.437301914019
2015-10-09,10520,9859.27008330778,660.729916692219
2015-10-12,10565,9836.12019345895,728.879806541047
2015-10-13,10450,9813.11188265131,636.88811734869
2015-10-14,10475,9790.2443062862,684.755693713799
