"CU0Date","CU0Close","CU0_hpft","CU0_hpfc"
2018-11-20,49580,49001.9157729202,578.084227079837
2018-11-21,49410,48992.5818155652,417.418184434794
2018-11-22,49570,48983.273726639,586.726273360967
2018-11-23,49400,48973.9913937318,426.00860626817
2018-11-26,49300,48964.7349469628,335.265053037206
2018-11-27,48880,48955.504692546,-75.5046925460004
2018-11-28,49280,48946.3010752805,333.698924719458
2018-11-29,49560,48937.124508755,622.875491244949
2018-11-30,49720,48927.9755444957,792.024455504328
2018-12-03,50280,48918.8549915004,1361.14500849962
2018-12-04,49660,48909.7639861582,750.236013841758
2018-12-05,49350,48900.7042275008,449.295772499196
2018-12-06,48980,48891.6777246771,88.3222753228988
2018-12-07,49180,48882.6866725569,297.313327443127
2018-12-10,48930,48873.7333025189,56.266697481081
2018-12-11,49090,48864.8199688393,225.180031160684
2018-12-12,49080,48855.9490490525,224.050950947448
2018-12-13,49340,48847.1230137734,492.876986226632
2018-12-14,48890,48838.3444262302,51.6555737697588
2018-12-17,49230,48829.6160533872,400.383946612801
2018-12-18,48930,48820.9406835605,109.059316439478
2018-12-19,48090,48812.3212705693,-722.321270569322
2018-12-20,48220,48803.7608133131,-583.760813313139
2018-12-21,48410,48795.2620121132,-385.262012113223
2018-12-24,48100,48786.8273259875,-686.827325987465
2018-12-25,48010,48778.4590547019,-768.459054701925
2018-12-26,48040,48770.1592141159,-730.159214115884
2018-12-27,48280,48761.9295024385,-481.929502438481
2018-12-28,48340,48753.7713160605,-413.771316060515
2019-01-02,47680,48745.6858521625,-1065.68585216247
2019-01-03,47330,48737.6741368883,-1407.67413688825
2019-01-04,47140,48729.7367558704,-1589.73675587036
2019-01-07,47430,48721.8737128652,-1291.87371286518
2019-01-08,47340,48714.0843544959,-1374.08435449595
2019-01-09,47680,48706.3674933772,-1026.36749337717
2019-01-10,47510,48698.7213741324,-1188.72137413236
2019-01-11,47320,48691.1438171257,-1371.14381712566
2019-01-14,46890,48683.6321513519,-1793.63215135189
2019-01-15,47000,48676.18313903,-1676.18313903
2019-01-16,47380,48668.7928009635,-1288.79280096348
2019-01-17,47380,48661.4564650893,-1281.45646508929
2019-01-18,47860,48654.1689266091,-794.168926609152
2019-01-21,47800,48646.9244510223,-846.924451022323
2019-01-22,47530,48639.7169755503,-1109.71697555029
2019-01-23,47540,48632.5400873304,-1092.54008733039
2019-01-24,47320,48625.3869147873,-1305.38691478733
2019-01-25,47380,48618.2501347338,-1238.25013473381
2019-01-28,47540,48611.121884388,-1071.12188438798
2019-01-29,47580,48603.9937891252,-1023.99378912525
2019-01-30,47700,48596.8570315622,-896.857031562249
2019-01-31,48090,48589.7023710378,-499.702371037784
2019-02-01,48270,48582.5201961661,-312.520196166073
2019-02-11,48190,48575.3006890044,-385.300689004375
2019-02-12,48110,48568.0339024268,-458.033902426779
2019-02-13,48120,48560.7097300394,-440.709730039361
2019-02-14,48340,48553.3178761157,-213.317876115673
2019-02-15,48090,48545.8478627573,-455.84786275733
2019-02-18,49230,48538.2891238891,691.710876110894
2019-02-19,49360,48530.6309050065,829.369094993514
2019-02-20,49710,48522.8627375305,1187.13726246948
2019-02-21,49670,48514.9744957099,1155.02550429011
2019-02-22,49920,48506.9565445085,1413.04345549151
2019-02-25,50520,48498.7997263309,2021.2002736691
2019-02-26,50190,48490.4954676774,1699.50453232263
