"CN00YDate","CN00YClose","CN00Y_hpft","CN00Y_hpfc"
2018-03-22,13160,13038.4559518033,121.544048196733
2018-03-23,12802.5,13024.1804591017,-221.680459101701
2018-03-26,12685,13009.6948038121,-324.694803812129
2018-03-27,12722.5,12995.0065226786,-272.50652267856
2018-03-28,12345,12980.1230182295,-635.123018229504
2018-03-29,12727.5,12965.0515803499,-237.551580349876
2018-04-02,12527.5,12949.7992363906,-422.299236390622
2018-04-03,12505,12934.3729155081,-429.372915508064
2018-04-04,12340,12918.7793722977,-578.779372297711
2018-04-05,12692.5,12903.0251838689,-210.525183868926
2018-04-06,12545,12887.1166880869,-342.116688086927
2018-04-09,12515,12871.0601357946,-356.060135794627
2018-04-10,12890,12854.8616364174,35.138363582632
2018-04-11,12907.5,12838.5271521998,68.9728478001815
2018-04-12,12762.5,12822.0626599113,-59.5626599113297
2018-04-13,12600,12805.4741648317,-205.474164831679
2018-04-16,12222.5,12788.76764762,-566.267647619997
2018-04-17,12070,12771.9490040008,-701.949004000778
2018-04-18,12200,12755.0238956259,-555.023895625853
2018-04-19,12415,12737.9976939901,-322.997693990064
2018-04-20,12225,12720.8755411634,-495.875541163426
2018-04-23,12332.5,12703.6624457015,-371.162445701497
2018-04-24,12692.5,12686.3632111851,6.13678881492081
2018-04-25,12487.5,12668.9824877708,-181.482487770848
2018-04-26,12275,12651.5249281532,-376.524928153172
2018-04-27,12195,12633.9951100083,-438.995110008337
2018-04-30,12367.5,12616.3974553725,-248.897455372463
2018-05-02,12245,12598.7362048184,-353.736204818445
2018-05-03,12280,12581.0154960351,-301.015496035146
2018-05-04,12150,12563.2393204912,-413.23932049121
2018-05-07,12340,12545.4115452276,-205.411545227581
2018-05-08,12585,12527.5358664685,57.4641335315458
2018-05-09,12567.5,12509.6158955294,57.8841044706181
2018-05-10,12625,12491.6552674791,133.344732520884
2018-05-11,12595,12473.6576413135,121.342358686472
2018-05-14,12790,12455.6267311477,334.373268852319
2018-05-15,12707.5,12437.5663012548,269.933698745211
2018-05-16,12575,12419.4802541245,155.519745875455
2018-05-17,12460,12401.3726038263,58.6273961736753
2018-05-18,12635,12383.2474287151,251.75257128486
2018-05-21,12677.5,12365.1088313802,312.391168619835
2018-05-22,12547.5,12346.961018475,200.538981524974
2018-05-23,12287.5,12328.8083257833,-41.3083257832622
2018-05-24,12297.5,12310.6551719832,-13.1551719831712
2018-05-25,12212.5,12292.5059586778,-80.0059586778433
2018-05-28,12305,12274.3650820326,30.6349179674385
2018-05-30,11982.5,12256.2369051414,-273.736905141373
2018-05-31,12307.5,12238.1258037615,69.3741962384695
2018-06-01,12272.5,12220.0360404985,52.4639595015154
2018-06-04,12512.5,12201.9719066342,310.528093365841
2018-06-05,12560,12183.937715137,376.062284862969
2018-06-06,12517.5,12165.9379073353,351.562092664666
2018-06-07,12560,12147.9770800064,412.022919993617
2018-06-08,12270,12130.0599752491,139.940024750897
2018-06-11,12415,12112.191505476,302.808494523986
2018-06-12,12565,12094.3766409455,470.623359054527
2018-06-13,12475,12076.6204770845,398.379522915549
2018-06-14,12440,12058.9283038568,381.0716961432
2018-06-18,12342.5,12041.3055759005,301.194424099531
2018-06-19,12000,12023.757905373,-23.757905372956
2018-06-20,12132.5,12006.2910289337,126.208971066293
2018-06-21,12072.5,11988.9106734215,83.5893265784943
2018-06-22,12040,11971.6226178446,68.3773821553968
2018-06-25,11847.5,11954.4326757641,-106.932675764138
2018-06-26,11700,11937.3466890053,-237.346689005341
2018-06-27,11332.5,11920.370455192,-587.870455191959
2018-06-28,11262.5,11903.5096738382,-641.009673838151
2018-06-29,11530,11886.7698014558,-356.769801455829
2018-07-02,10887.5,11870.1560295897,-982.656029589692
2018-07-03,10972.5,11853.6734023101,-881.173402310085
2018-07-04,10910,11837.3265574967,-927.326557496728
2018-07-05,10937.5,11821.1197687872,-883.619768787185
2018-07-06,11030,11805.0569265004,-775.056926500406
2018-07-09,11382.5,11789.141555702,-406.641555702006
2018-07-10,11367.5,11773.3768610802,-405.876861080212
2018-07-11,11197.5,11757.7658792341,-560.265879234071
2018-07-12,11427.5,11742.3114789899,-314.811478989851
2018-07-13,11470,11727.0162975816,-257.016297581603
2018-07-16,11377.5,11711.8828421134,-334.382842113375
2018-07-17,11257.5,11696.9135134491,-439.413513449148
2018-07-18,11220,11682.1105742327,-462.110574232703
2018-07-19,11257.5,11667.4761054711,-409.976105471107
2018-07-20,11582.5,11653.0119971542,-70.5119971541787
2018-07-23,11665,11638.719969804,26.280030195954
2018-07-24,11917.5,11624.6017147959,292.898285204141
2018-07-25,11850,11610.6589343678,239.341065632212
2018-07-26,11730,11596.8934518305,133.106548169505
2018-07-27,11710,11583.3071894285,126.692810571473
2018-07-30,11747.5,11569.9021244276,177.597875572441
2018-07-31,11757.5,11556.6802864628,200.81971353721
2018-08-01,11475,11543.6437785815,-68.6437785814626
2018-08-02,11115,11530.7947868411,-415.794786841094
2018-08-03,11020,11518.1354689251,-498.1354689251
2018-08-06,11035,11505.6678106441,-470.667810644099
2018-08-07,11390,11493.3935918994,-103.393591899409
2018-08-08,11170,11481.3143980371,-311.314398037106
2018-08-10,11485,11469.4317716644,15.5682283355549
2018-08-13,11322.5,11457.747126704,-135.247126704027
2018-08-14,11290,11446.2618835136,-156.261883513626
2018-08-15,10955,11434.9774065451,-479.977406545122
2018-08-16,11010,11423.8949956583,-413.894995658341
2018-08-17,10867.5,11413.0157523099,-545.515752309899
2018-08-20,11082.5,11402.3406068685,-319.840606868515
2018-08-21,11265,11391.8702642082,-126.870264208227
2018-08-23,11232.5,11381.6052969944,-149.105296994446
2018-08-24,11272.5,11371.5462254496,-99.0462254496435
2018-08-27,11532.5,11361.6935081617,170.806491838251
2018-08-28,11512.5,11352.047562777,160.452437223039
2018-08-29,11435,11342.608877546,92.3911224539619
2018-08-30,11325,11333.3780070448,-8.37800704477729
2018-08-31,11270,11324.3555440391,-54.3555440390666
2018-09-03,11270,11315.5420778322,-45.5420778321969
2018-09-04,11410,11306.9381752587,103.061824741339
2018-09-05,11140,11298.5443843281,-158.544384328111
2018-09-06,11060,11290.3612956518,-230.361295651784
2018-09-07,11065,11282.389434305,-217.38943430501
2018-09-10,11020,11274.6292301407,-254.629230140652
2018-09-11,10817.5,11267.0810231517,-449.581023151706
2018-09-12,10870,11259.7450480779,-389.745048077863
2018-09-13,11022.5,11252.6213538194,-230.121353819442
2018-09-14,11085,11245.7098281726,-160.709828172566
2018-09-17,10985,11239.0102638105,-254.010263810532
2018-09-18,11172.5,11232.5223869747,-60.0223869747346
2018-09-19,11395,11226.2458189097,168.754181090303
2018-09-20,11375,11220.1801560494,154.81984395057
2018-09-21,11820,11214.3250645836,605.674935416364
2018-09-24,11695,11208.680274698,486.319725302041
2018-09-25,11640,11203.2457669404,436.754233059631
2018-09-26,11765,11198.0217228836,566.978277116382
2018-09-27,11747.5,11193.008504637,554.491495362962
2018-09-28,11912.5,11188.2067086756,724.293291324358
2018-10-01,11872.5,11183.6171606795,688.882839320518
2018-10-02,11610,11179.2409857219,430.759014278098
2018-10-03,11670,11175.0795936333,494.920406366691
2018-10-04,11475,11171.1345723021,303.865427697917
2018-10-05,11422.5,11167.4077141969,255.092285803071
