"PP0Date","PP0Close","PP0_hpft","PP0_hpfc"
2020-10-19,7786,7962.66655499253,-176.666554992527
2020-10-20,7781,7971.53881532611,-190.538815326111
2020-10-21,7788,7980.39584172852,-192.395841728517
2020-10-22,7779,7989.23664867143,-210.236648671435
2020-10-23,7743,7998.06017109788,-255.060171097882
2020-10-26,7749,8006.86525704745,-257.865257047446
2020-10-27,7809,8015.65064912814,-206.650649128137
2020-10-28,7808,8024.41498335689,-216.414983356886
2020-10-29,7791,8033.15681032944,-242.156810329439
2020-10-30,7819,8041.87459118437,-222.874591184366
2020-11-02,8098,8050.5666869623,47.4333130376988
2020-11-03,8093,8059.23136657654,33.7686334234583
2020-11-04,8024,8067.86691854739,-43.8669185473874
2020-11-05,7955,8076.47164535372,-121.471645353721
2020-11-06,7948,8085.04383134163,-137.04383134163
2020-11-09,7997,8093.58171064561,-96.5817106456136
2020-11-10,7943,8102.08346075195,-159.083460751947
2020-11-11,8057,8110.54721922378,-53.5472192237826
2020-11-12,8082,8118.97105786552,-36.9710578655192
2020-11-13,8227,8127.35302634743,99.6469736525703
2020-11-16,8348,8135.69115905735,212.308840942655
2020-11-17,8325,8143.98353157319,181.016468426815
2020-11-18,8492,8152.2283072327,339.771692767301
2020-11-19,8582,8160.4237241988,421.576275801204
2020-11-20,8523,8168.56816108208,354.43183891792
2020-11-23,8829,8176.66017075603,652.339829243969
2020-11-24,8824,8184.69845260191,639.301547398086
2020-11-25,8738,8192.681975652,545.318024348004
2020-11-26,8663,8200.60997320012,462.390026799876
2020-11-27,8731,8208.48190395275,522.518096047251
2020-11-30,8720,8216.29741774977,503.702582250231
2020-12-01,8574,8224.05638041877,349.943619581235
2020-12-02,8475,8231.75886599829,243.241134001711
2020-12-03,8382,8239.40509317918,142.594906820817
2020-12-04,8492,8246.9953811984,245.004618801596
2020-12-07,8572,8254.53010823584,317.469891764162
2020-12-08,8439,8262.00975374651,176.990246253487
2020-12-09,8435,8269.43492841469,165.565071585312
2020-12-10,8483,8276.80631608524,206.193683914759
2020-12-11,8658,8284.12466904127,373.87533095873
2020-12-14,8454,8291.39082479767,162.609175202328
2020-12-15,8284,8298.60577541463,-14.6057754146359
2020-12-16,8258,8305.77058016833,-47.7705801683298
2020-12-17,8318,8312.88629229759,5.1137077024098
2020-12-18,8382,8319.95394529468,62.0460547053151
2020-12-21,8329,8326.97457476566,2.02542523433982
2020-12-22,8220,8333.94924196401,-113.94924196401
2020-12-23,8179,8340.87900898043,-161.879008980432
