"USB05YUSDDate","USB05YUSDClose","USB05YUSD_hpft","USB05YUSD_hpfc"
2017-01-26,117.904,118.47433397482,-0.57033397482028
2017-01-27,117.955,118.46142915218,-0.50642915218046
2017-01-30,117.968,118.448957241428,-0.480957241427933
2017-01-31,118.122,118.436916248526,-0.314916248526347
2017-02-01,117.989,118.425303980631,-0.436303980631238
2017-02-02,118.026,118.414118114724,-0.388118114723608
2017-02-03,118.043,118.403356147435,-0.360356147434966
2017-02-06,118.398,118.393015414964,0.0049845850358339
2017-02-07,118.408,118.383093104553,0.0249068954469529
2017-02-08,118.593,118.373586405504,0.219413594496312
2017-02-09,118.28,118.364492517414,-0.0844925174143342
2017-02-10,118.207,118.35580873058,-0.148808730579725
2017-02-13,118.081,118.347532300368,-0.26653230036829
2017-02-14,117.789,118.339660420638,-0.550660420638058
2017-02-15,117.631,118.332190175072,-0.701190175071718
2017-02-16,117.928,118.325118419732,-0.39711841973246
2017-02-17,118.102,118.318441720839,-0.216441720838922
2017-02-20,118.08,118.312156480458,-0.232156480457925
2017-02-21,118.065,118.306259011187,-0.241259011186754
2017-02-22,118.12,118.300745529659,-0.180745529658975
2017-02-23,118.337,118.295612152781,0.0413878472186602
2017-02-24,118.639,118.290854922748,0.348145077251956
2017-02-27,118.315,118.286469898861,0.0285301011391619
2017-02-28,118.12,118.282453284331,-0.162453284331394
2017-03-01,117.638,118.278801294164,-0.64080129416368
2017-03-02,117.443,118.275510076211,-0.832510076210836
2017-03-03,117.522,118.272575513444,-0.750575513443943
2017-03-06,117.509,118.269993144708,-0.760993144707618
2017-03-07,117.38,118.26775819859,-0.887758198589659
2017-03-08,117.193,118.265865589113,-1.07286558911315
2017-03-09,117.025,118.264309863338,-1.23930986333786
2017-03-10,117.146,118.263085124844,-1.11708512484415
2017-03-13,116.977,118.262184964931,-1.28518496493143
2017-03-14,117.022,118.261602513141,-1.23960251314095
2017-03-15,117.633,118.261330367771,-0.62833036777062
2017-03-16,117.435,118.261360614716,-0.826360614716248
2017-03-17,117.565,118.261685080147,-0.696685080147087
2017-03-20,117.738,118.262295248648,-0.524295248647916
2017-03-21,117.968,118.263182316822,-0.29518231682193
2017-03-22,118.001,118.26433726455,-0.263337264550443
