"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2019-01-08,1858.5,1914.57677699509,-56.0767769950875
2019-01-09,1853,1913.22092777678,-60.2209277767806
2019-01-10,1852,1911.88049055972,-59.8804905597188
2019-01-11,1833.5,1910.55536574668,-77.0553657466807
2019-01-14,1830,1909.24542898833,-79.2454289883328
2019-01-15,1852.5,1907.95052408371,-55.4505240837058
2019-01-16,1841.5,1906.67046207494,-65.1704620749388
2019-01-17,1852,1905.4050310832,-53.4050310832014
2019-01-18,1870,1904.15399229078,-34.1539922907783
2019-01-21,1849.5,1902.91708480446,-53.4170848044589
2019-01-22,1895,1901.69403361317,-6.69403361316894
2019-01-23,1894,1900.48454162536,-6.48454162535947
2019-01-24,1885.5,1899.28830898242,-13.7883089824163
2019-01-25,1905,1898.10503314531,6.89496685468991
2019-01-28,1868,1896.93440587543,-28.934405875433
2019-01-29,1898,1895.77612178431,2.22387821569214
2019-01-30,1905,1894.62986352315,10.370136476852
2019-01-31,1906.5,1893.4953146624,13.0046853375975
2019-02-01,1876,1892.37216305914,-16.3721630591429
2019-02-04,1920.5,1891.26010194603,29.2398980539685
2019-02-05,1926,1890.15881778813,35.8411822118716
2019-02-06,1908,1889.06800913712,18.9319908628811
2019-02-07,1893.5,1887.98738935998,5.51261064001829
2019-02-08,1878,1886.91667964944,-8.91667964943659
2019-02-11,1878,1885.85560347686,-7.85560347685978
2019-02-12,1855,1884.80388062787,-29.8038806278724
2019-02-13,1865,1883.76122764086,-18.761227640857
2019-02-14,1849.5,1882.72734873451,-33.2273487345103
2019-02-15,1855.5,1881.70194037236,-26.2019403723598
2019-02-18,1854,1880.68468528311,-26.6846852831113
2019-02-19,1857,1879.67525536464,-22.6752553646385
2019-02-20,1876,1878.67331148442,-2.67331148441948
2019-02-21,1906.5,1877.6785051369,28.8214948630952
2019-02-22,1913.5,1876.69048671151,36.8095132884875
2019-02-25,1903,1875.70891851131,27.2910814886906
2019-02-26,1917,1874.73347805492,42.2665219450803
2019-02-27,1922,1873.76385414201,48.2361458579917
2019-02-28,1905,1872.79975304351,32.2002469564901
2019-03-01,1910.5,1871.84090096927,38.6590990307309
2019-03-04,1872,1870.8870374394,1.11296256060491
2019-03-05,1871,1869.93791795413,1.06208204587286
2019-03-06,1861,1868.99329847376,-7.99329847376141
2019-03-07,1863,1868.05293539761,-5.0529353976051
2019-03-08,1865.5,1867.11658182086,-1.61658182085729
2019-03-11,1855.5,1866.18398875005,-10.6839887500487
2019-03-12,1877.5,1865.25490652347,12.2450934765346
2019-03-13,1903.5,1864.32908106307,39.1709189369338
2019-03-14,1902,1863.40626335244,38.5937366475584
2019-03-15,1896,1862.48622056687,33.5137794331322
2019-03-18,1924.5,1861.56873583472,62.9312641652808
