"CL00YDate","CL00YClose","CL00Y_hpft","CL00Y_hpfc"
2017-04-28,49.19,49.0640557924037,0.125944207596254
2017-05-01,48.74,49.0247978037771,-0.284797803777104
2017-05-02,48.08,48.9858242381673,-0.905824238167258
2017-05-03,47.55,48.9471707786092,-1.39717077860924
2017-05-04,45.49,48.9088727337071,-3.41887273370709
2017-05-05,46.47,48.87096483453,-2.40096483453002
2017-05-08,46.5,48.8334803989243,-2.33348039892428
2017-05-09,46.2,48.7964517522719,-2.59645175227186
2017-05-10,47.34,48.7599102553893,-1.41991025538928
2017-05-11,47.82,48.7238861958236,-0.903886195823582
2017-05-12,47.82,48.6884092741875,-0.868409274187519
2017-05-15,48.82,48.6535088174657,0.166491182534272
2017-05-16,48.23,48.6192137936754,-0.389213793675439
2017-05-17,48.96,48.5855532396542,0.374446760345808
2017-05-18,49.34,48.5525560313555,0.78744396864452
2017-05-19,50.9,48.5202511995132,2.37974880048683
2017-05-22,51.04,48.4886681003599,2.5513318996401
2017-05-23,51.49,48.4578370738192,3.03216292618083
2017-05-24,51.3,48.4277895144338,2.87221048556621
2017-05-25,48.71,48.3985580701208,0.311441929879168
2017-05-26,49.87,48.3701765760535,1.49982342394651
2017-05-29,49.99,48.3426789961421,1.64732100385791
2017-05-30,49.65,48.3160999142636,1.33390008573638
2017-05-31,48.63,48.2904745952331,0.339525404766916
2017-06-01,48.03,48.2658388552435,-0.235838855243459
2017-06-02,47.74,48.242228650834,-0.502228650834033
2017-06-05,47.39,48.2196798410612,-0.829679841061157
2017-06-06,47.98,48.1982280773757,-0.21822807737574
2017-06-07,45.78,48.1779086682749,-2.39790866827494
2017-06-08,45.71,48.158756832049,-2.44875683204898
2017-06-09,45.9,48.1408067957881,-2.24080679578811
2017-06-12,46,48.1240917743678,-2.12409177436781
2017-06-13,45.95,48.1086440563994,-2.15864405639941
2017-06-14,44.68,48.0944950524855,-3.41449505248546
2017-06-15,44.24,48.0816752809282,-3.84167528092823
2017-06-16,44.68,48.0702138486156,-3.39021384861559
2017-06-19,44.33,48.0601382744412,-3.73013827444123
2017-06-20,43.36,48.0514746759204,-4.69147467592035
2017-06-21,42.53,48.04424762868,-5.51424762867996
2017-06-22,42.78,48.0384797690818,-5.25847976908179
2017-06-23,43.17,48.0341914541151,-4.86419145411508
2017-06-26,43.49,48.0314008671273,-4.54140086712729
2017-06-27,43.72,48.0301241808076,-4.31012418080762
2017-06-28,44.88,48.0303756906078,-3.15037569060778
2017-06-29,44.87,48.0321679103514,-3.16216791035138
2017-06-30,46.33,48.0355120516182,-1.70551205161821
2017-07-03,47.05,48.0404180188807,-0.990418018880701
2017-07-04,47.08,48.046895011621,-0.966895011621
2017-07-05,45.61,48.0549518199158,-2.44495181991581
2017-07-06,45.33,48.0645968341752,-2.73459683417521
2017-07-07,44.33,48.0758374341563,-3.74583743415632
2017-07-10,44.55,48.0886798692499,-3.53867986924992
2017-07-11,45.76,48.1031288404649,-2.34312884046493
2017-07-12,45.46,48.1191875860626,-2.65918758606262
2017-07-13,46.1,48.1368583757514,-2.0368583757514
2017-07-14,46.68,48.1561423800354,-1.47614238003539
2017-07-17,46,48.1770399274636,-2.17703992746361
2017-07-18,46.44,48.1995507364089,-1.75955073640894
2017-07-19,47.27,48.2236736253469,-0.953673625346901
2017-07-20,46.93,48.2494066854177,-1.31940668541767
2017-07-21,45.6,48.2767476135537,-2.67674761355368
2017-07-24,46.48,48.3056935613001,-1.82569356130008
2017-07-25,48.55,48.3362405737414,0.21375942625855
2017-07-26,48.72,48.3683839412937,0.3516160587063
2017-07-27,49.15,48.4021190427317,0.747880957268282
2017-07-28,49.79,48.4374414021747,1.35255859782531
2017-07-31,50.17,48.4743468528866,1.69565314711341
2017-08-01,48.79,48.5128317872246,0.2771682127754
2017-08-02,49.61,48.5528932984602,1.05710670153981
2017-08-03,48.93,48.5945285944314,0.335471405568627
2017-08-04,49.52,48.6377353199476,0.882264680052408
2017-08-07,49.31,48.6825112584863,0.627488741513746
2017-08-08,48.96,48.7288545582177,0.231145441782282
2017-08-09,49.7,48.7767636266904,0.923236373309627
2017-08-10,48.51,48.8262369669994,-0.31623696699942
2017-08-11,48.79,48.8772734638672,-0.0872734638672462
2017-08-14,47.5,48.9298718712979,-1.42987187129785
2017-08-15,47.71,48.9840309072194,-1.27403090721939
2017-08-16,46.77,49.0397486985115,-2.26974869851154
2017-08-17,46.93,49.0970228454177,-2.16702284541769
2017-08-18,48.9,49.1558500099594,-0.255850009959366
2017-08-21,47.57,49.2162259583951,-1.64622595839511
2017-08-22,47.63,49.2781463512294,-1.64814635122944
2017-08-23,48.37,49.3416061684821,-0.9716061684821
2017-08-24,47.62,49.406599708895,-1.78659970889503
2017-08-25,47.86,49.4731208695873,-1.61312086958726
2017-08-28,46.81,49.5411628091696,-2.73116280916963
2017-08-29,46.32,49.6107180194538,-3.29071801945379
2017-08-30,45.97,49.681777863299,-3.71177786329895
2017-08-31,47.09,49.7543323433112,-2.66433234331121
2017-09-01,47.35,49.8283699277978,-2.47836992779782
2017-09-04,47.37,49.9038779837409,-2.53387798374092
2017-09-05,48.62,49.9808428536618,-1.36084285366183
2017-09-06,49.15,50.0592498326782,-0.909249832678155
2017-09-07,49.11,50.139083653392,-1.02908365339196
2017-09-08,47.56,50.2203286725544,-2.66032867255436
2017-09-11,48.1,50.3029688215377,-2.20296882153771
2017-09-12,48.37,50.3869869320442,-2.01698693204421
2017-09-13,49.32,50.4723649251492,-1.15236492514918
2017-09-14,49.72,50.5590838881948,-0.839083888194767
2017-09-15,49.83,50.6471244321768,-0.817124432176769
2017-09-18,50.36,50.7364668212502,-0.376466821250246
2017-09-19,50.28,50.8270909818021,-0.547090981802104
2017-09-20,50.73,50.9189766846045,-0.188976684604525
2017-09-21,50.74,51.0121034742819,-0.272103474281851
2017-09-22,50.66,51.1064508173457,-0.446450817345678
2017-09-25,52.13,51.2019980678292,0.928001932170808
2017-09-26,52.09,51.2987243952234,0.791275604776562
2017-09-27,52.03,51.3966093526142,0.633390647385765
2017-09-28,51.59,51.4956328201727,0.0943671798273094
2017-09-29,51.64,51.5957749398867,0.0442250601133343
2017-10-02,50.57,51.6970158927486,-1.12701589274858
2017-10-03,50.18,51.7993358780346,-1.61933587803458
2017-10-04,49.9,51.9027146291605,-2.00271462916052
2017-10-05,50.75,52.0071312101697,-1.25713121016972
