"LZNTDate","LZNTClose","LZNT_hpft","LZNT_hpfc"
2015-04-20,2189.5,2130.32049843226,59.1795015677421
2015-04-21,2210.5,2128.93568177868,81.5643182213161
2015-04-22,2240.5,2127.50911593483,112.990884065168
2015-04-23,2223.5,2126.03940992214,97.46059007786
2015-04-24,2245,2124.52521946797,120.474780532034
2015-04-27,2298.5,2122.96524058588,175.534759414119
2015-04-28,2294,2121.35821908892,172.641780911082
2015-04-29,2300,2119.70297334918,180.297026650818
2015-04-30,2341,2117.99839310188,223.001606898124
2015-05-01,2348,2116.24344260974,231.756557390262
2015-05-05,2397,2114.4371783155,282.562821684497
2015-05-06,2358.5,2112.57875246063,245.921247539374
2015-05-07,2369,2110.66743408675,258.332565913255
2015-05-08,2351,2108.70259388939,242.29740611061
2015-05-11,2307,2106.68370934847,200.316290651533
2015-05-12,2353.5,2104.61035809983,248.889641900172
2015-05-13,2338,2102.48220058197,235.51779941803
2015-05-14,2304,2100.2990001145,203.700999885496
2015-05-15,2291.5,2098.06061737054,193.439382629463
2015-05-18,2283.5,2095.76699722505,187.733002774951
2015-05-19,2235,2093.41816451299,141.581835487015
2015-05-20,2204,2091.01422167053,112.985778329475
2015-05-21,2206,2088.55532965822,117.444670341779
2015-05-22,2175.5,2086.04169614035,89.4583038596544
2015-05-26,2185,2083.47357732815,101.526422671851
2015-05-27,2188.5,2080.85126641121,107.648733588792
2015-05-28,2228.1,2078.17509854614,149.92490145386
2015-05-29,2188.1,2075.44545338719,112.654546612814
2015-06-01,2155.1,2072.6627725615,82.4372274384953
2015-06-02,2157.9,2069.8275442631,88.0724557368953
2015-06-03,2172,2066.94029076227,105.059709237727
2015-06-04,2142,2064.00157073489,77.9984292651124
2015-06-05,2133,2061.01198628431,71.9880137156886
2015-06-08,2141.5,2057.97217175525,83.5278282447464
2015-06-09,2162.5,2054.88279124936,107.617208750637
2015-06-10,2142.5,2051.74454339547,90.7554566045304
2015-06-11,2125,2048.55817130694,76.4418286930574
2015-06-12,2123,2045.32445561181,77.6755443881882
2015-06-15,2109.5,2042.04420853605,67.4557914639522
2015-06-16,2098,2038.71827441358,59.2817255864184
2015-06-17,2079.5,2035.34752546196,44.1524745380431
2015-06-18,2070,2031.93285840326,38.0671415967371
2015-06-19,2047,2028.47518821049,18.5248117895123
2015-06-22,2035.5,2024.97544559209,10.5245544079134
2015-06-23,2055,2021.43456891392,33.5654310860817
2015-06-24,2042.5,2017.85350089222,24.6464991077759
2015-06-25,2037.5,2014.23319811788,23.266801882118
2015-06-26,2025.5,2010.57462736969,14.9253726303121
2015-06-29,2019,2006.87876504391,12.1212349560881
2015-06-30,2000,2003.14659370641,-3.14659370640546
2015-07-01,2047,1999.37910093341,47.6208990665902
2015-07-02,2026,1995.57727300056,30.4227269994441
2015-07-03,2018.5,1991.74211586807,26.7578841319259
2015-07-06,2013,1987.87464807158,25.1253519284203
2015-07-07,1939,1983.97589920747,-44.9758992074686
2015-07-08,1982,1980.04690925789,1.95309074211143
2015-07-09,2010,1976.08869961371,33.9113003862878
2015-07-10,2010,1972.1022924732,37.8977075268032
2015-07-13,2052,1968.08872405216,83.9112759478447
2015-07-14,2054.5,1964.04904623178,90.450953768223
2015-07-15,2078,1959.98434557886,118.015654421137
