"EG0Date","EG0Close","EG0_hpft","EG0_hpfc"
2020-08-28,3946,3769.14006248232,176.859937517681
2020-08-31,4040,3772.94978624675,267.050213753247
2020-09-01,4079,3776.83620156306,302.163798436941
2020-09-02,4071,3780.79909925517,290.200900744834
2020-09-03,4042,3784.83839504931,257.161604950686
2020-09-04,4042,3788.95412462941,253.045875370585
2020-09-07,4027,3793.14642997951,233.853570020492
2020-09-08,4050,3797.41555768247,252.584442317533
2020-09-09,3984,3801.76185098701,182.238149012993
2020-09-10,3935,3806.18575754994,128.814242450061
2020-09-11,3932,3810.68780035829,121.312199641713
2020-09-14,4033,3815.2685556454,217.731444354599
2020-09-15,4017,3819.92864979032,197.071350209683
2020-09-16,3967,3824.66879917344,142.331200826559
2020-09-17,3900,3829.48980163668,70.5101983633249
2020-09-18,3913,3834.39251385589,78.607486144108
2020-09-21,3864,3839.37782165292,24.6221783470753
2020-09-22,3791,3844.4466433429,-53.4466433429046
2020-09-23,3754,3849.59990741883,-95.5999074188345
2020-09-24,3780,3854.83852028082,-74.8385202808187
2020-09-25,3762,3860.16334881202,-98.1633488120185
2020-09-28,3744,3865.57522896023,-121.575228960234
2020-09-29,3736,3871.07495609633,-135.074956096329
2020-09-30,3724,3876.66327533725,-152.663275337252
2020-10-09,3775,3882.34087596516,-107.340875965159
2020-10-12,3855,3888.10838415727,-33.1083841572655
2020-10-13,3877,3893.9663817205,-16.9663817205048
2020-10-14,3959,3899.91543677605,59.0845632239493
2020-10-15,3918,3905.95611043191,12.0438895680937
2020-10-16,3927,3912.0889882194,14.9110117806011
2020-10-19,3945,3918.31466064808,26.6853393519163
2020-10-20,3986,3924.6337243911,61.3662756088972
2020-10-21,3961,3931.04678715262,29.9532128473757
2020-10-22,3940,3937.55448200291,2.44551799709125
2020-10-23,3871,3944.15745439354,-73.1574543935396
2020-10-26,3881,3950.85635078718,-69.8563507871821
2020-10-27,3829,3957.65178740618,-128.651787406178
2020-10-28,3820,3964.54435159702,-144.544351597024
2020-10-29,3788,3971.53457752643,-183.534577526428
2020-10-30,3740,3978.62293961262,-238.622939612617
2020-11-02,3792,3985.80983640817,-193.809836408165
2020-11-03,3831,3993.09556782803,-162.095567828033
2020-11-04,3860,4000.48035367435,-140.480353674345
2020-11-05,3721,4007.96434674523,-286.964346745232
2020-11-06,3667,4015.54764177008,-348.547641770076
2020-11-09,3705,4023.23021485862,-318.230214858618
2020-11-10,3754,4031.01189804499,-277.011898044991
2020-11-11,3800,4038.89239181988,-238.892391819876
2020-11-12,3713,4046.87128216818,-333.871282168176
2020-11-13,3624,4054.94805632671,-430.948056326708
2020-11-16,3682,4063.1220635229,-381.122063522903
2020-11-17,3635,4071.39247484765,-436.392474847651
2020-11-18,3763,4079.75830385148,-316.758303851484
2020-11-19,3790,4088.21838369761,-298.218383697609
2020-11-20,3843,4096.77141661421,-253.771416614209
2020-11-23,3846,4105.415981558,-259.415981558
2020-11-24,3870,4114.15055258702,-244.150552587024
2020-11-25,3874,4122.97349652666,-248.973496526661
2020-11-26,3821,4131.88307928085,-310.883079280848
2020-11-27,3886,4140.87746383755,-254.877463837546
2020-11-30,3829,4149.95468467811,-320.954684678109
2020-12-01,3854,4159.11267092772,-305.112670927723
2020-12-02,3791,4168.34921904218,-377.349219042184
2020-12-03,3787,4177.66199935574,-390.661999355742
2020-12-04,3872,4187.0485262217,-315.048526221705
2020-12-07,4079,4196.50615250924,-117.506152509236
2020-12-08,4040,4206.03210085947,-166.032100859465
2020-12-09,4044,4215.62354534097,-171.623545340969
2020-12-10,3954,4225.27759139138,-271.277591391381
2020-12-11,4038,4234.99127350603,-196.991273506034
2020-12-14,4127,4244.761514045,-117.761514045
2020-12-15,4160,4254.58515394017,-94.5851539401731
2020-12-16,4145,4264.45898544556,-119.458985445564
2020-12-17,4225,4274.37976171733,-49.3797617173278
2020-12-18,4222,4284.34418653227,-62.3441865322728
2020-12-21,4194,4294.3489432555,-100.348943255496
2020-12-22,4222,4304.39068948151,-82.3906894815105
2020-12-23,4217,4314.46604132463,-97.4660413246263
2020-12-24,4242,4324.57158084215,-82.5715808421513
2020-12-25,4345,4334.7038498029,10.2961501971015
2020-12-28,4281,4344.8593558439,-63.8593558438998
2020-12-29,4187,4355.03461085812,-168.034610858118
2020-12-30,4237,4365.22610034168,-128.226100341677
2020-12-31,4398,4375.43024033198,22.5697596680153
2021-01-04,4503,4385.64339386288,117.356606137124
2021-01-05,4421,4395.86193329767,25.1380667023269
2021-01-06,4450,4406.08227951016,43.9177204898365
2021-01-07,4438,4416.30086376521,21.6991362347895
2021-01-08,4416,4426.5141354815,-10.5141354814962
2021-01-11,4429,4436.71855304726,-7.71855304725699
2021-01-12,4541,4446.91057050462,94.0894294953833
2021-01-13,4542,4457.08663870511,84.9133612948859
2021-01-14,4402,4467.24324739312,-65.2432473931229
2021-01-15,4434,4477.37692141276,-43.3769214127597
2021-01-18,4448,4487.48415863923,-39.484158639231
2021-01-19,4429,4497.56143901749,-68.5614390174891
2021-01-20,4480,4507.60522617129,-27.6052261712895
2021-01-21,4442,4517.61195538382,-75.6119553838226
2021-01-22,4293,4527.57805052737,-234.578050527371
2021-01-25,4369,4537.49990421937,-168.499904219367
2021-01-26,4310,4547.37381211203,-237.373812112029
2021-01-27,4433,4557.19600020655,-124.196000206545
2021-01-28,4487,4566.96259638328,-79.9625963832806
2021-01-29,4659,4576.66967718492,82.3303228150769
2021-02-01,4648,4586.31328610102,61.6867138989836
2021-02-02,4761,4595.88950065292,165.110499347077
2021-02-03,4711,4605.39442386099,105.605576139014
2021-02-04,4709,4614.8242269954,94.175773004603
2021-02-05,4646,4624.1751249796,21.8248750203976
2021-02-08,4705,4633.44337166542,71.5566283345831
2021-02-09,4624,4642.62522992647,-18.6252299264684
2021-02-10,4560,4651.71699221459,-91.716992214587
2021-02-18,4986,4660.71494328311,325.285056716895
2021-02-19,5060,4669.61532997292,390.384670027083
2021-02-22,5497,4678.4145335848,818.585466415196
2021-02-23,5416,4687.10909678895,728.890903211054
2021-02-24,5517,4695.69590062555,821.304099374449
2021-02-25,5914,4704.17212742939,1209.82787257061
2021-02-26,5976,4712.53529902924,1263.46470097076
2021-03-01,6032,4720.78343734792,1311.21656265208
2021-03-02,5648,4728.9150865739,919.084913426097
2021-03-03,5687,4736.92933289952,950.070667100483
2021-03-04,5730,4744.82564243013,985.174357569872
2021-03-05,5824,4752.60387399217,1071.39612600783
2021-03-08,5970,4760.2642936435,1209.7357063565
2021-03-09,5506,4767.80761031406,738.192389685938
2021-03-10,5423,4775.23503298952,647.764967010482
2021-03-11,5276,4782.54807579521,493.45192420479
2021-03-12,5247,4789.74852061608,457.251479383916
2021-03-15,5270,4796.83835331016,473.161646689845
2021-03-16,5240,4803.81974874519,436.180251254811
2021-03-17,5165,4810.69507737469,354.304922625314
2021-03-18,5076,4817.46688995156,258.533110048438
2021-03-19,4917,4824.13788368434,92.8621163156564
2021-03-22,5035,4830.71086264847,204.289137351528
2021-03-23,5006,4837.18866930487,168.811330695127
2021-03-24,5116,4843.57423055945,272.42576944055
2021-03-25,5031,4849.87054309798,181.129456902017
2021-03-26,4801,4856.08071621627,-55.0807162162714
2021-03-29,4730,4862.20793408129,-132.207934081292
2021-03-30,4841,4868.25535809214,-27.2553580921398
2021-03-31,4799,4874.22609499853,-75.2260949985319
2021-04-01,4860,4880.12324028378,-20.1232402837764
2021-04-02,4953,4885.94985833596,67.0501416640409
2021-04-06,4959,4891.70900522481,67.2909947751922
2021-04-07,4968,4897.40376473587,70.5962352641342
2021-04-08,4886,4903.03724847028,-17.0372484702797
2021-04-09,4778,4908.61259721061,-130.612597210608
2021-04-12,4677,4914.13294469694,-237.132944696939
2021-04-13,4689,4919.60137067948,-230.601370679483
2021-04-14,4726,4925.02085688711,-199.020856887113
2021-04-15,4850,4930.39428972746,-80.3942897274643
2021-04-16,4842,4935.72447334092,-93.7244733409194
2021-04-19,4789,4941.01417863607,-152.014178636071
2021-04-20,4692,4946.26613777958,-254.266137779576
2021-04-21,4597,4951.48302010163,-354.483020101633
2021-04-22,4622,4956.66738982889,-334.667389828891
2021-04-23,4635,4961.82166465908,-326.821664659083
2021-04-26,4575,4966.94812395187,-391.948123951871
2021-04-27,4628,4972.04891197194,-344.048911971945
2021-04-28,4685,4977.12601096842,-292.126010968417
2021-04-29,4687,4982.18126097452,-295.181260974517
2021-04-30,4692,4987.21638127022,-295.216381270223
2021-05-06,4795,4992.23296911946,-197.232969119461
2021-05-07,4926,4997.23249975558,-71.2324997555829
2021-05-10,5008,5002.2163668838,5.78363311620418
2021-05-11,4957,5007.18593476463,-50.1859347646303
2021-05-12,5225,5012.14257004931,212.857429950685
2021-05-13,5047,5017.08761864428,29.9123813557179
2021-05-14,4911,5022.02251444263,-111.022514442627
2021-05-17,4892,5026.94870370202,-134.948703702015
2021-05-18,4930,5031.86758678789,-101.867586787887
2021-05-19,4886,5036.78050828332,-150.78050828332
2021-05-20,4897,5041.68877066342,-144.688770663418
2021-05-21,4902,5046.59361407669,-144.593614076688
2021-05-24,4840,5051.49621886312,-211.496218863118
2021-05-25,4849,5056.39770559351,-207.397705593512
2021-05-26,5013,5061.29910741464,-48.2991074146389
2021-05-27,4871,5066.2013717434,-195.201371743396
2021-05-28,4932,5071.10542603177,-139.105426031773
2021-05-31,4992,5076.01211704336,-84.0121170433598
2021-06-01,5089,5080.92223404117,8.07776595883362
2021-06-02,5002,5085.83653156095,-83.8365315609517
2021-06-03,5018,5090.75576747752,-72.7557674775152
2021-06-04,5025,5095.680665011,-70.6806650109968
2021-06-07,4818,5100.61191730724,-282.611917307237
2021-06-08,4775,5105.55018829552,-330.550188295522
2021-06-09,4777,5110.49602508475,-333.496025084747
2021-06-10,4774,5115.44983814756,-341.449838147555
2021-06-11,4818,5120.41190010291,-302.411900102909
2021-06-15,4785,5125.38234242807,-340.382342428074
2021-06-16,4854,5130.36117159539,-276.361171595386
2021-06-17,4870,5135.34825337679,-265.34825337679
2021-06-18,4766,5140.34333930765,-374.343339307652
2021-06-21,4675,5145.34607123905,-470.346071239046
2021-06-22,4813,5150.35593628356,-337.35593628356
2021-06-23,4913,5155.37222713163,-242.372227131629
2021-06-24,4917,5160.3940970243,-243.394097024296
2021-06-25,4998,5165.42059901569,-167.420599015689
2021-06-28,4953,5170.4506855506,-217.450685550597
2021-06-29,4939,5175.48323986886,-236.48323986886
2021-06-30,4913,5180.51705532496,-267.517055324957
2021-07-01,4913,5185.5508275207,-272.550827520699
2021-07-02,5078,5190.58314147711,-112.583141477113
2021-07-05,5144,5195.61246955367,-51.6124695536662
