"LCPTDate","LCPTClose","LCPT_hpft","LCPT_hpfc"
2014-10-08,6645.5,6673.7364474044,-28.2364474044043
2014-10-09,6702,6667.66600452916,34.3339954708409
2014-10-10,6705,6661.52541958387,43.4745804161338
2014-10-13,6737,6655.31568511079,81.6843148892135
2014-10-14,6797.5,6649.037811623,148.462188377
2014-10-15,6620,6642.69284339846,-22.692843398463
2014-10-16,6587.8,6636.2818860836,-48.4818860836008
2014-10-17,6629.5,6629.80603594434,-0.306035944338312
2014-10-20,6589.2,6623.26636920613,-34.066369206129
2014-10-21,6663,6616.66396196823,46.3360380317695
2014-10-22,6633.2,6609.99987624802,23.2001237519824
2014-10-23,6670,6603.27519321619,66.7248067838084
2014-10-24,6684.5,6596.49100363357,88.0089963664312
2014-10-27,6730,6589.64842584241,140.351574157592
2014-10-28,6790,6582.7486145642,207.251385435796
2014-10-29,6761.2,6575.79278253628,185.407217463716
2014-10-30,6742,6568.78222816527,173.217771834732
2014-10-31,6711,6561.7183264977,149.281673502301
2014-11-03,6735,6554.60252418141,180.397475818592
2014-11-04,6648,6547.43632957116,100.563670428843
2014-11-05,6628,6540.22132559088,87.7786744091225
2014-11-06,6642,6532.95913673337,109.040863266635
2014-11-07,6697.2,6525.65142377571,171.548576224287
2014-11-10,6669,6518.29989256825,150.700107431749
2014-11-11,6689,6510.9063198722,178.093680127797
2014-11-12,6678.8,6503.47254474242,175.327455257581
2014-11-13,6607,6496.00047985047,110.999520149527
2014-11-14,6706.8,6488.49211034129,218.307889658711
2014-11-17,6700,6480.94946724249,219.050532757515
2014-11-18,6627.5,6473.37467182138,154.125328178623
2014-11-19,6682.5,6465.76993589202,216.73006410798
2014-11-20,6657.8,6458.13753497764,199.662465022365
2014-11-21,6700.5,6450.47983418893,250.020165811069
2014-11-24,6656,6442.79928116915,213.200718830849
2014-11-25,6591.5,6435.09842690965,156.401573090346
2014-11-26,6576.2,6427.37991053049,148.820089469514
2014-11-27,6547.8,6419.64643580182,128.153564198182
2014-11-28,6348,6411.90076801008,-63.9007680100826
2014-12-01,6450,6404.14572541519,45.8542745848074
2014-12-02,6418,6396.38409986307,21.6159001369271
2014-12-03,6377.5,6388.61870215396,-11.1187021539591
2014-12-04,6470.5,6380.85235202325,89.6476479767527
2014-12-05,6438.5,6373.08786461029,65.4121353897068
2014-12-08,6399.8,6365.32809211119,34.4719078888075
2014-12-09,6467.5,6357.57591376079,109.924086239213
2014-12-10,6417,6349.83422304321,67.1657769567921
2014-12-11,6453,6342.1059588808,110.8940411192
2014-12-12,6490,6334.39408795956,155.60591204044
2014-12-15,6370,6326.70162280455,43.2983771954504
2014-12-16,6345,6319.03164026217,25.9683597378342
2014-12-17,6368,6311.38723507647,56.6127649235301
2014-12-18,6311.8,6303.77151272594,8.02848727405694
2014-12-19,6390,6296.18760209037,93.8123979096259
2014-12-22,6360.5,6288.63863536831,71.8613646316868
2014-12-23,6338.8,6281.12778353652,57.6722164634797
2014-12-24,6312.2,6273.65824727643,38.5417527235702
2014-12-29,6255,6266.23325110877,-11.2332511087742
2014-12-30,6316,6258.85603548599,57.1439645140069
2014-12-31,6284.2,6251.529836217,32.6701637830022
2015-01-02,6250.2,6244.25791273181,5.94208726819243
2015-01-05,6142,6237.04353796497,-95.0435379649681
2015-01-06,6132,6229.88998730725,-97.8899873072518
2015-01-07,6126.8,6222.80049686228,-96.0004968622767
2015-01-08,6123.8,6215.77826226986,-91.9782622698641
2015-01-09,6104.5,6208.826439487,-104.326439486996
2015-01-12,6031.8,6201.94814645041,-170.148146450412
2015-01-13,5774.8,6195.1464579729,-420.3464579729
2015-01-14,5510,6188.4243785348,-678.424378534802
2015-01-15,5653.5,6181.78473886186,-528.284738861863
2015-01-16,5778.2,6175.23008924661,-397.030089246606
2015-01-19,5670,6168.76276160987,-498.762761609865
2015-01-20,5713,6162.38492375609,-449.384923756095
2015-01-21,5736.5,6156.09853732139,-419.59853732139
2015-01-22,5679.5,6149.90537818444,-470.405378184438
2015-01-23,5521,6143.80704877819,-622.807048778188
2015-01-26,5616,6137.80495708947,-521.804957089469
2015-01-27,5434,6131.90025366143,-697.900253661428
2015-01-28,5460,6126.09387334408,-666.093873344082
2015-01-29,5427.5,6120.38646250356,-692.886462503563
2015-01-30,5494,6114.77839216969,-620.778392169689
2015-02-02,5487,6109.26974696066,-622.269746960658
2015-02-03,5700,6103.86035488998,-403.86035488998
2015-02-04,5707,6098.54978675,-391.549786750003
2015-02-05,5717.5,6093.33744639306,-375.837446393061
2015-02-06,5675,6088.2225758209,-413.222575820896
2015-02-09,5684.5,6083.20426167889,-398.704261678888
2015-02-10,5618,6078.28141980316,-460.281419803157
2015-02-11,5596.5,6073.45280122108,-476.952801221076
2015-02-12,5716.5,6068.71696669858,-352.216966698584
2015-02-13,5715,6064.07227984852,-349.072279848521
2015-02-16,5749.5,6059.51695869099,-310.016958690988
2015-02-17,5686,6055.04907695396,-369.049076953965
2015-02-18,5726.5,6050.66658021686,-324.166580216855
2015-02-19,5752,6046.36726150911,-294.36726150911
2015-02-20,5699.5,6042.14877986254,-342.648779862544
2015-02-23,5680.5,6038.00867262937,-357.508672629367
2015-02-24,5783.5,6033.94433552463,-250.444335524632
2015-02-25,5803.5,6029.95301648385,-226.453016483851
2015-02-26,5904.5,6026.03185991867,-121.531859918669
2015-02-27,5896,6022.17791663435,-126.177916634354
2015-03-02,5917.5,6018.38818719965,-100.888187199652
2015-03-03,5835.5,6014.65962002653,-179.159620026533
2015-03-04,5835,6010.98912182366,-175.989121823661
2015-03-05,5819,6007.37352524262,-188.373525242619
2015-03-06,5733.5,6003.80959018792,-270.309590187917
2015-03-09,5851,6000.29399869816,-149.29399869816
2015-03-10,5760,5996.82332107672,-236.823321076716
2015-03-11,5725.5,5993.39406591491,-267.894065914909
2015-03-12,5843.5,5990.00264391084,-146.502643910838
2015-03-13,5857.5,5986.64535502586,-129.145355025863
2015-03-16,5858,5983.31843866313,-125.318438663133
2015-03-17,5800,5980.01808084225,-180.01808084225
2015-03-18,5713,5976.74041578128,-263.74041578128
2015-03-19,5840,5973.48150328599,-133.481503285985
2015-03-20,6040.5,5970.23729414247,70.2627058575328
2015-03-23,6150,5967.00368396095,182.996316039047
2015-03-24,6132,5963.77659739545,168.223402604548
2015-03-25,6137,5960.55203474328,176.447965256725
2015-03-26,6152.5,5957.32606583853,195.173934161472
2015-03-27,6061.5,5954.09483345181,107.405166548191
2015-03-30,6094,5950.85456103077,143.145438969232
2015-03-31,6019.5,5947.60151642004,71.8984835799559
2015-04-01,6035,5944.33202663485,90.6679733651457
2015-04-02,5985,5941.04244841029,43.9575515897065
2015-04-07,6055,5937.72917596008,117.270824039924
2015-04-08,6005,5934.38862166805,70.6113783319483
2015-04-09,5995.5,5931.01724639319,64.4827536068085
2015-04-10,6020,5927.61154018242,92.3884598175785
2015-04-13,5984,5924.16801973717,59.831980262834
2015-04-14,5945,5920.68323994855,24.3167600514476
2015-04-15,5962,5917.15378043978,44.8462195602208
2015-04-16,6087.5,5913.57623088574,173.923769114257
2015-04-17,6086,5909.94719949888,176.052800501121
2015-04-20,5992,5906.26336638472,85.7366336152832
2015-04-21,5933,5902.52148442198,30.4785155780241
2015-04-22,5914,5898.71834192928,15.2816580707169
2015-04-23,5959.5,5894.85073982414,64.6492601758563
2015-04-24,6025.5,5890.91548534082,134.584514659183
2015-04-27,6096,5886.90941243673,209.090587563272
2015-04-28,6127,5882.82941070133,244.170589298672
2015-04-29,6133.5,5878.67245615332,254.827543846682
2015-04-30,6315.5,5874.43562574252,441.064374257482
2015-05-01,6424.5,5870.11610175371,554.38389824629
2015-05-05,6429,5865.71124879002,563.288751209983
2015-05-06,6415,5861.21866061454,553.781339385461
2015-05-07,6385,5856.63616383128,528.363836168724
2015-05-08,6391.5,5851.96181395518,539.538186044819
2015-05-11,6380,5847.19388490549,532.80611509451
2015-05-12,6421,5842.33087362499,578.669126375011
2015-05-13,6425,5837.37149729708,587.628502702918
2015-05-14,6398,5832.31471230362,565.685287696383
2015-05-15,6411.5,5827.15971792826,584.340282071736
2015-05-18,6376,5821.90594728662,554.094052713378
2015-05-19,6225,5816.553075037,408.446924963004
2015-05-20,6216,5811.10100487769,404.898995122306
2015-05-21,6264.5,5805.54980934262,458.950190657385
2015-05-22,6182,5799.89972833459,382.100271665413
2015-05-26,6117.5,5794.15119146821,323.348808531787
2015-05-27,6098,5788.3047863028,309.695213697196
2015-05-28,6108,5782.36123405711,325.63876594289
2015-05-29,6018,5776.3213839655,241.678616034495
2015-06-01,6002.5,5770.18621986807,232.313780131928
2015-06-02,6040.5,5763.95682550521,276.543174494794
2015-06-03,6003.5,5757.63438064668,245.865619353318
2015-06-04,5920.5,5751.22017937404,169.279820625962
2015-06-05,5941.5,5744.71561739973,196.78438260027
2015-06-08,5959,5738.12216040954,220.877839590458
2015-06-09,5967,5731.4413554324,235.558644567604
2015-06-10,6030.5,5724.67484079876,305.825159201241
2015-06-11,5888.5,5717.82435220977,170.675647790226
2015-06-12,5915,5710.89175178244,204.108248217559
2015-06-15,5828,5703.87897218439,124.121027815608
2015-06-16,5750,5696.78803045307,53.2119695469264
2015-06-17,5746.5,5689.62099493267,56.8790050673311
2015-06-18,5748,5682.37995596299,65.6200440370091
2015-06-19,5666.5,5675.06702739547,-8.56702739546726
2015-06-22,5655.5,5667.6843502062,-12.1843502062047
2015-06-23,5752,5660.23406183006,91.7659381699414
2015-06-24,5769.5,5652.71829466532,116.781705334681
2015-06-25,5760,5645.13921904263,114.860780957369
2015-06-26,5792.5,5637.49905356543,155.000946434569
2015-06-29,5797.5,5629.8000643161,167.699935683899
2015-06-30,5761.5,5622.04458144813,139.45541855187
2015-07-01,5783,5614.23500443543,168.764995564569
2015-07-02,5787.5,5606.37379039723,181.126209602772
2015-07-03,5751,5598.46346621327,152.536533786734
2015-07-06,5570,5590.50663363368,-20.5066336336832
2015-07-07,5385,5582.50595746103,-197.505957461029
2015-07-08,5492,5574.46409402126,-82.464094021265
2015-07-09,5614.5,5566.38361799939,48.1163820006082
2015-07-10,5582.5,5558.26706999302,24.2329300069791
2015-07-13,5585,5550.1170104891,34.8829895108991
2015-07-14,5585,5541.93600999155,43.0639900084528
2015-07-15,5543,5533.72665342349,9.27334657651508
2015-07-16,5545.5,5525.49154350895,20.0084564910549
2015-07-17,5481.5,5517.23328680528,-35.7332868052782
2015-07-20,5460,5508.9544981404,-48.9544981403979
2015-07-21,5453.5,5500.6577775716,-47.1577775715957
2015-07-22,5356.5,5492.34570492031,-135.845704920309
2015-07-23,5256,5484.02084051485,-228.02084051485
2015-07-24,5268,5475.68568853039,-207.685688530391
2015-07-27,5196.5,5467.34265888746,-270.842658887459
2015-07-28,5308,5458.99407565767,-150.99407565767
2015-07-29,5326.5,5450.64215095715,-124.142150957152
2015-07-30,5258.5,5442.28903448717,-183.78903448717
2015-07-31,5224,5433.93682463362,-209.936824633617
2015-08-03,5191.5,5425.58754381139,-234.087543811388
2015-08-04,5222.5,5417.24312765593,-194.743127655931
2015-08-05,5191,5408.90541504032,-217.90541504032
2015-08-06,5184.5,5400.57616433867,-216.076164338667
2015-08-07,5156.5,5392.25704385171,-235.757043851712
2015-08-10,5298.5,5383.94963256303,-85.4496325630276
2015-08-11,5148,5375.6554120037,-227.655412003704
2015-08-12,5185,5367.37582838336,-182.37582838336
2015-08-13,5177,5359.11223380808,-182.112233808078
2015-08-14,5170,5350.86590499703,-180.865904997034
2015-08-17,5115,5342.63804339159,-227.638043391587
2015-08-18,5015.5,5334.42977567037,-318.929775670369
2015-08-19,5005,5326.2421344156,-321.2421344156
2015-08-20,5090.5,5318.07602037684,-227.576020376842
2015-08-21,5063,5309.93220151492,-246.932201514923
2015-08-24,4950,5301.81135172,-351.811351719999
2015-08-25,5059,5293.71404281039,-234.714042810393
2015-08-26,4920,5285.64070117968,-365.640701179682
2015-08-27,5120,5277.59165620019,-157.59165620019
2015-08-28,5148.5,5269.56708610299,-121.067086102995
2015-09-01,5068,5261.56710397714,-193.567103977138
2015-09-02,5114.5,5253.59177286745,-139.091772867448
2015-09-03,5221,5245.64107580586,-24.6410758058595
2015-09-04,5109,5237.71493832935,-128.714938329347
2015-09-07,5135.5,5229.81327578928,-94.3132757892798
2015-09-08,5352.5,5221.93595033147,130.564049668529
2015-09-09,5355,5214.08278511637,140.917214883634
2015-09-10,5390,5206.25365727437,183.746342725631
2015-09-11,5382.5,5198.44850218539,184.051497814615
2015-09-14,5293,5190.66733118264,102.332668817365
2015-09-15,5333.5,5182.91023167887,150.58976832113
2015-09-16,5390,5175.17733338705,214.822666612951
2015-09-17,5397.5,5167.46882826788,230.031171732117
2015-09-18,5233,5159.78499708118,73.2150029188204
2015-09-21,5254,5152.12621567227,101.87378432773
2015-09-22,5075,5144.49289015072,-69.4928901507208
