"FU0Date","FU0Close","FU0_hpft","FU0_hpfc"
2012-06-19,4701,5016.32507784939,-315.325077849392
2012-06-20,4712,5012.7255028718,-300.725502871802
2012-06-21,4621,5009.1869223945,-388.186922394497
2012-06-25,4621,5005.71153153494,-384.711531534937
2012-06-26,4629,5002.30136494954,-373.301364949537
2012-06-27,4611,4998.95829827046,-387.958298270458
2012-06-28,4637,4995.68405282223,-358.684052822229
2012-06-29,4628,4992.48018956286,-364.480189562864
2012-07-02,4683,4989.34812118467,-306.348121184674
2012-07-03,4700,4986.28910971874,-286.289109718744
2012-07-04,4710,4983.30429056414,-273.304290564136
2012-07-05,4709,4980.39468077971,-271.394680779707
2012-07-06,4709,4977.56118445101,-268.561184451013
2012-07-09,4745,4974.80459347997,-229.804593479967
2012-07-10,4720,4972.12558875607,-252.125588756066
2012-07-11,4704,4969.52475617719,-265.524756177188
2012-07-12,4699,4967.00257742215,-268.002577422151
2012-07-13,4689,4964.55942441295,-275.559424412947
2012-07-16,4704,4962.19555828972,-258.195558289717
2012-07-17,4745,4959.91112628766,-214.911126287662
2012-07-18,4749,4957.70616891403,-208.706168914031
2012-07-19,4782,4955.58063784084,-173.580637840835
2012-07-20,4809,4953.5343984691,-144.534398469102
2012-07-23,4781,4951.5672444487,-170.567244448705
2012-07-24,4795,4949.67890968477,-154.678909684765
2012-07-25,4792,4947.86905757674,-155.869057576739
2012-07-26,4799,4946.13728758612,-147.137287586116
2012-07-27,4795,4944.48313474432,-149.483134744323
2012-07-30,4786,4942.90607326216,-156.906073262159
2012-07-31,4792,4941.4055155601,-149.405515560102
2012-08-01,4800,4939.98080920006,-139.980809200058
2012-08-02,4815,4938.63123998571,-123.631239985706
2012-08-03,4800,4937.35603585805,-137.356035858054
2012-08-06,4821,4936.15437365421,-115.154373654212
2012-08-07,4964,4935.02537343355,28.9746265664455
2012-08-08,4933,4933.96810765541,-0.968107655410932
2012-08-09,4926,4932.98166075607,-6.98166075607283
2012-08-10,4910,4932.06511677188,-22.0651167718772
2012-08-13,4910,4931.21755685269,-21.2175568526947
2012-08-14,4979,4930.43805302797,48.5619469720332
2012-08-15,4998,4929.72566855642,68.274331443585
2012-08-16,4920,4929.07948677057,-9.07948677057338
2012-08-17,4949,4928.49861922455,20.5013807754524
2012-08-20,4921,4927.98217371964,-6.98217371964045
2012-08-21,4926,4927.52926653141,-1.52926653141217
2012-08-22,4929,4927.13901104944,1.86098895056404
2012-08-23,4935,4926.81052003093,8.18947996907058
2012-08-24,4949,4926.54290700246,22.4570929975445
2012-08-27,4976,4926.33528887584,49.6647111241588
2012-08-28,4924,4926.18679184566,-2.18679184566497
2012-08-29,4920,4926.09656263595,-6.0965626359498
2012-08-30,4916,4926.0637470669,-10.0637470669011
2012-08-31,4888,4926.08748843846,-38.087488438459
2012-09-03,4948,4926.16692589081,21.8330741091911
2012-09-04,4950,4926.30118282017,23.6988171798296
2012-09-05,4900,4926.48939164763,-26.4893916476268
2012-09-06,4907,4926.73069459055,-19.7306945905536
2012-09-07,4921,4927.02422291658,-6.02422291657589
2012-09-10,4896,4927.36909973751,-31.3690997375099
2012-09-11,4936,4927.76444567492,8.23555432508183
2012-09-12,5016,4928.20936838367,87.7906316163276
2012-09-13,5029,4928.70297892289,100.297021077111
2012-09-14,5036,4929.24442464077,106.75557535923
2012-09-17,5030,4929.83289434444,100.167105655558
2012-09-18,4999,4930.46762096925,68.5323790307513
2012-09-19,5001,4931.14787885578,69.8521211442158
2012-09-20,4951,4931.87297067308,19.1270293269227
2012-09-21,4931,4932.64222796424,-1.64222796423585
2012-09-24,4925,4933.4549901787,-8.45499017869606
2012-09-25,4913,4934.3105960871,-21.3105960870978
2012-09-26,4922,4935.20838096512,-13.2083809651157
2012-09-27,4901,4936.14767127946,-35.1476712794621
2012-09-28,4941,4937.12778803697,3.87221196302852
2012-10-08,4900,4938.14803771599,-38.1480377159892
2012-10-09,4915,4939.20772839536,-24.2077283953639
2012-10-10,4944,4940.30615238515,3.69384761485092
2012-10-11,4953,4941.44259198887,11.5574080111323
2012-10-12,4955,4942.61633103693,12.3836689630681
2012-10-15,4930,4943.82665813705,-13.8266581370539
2012-10-16,4969,4945.07286701596,23.9271329840419
2012-10-17,4950,4946.35424568499,3.64575431501315
2012-10-18,4947,4947.67009204595,-0.670092045954451
2012-10-19,4939,4949.01970550763,-10.0197055076336
2012-10-22,4909,4950.40238520187,-41.4023852018667
2012-10-23,4917,4951.81742611878,-34.8174261187777
2012-10-24,4901,4953.2641061344,-52.2641061343967
2012-10-25,4927,4954.74168873262,-27.7416887326224
2012-10-26,4899,4956.24941579341,-57.2494157934106
2012-10-29,4900,4957.78651772954,-57.7865177295425
2012-10-30,4902,4959.35220128907,-57.3522012890746
2012-10-31,4914,4960.9456493335,-46.945649333498
2012-11-01,4897,4962.56602101722,-65.5660210172166
2012-11-02,4897,4964.21245608915,-67.2124560891507
2012-11-05,4877,4965.88406719593,-88.884067195926
2012-11-06,4897,4967.57993920118,-70.5799392011792
2012-11-07,4960,4969.29912022747,-9.29912022747255
2012-11-08,4950,4971.04062922244,-21.0406292224393
2012-11-09,4950,4972.8034812899,-22.803481289905
2012-11-12,4937,4974.58668283627,-37.5866828362704
2012-11-13,4939,4976.38923084194,-37.3892308419367
2012-11-14,4945,4978.21010675043,-33.2101067504314
2012-11-15,4939,4980.04827655008,-41.048276550085
2012-11-16,4925,4981.90269250154,-56.9026925015398
2012-11-19,5015,4983.77228989773,31.2277101022705
2012-11-20,4993,4985.65598051029,7.3440194897092
2012-11-21,4964,4987.55268901913,-23.5526890191322
2012-11-22,4952,4989.4613431399,-37.4613431399033
2012-11-23,4946,4991.38086085249,-45.3808608524896
2012-11-26,4980,4993.31014465181,-13.310144651806
2012-11-27,4950,4995.24807827411,-45.2480782741099
2012-11-28,4954,4997.19353995379,-43.1935399537914
2012-11-29,4900,4999.14538922151,-99.1453892215106
2012-11-30,4949,5001.10246775346,-52.1024677534554
2012-12-03,4998,5003.06357624308,-5.0635762430798
2012-12-04,5010,5005.02749384679,4.97250615321253
2012-12-05,4970,5006.9929976279,-36.9929976278966
2012-12-06,5003,5008.95886670516,-5.9588667051608
2012-12-07,5006,5010.92386490592,-4.92386490591961
2012-12-10,5007,5012.88675359435,-5.88675359434851
2012-12-11,4952,5014.84629209931,-62.8462920993085
2012-12-12,4962,5016.8012373163,-54.8012373163013
2012-12-13,4912,5018.75032016271,-106.75032016271
2012-12-14,4956,5020.69224890327,-64.6922489032723
2012-12-17,4991,5022.62568767645,-31.6256876764517
2012-12-18,5002,5024.54927387954,-22.5492738795385
2012-12-19,5020,5026.46163183702,-6.46163183701547
2012-12-20,5020,5028.36137655243,-8.36137655242586
2012-12-21,5043,5030.24712035833,12.7528796416731
2012-12-24,5111,5032.117472131,78.8825278690017
