"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2011-03-01,39365,36308.8764285616,3056.12357143844
2011-03-02,38860,36305.0459622728,2554.95403772723
2011-03-03,38460,36299.6629863847,2160.33701361525
2011-03-04,38030,36292.7634910097,1737.23650899034
2011-03-07,38675,36284.3843592637,2390.61564073627
2011-03-08,36205,36274.5631923613,-69.5631923613433
2011-03-09,36370,36263.3385796998,106.661420300159
2011-03-10,36190,36250.7490819264,-60.7490819263916
2011-03-11,35195,36236.8333037732,-1041.8333037732
2011-03-14,33480,36221.6298248637,-2741.62982486367
2011-03-15,33155,36205.1767941673,-3050.17679416727
2011-03-16,34245,36187.5112273812,-1942.51122738124
2011-03-17,34220,36168.6688793727,-1948.66887937266
2011-03-18,34970,36148.6847020587,-1178.68470205867
2011-03-21,35125,36127.5928418511,-1002.59284185109
2011-03-22,35485,36105.4269579444,-620.426957944386
2011-03-23,36165,36082.2202950989,82.7797049011366
2011-03-24,35880,36058.0058416171,-178.005841617131
2011-03-25,35555,36032.8166200189,-477.816620018942
2011-03-28,34150,36006.6855792421,-1856.68557924206
2011-03-29,34315,35979.6454707191,-1664.64547071908
2011-03-30,35100,35951.7282783975,-851.728278397526
2011-03-31,34895,35922.9652981305,-1027.96529813052
2011-04-01,34635,35893.3874737001,-1258.38747370006
2011-04-06,35940,35863.0253239674,76.9746760326058
2011-04-07,35790,35831.9088476302,-41.9088476301624
2011-04-08,36680,35800.0680752023,879.931924797715
2011-04-11,37065,35767.5330198742,1297.46698012576
2011-04-12,36455,35734.3340585656,720.665941434436
2011-04-13,36555,35700.5021045163,854.497895483702
2011-04-14,35670,35666.068368859,3.93163114095927
2011-04-15,35295,35631.0644159443,-336.064415944298
2011-04-18,34960,35595.5218117456,-635.521811745647
2011-04-19,33870,35559.4719833222,-1689.47198332224
2011-04-20,34875,35522.9460950335,-647.946095033454
2011-04-21,34510,35485.9746128804,-975.974612880418
2011-04-22,34780,35448.5877350276,-668.587735027624
2011-04-25,33270,35410.8152562114,-2140.81525621137
2011-04-26,32900,35372.6866948003,-2472.6866948003
2011-04-27,32160,35334.2306842371,-3174.23068423714
2011-04-28,32730,35295.4748358551,-2565.47483585509
2011-04-29,31860,35256.4454488875,-3396.44544888754
2011-05-03,31760,35217.1677621042,-3457.16776210419
2011-05-04,31145,35177.6656103203,-4032.66561032034
2011-05-05,30380,35137.9613992978,-4757.96139929777
2011-05-06,30290,35098.0758678556,-4808.07586785561
2011-05-09,30955,35058.0277880638,-4103.02778806376
2011-05-10,31480,35017.8339445262,-3537.83394452617
2011-05-11,31130,34977.5094258211,-3847.50942582108
2011-05-12,29745,34937.0678581277,-5192.06785812765
