"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2020-03-26,11640,13063.2896303742,-1423.28963037421
2020-03-27,11740,13060.1653326293,-1320.16533262933
2020-03-30,11515,13057.4266311798,-1542.42663117975
2020-03-31,11570,13055.0792142051,-1485.07921420507
2020-04-01,11460,13053.1281323067,-1593.12813230673
2020-04-02,11475,13051.5778222149,-1576.57782221487
2020-04-03,11545,13050.4320621246,-1505.43206212458
2020-04-07,11620,13049.6939785369,-1429.69397853687
2020-04-08,11620,13049.3660756677,-1429.36607566765
2020-04-09,11655,13049.4502667542,-1394.45026675424
2020-04-10,11845,13049.9478741918,-1204.94787419177
2020-04-13,11755,13050.8596439666,-1295.85964396662
2020-04-14,11770,13052.185823987,-1282.18582398702
2020-04-15,11950,13053.9261265058,-1103.92612650579
2020-04-16,12085,13056.079733771,-971.07973377103
2020-04-17,12410,13058.6453717133,-648.64537171326
2020-04-20,12340,13061.6213648557,-721.621364855665
2020-04-21,12105,13065.005769599,-960.005769598958
2020-04-22,12195,13068.7963440548,-873.796344054813
2020-04-23,12245,13072.9904495068,-827.990449506831
2020-04-24,12285,13077.5850860463,-792.585086046347
2020-04-27,12410,13082.5769115065,-672.576911506506
2020-04-28,12485,13087.9622560977,-602.962256097739
2020-04-29,12585,13093.7371720139,-508.737172013924
2020-04-30,12660,13099.8974622088,-439.897462208825
2020-05-06,12585,13106.4387193452,-521.438719345161
2020-05-07,12460,13113.3563542484,-653.356354248449
2020-05-08,12430,13120.6455622041,-690.645562204064
2020-05-11,12535,13128.3012684252,-593.301268425157
2020-05-12,12415,13136.3181126406,-721.318112640569
2020-05-13,12495,13144.6904893312,-649.690489331225
2020-05-14,12530,13153.4124948138,-623.412494813799
2020-05-15,12600,13162.4779568513,-562.477956851267
2020-05-18,12760,13171.8804455115,-411.880445511541
2020-05-19,12850,13181.6132983561,-331.613298356117
2020-05-20,12875,13191.6696826924,-316.669682692358
2020-05-21,12775,13202.0426287518,-427.04262875183
2020-05-22,12790,13212.7250358677,-422.725035867704
2020-05-25,12840,13223.7096268511,-383.709626851104
2020-05-26,12940,13234.9889497753,-294.98894977532
2020-05-27,13015,13246.5553941041,-231.555394104071
2020-05-28,13155,13258.4012273637,-103.401227363666
2020-05-29,13215,13270.5186213657,-55.5186213657365
2020-06-01,13160,13282.8997051789,-122.899705178925
2020-06-02,13025,13295.5365849228,-270.536584922828
2020-06-03,13150,13308.4213159163,-158.421315916317
2020-06-04,13165,13321.5458416482,-156.545841648209
