"L0Date","L0Close","L0_hpft","L0_hpfc"
2017-08-11,9555,9481.34961714882,73.6503828511796
2017-08-14,9545,9486.42351012324,58.5764898767576
2017-08-15,9450,9491.47568773185,-41.475687731855
2017-08-16,9455,9496.50179444618,-41.5017944461805
2017-08-17,9675,9501.49745759339,173.502542406606
2017-08-18,9735,9506.45828734543,228.541712654565
2017-08-21,9805,9511.37996559319,293.620034406814
2017-08-22,10040,9516.25826869759,523.741731302411
2017-08-23,9945,9521.08909439024,423.910905609763
2017-08-24,9940,9525.8685568966,414.131443103403
2017-08-25,9955,9530.59294566966,424.407054330338
2017-08-28,9955,9535.25872134778,419.741278652218
2017-08-29,10060,9539.86252000223,520.137479997765
2017-08-30,10065,9544.40115120842,520.598848791584
2017-08-31,10175,9548.8716395454,626.128360454597
2017-09-01,10360,9553.2712247874,806.728775212596
2017-09-04,10395,9557.59740552455,837.402594475451
2017-09-05,10440,9561.84801381618,878.151986183819
2017-09-06,10285,9566.02122787038,718.978772129616
2017-09-07,10160,9570.11558888783,589.884411112167
2017-09-08,10075,9574.12993526598,500.870064734018
2017-09-11,10020,9578.06334923713,441.936650762872
2017-09-12,10180,9581.91512007279,598.084879927214
2017-09-13,9935,9585.68471972364,349.315280276358
2017-09-14,9765,9589.37186736445,175.628132635555
2017-09-15,9750,9592.97642656262,157.023573437377
2017-09-18,9790,9596.4983334835,193.501666516504
2017-09-19,9670,9599.93758919949,70.0624108005146
2017-09-20,9730,9603.294274769,126.705725231002
2017-09-21,9520,9606.5685002114,-86.5685002113951
2017-09-22,9540,9609.76042792084,-69.7604279208377
2017-09-25,9590,9612.87018450774,-22.8701845077406
2017-09-26,9670,9615.89786774637,54.102132253634
2017-09-27,9665,9618.84356595722,46.1564340427795
2017-09-28,9450,9621.70738982447,-171.707389824475
2017-09-29,9510,9624.48946911183,-114.489469111831
2017-10-09,9515,9627.18986260576,-112.189862605762
2017-10-10,9455,9629.80858176732,-174.808581767323
2017-10-11,9365,9632.34559168297,-267.345591682967
2017-10-12,9530,9634.80078518042,-104.800785180421
2017-10-13,9720,9637.17394457733,82.8260554226647
2017-10-16,9795,9639.46480887086,155.535191129139
2017-10-17,9845,9641.67315129519,203.32684870481
2017-10-18,9860,9643.79880937644,216.201190623563
2017-10-19,9690,9645.84170468811,44.1582953118941
2017-10-20,9940,9647.80184817233,292.19815182767
2017-10-23,9850,9649.67926902454,200.320730975464
2017-10-24,9835,9651.47411722301,183.525882776994
2017-10-25,9885,9653.18662555088,231.813374449114
2017-10-26,9760,9654.81710265344,105.182897346559
2017-10-27,9610,9656.36595299802,-46.3659529980241
2017-10-30,9595,9657.8336245307,-62.8336245306995
2017-10-31,9510,9659.22054603155,-149.220546031555
2017-11-01,9485,9660.52712030753,-175.527120307528
2017-11-02,9645,9661.75368848426,-16.7536884842638
2017-11-03,9715,9662.90051913116,52.0994808688355
2017-11-06,9870,9663.96787389263,206.032126107365
2017-11-07,9885,9664.95603594873,220.043964051271
2017-11-08,9850,9665.86537364485,184.13462635515
2017-11-09,9915,9666.6963462838,248.303653716198
2017-11-10,9810,9667.4494892823,142.550510717698
2017-11-13,9845,9668.12544069579,176.874559304215
2017-11-14,9805,9668.7248975043,136.275102495701
2017-11-15,9660,9669.24862980043,-9.24862980043404
2017-11-16,9555,9669.69746400798,-114.69746400798
2017-11-17,9620,9670.0722227276,-50.0722227276031
2017-11-20,9705,9670.3736811484,34.6263188516033
2017-11-21,9780,9670.60259376175,109.397406238253
2017-11-22,9825,9670.75972937202,154.240270627978
2017-11-23,9725,9670.84590200446,54.1540979955403
2017-11-24,9780,9670.8619894405,109.1380105595
2017-11-27,9530,9670.80889184693,-140.808891846934
2017-11-28,9510,9670.68755450394,-160.687554503937
2017-11-29,9435,9670.49886448692,-235.498864486916
2017-11-30,9305,9670.24364244949,-365.243642449485
2017-12-01,9390,9669.92261169932,-279.922611699321
2017-12-04,9575,9669.53634456732,-94.5363445673193
2017-12-05,9520,9669.08529767556,-149.085297675559
2017-12-06,9510,9668.56988856839,-158.569888568385
2017-12-07,9355,9667.99047316456,-312.990473164557
2017-12-08,9465,9667.34734183624,-202.347341836245
2017-12-11,9455,9666.64065557809,-211.640655578093
2017-12-12,9570,9665.87049174236,-95.8704917423642
2017-12-13,9455,9665.03684019766,-210.036840197661
2017-12-14,9415,9664.13965118342,-249.139651183421
2017-12-15,9370,9663.1787881185,-293.178788118497
2017-12-18,9460,9662.15401143741,-202.154011437409
2017-12-19,9640,9661.06496038623,-21.0649603862318
2017-12-20,9670,9659.91119064874,10.0888093512602
2017-12-21,9675,9658.69224920132,16.3077507986809
2017-12-22,9620,9657.40768719077,-37.4076871907659
2017-12-25,9530,9656.05706250483,-126.057062504827
2017-12-26,9795,9654.63991756814,140.360082431862
2017-12-27,9745,9653.15574269876,91.8442573012417
2017-12-28,9760,9651.60408623364,108.395913766358
2017-12-29,9800,9649.98453447476,150.015465525241
2018-01-02,9955,9648.29671853047,306.703281469528
2018-01-03,9975,9646.54033151953,328.459668480465
2018-01-04,9990,9644.71519333943,345.284806660569
2018-01-05,9975,9642.82125965968,332.178740340317
2018-01-08,9960,9640.85862887666,319.141371123336
2018-01-09,9930,9638.82753669622,291.172463303778
2018-01-10,10020,9636.7283507442,383.271649255796
2018-01-11,10085,9634.56155900556,450.438440994438
2018-01-12,10150,9632.32780789439,517.672192105613
2018-01-15,10115,9630.02793001776,484.972069982238
2018-01-16,9875,9627.66297196776,247.337028032235
2018-01-17,9820,9625.23418080432,194.765819195681
2018-01-18,9825,9622.74290582668,202.257094173317
2018-01-19,9865,9620.19057684237,244.809423157628
2018-01-22,9890,9617.57870726378,272.421292736223
2018-01-23,9965,9614.90891169769,350.091088302307
2018-01-24,9890,9612.18291735912,277.817082640878
2018-01-25,9945,9609.40259617645,335.597403823555
2018-01-26,10010,9606.56993491647,403.430065083531
2018-01-29,9965,9603.68705906848,361.312940931517
2018-01-30,9840,9600.75626088365,239.243739116351
2018-01-31,9795,9597.7799819652,197.2200180348
2018-02-01,9720,9594.7607628102,125.239237189801
2018-02-02,9660,9591.70122543856,68.298774561442
2018-02-05,9715,9588.60404363895,126.395956361052
2018-02-06,9610,9585.47191943215,24.5280805678508
2018-02-07,9585,9582.30760708587,2.69239291412808
2018-02-08,9555,9579.1138710067,-24.1138710067013
2018-02-09,9510,9575.89347671426,-65.8934767142565
2018-02-12,9440,9572.64917976043,-132.649179760433
2018-02-13,9420,9569.38370845933,-149.38370845933
2018-02-14,9535,9566.09973629325,-31.0997362932467
2018-02-22,9520,9562.79987499533,-42.799874995327
2018-02-23,9590,9559.48672344327,30.5132765567306
2018-02-26,9565,9556.16286282303,8.83713717697002
2018-02-27,9485,9552.83088693354,-67.830886933539
2018-02-28,9485,9549.49339322665,-64.4933932266505
2018-03-01,9680,9546.15295111564,133.847048884364
2018-03-02,9625,9542.81210335481,82.1878966451875
2018-03-05,9540,9539.47344802548,0.52655197451944
2018-03-06,9535,9536.13961718209,-1.1396171820939
2018-03-07,9470,9532.81324309679,-62.8132430967919
2018-03-08,9305,9529.49695757062,-224.496957570623
2018-03-09,9305,9526.19336644018,-221.193366440182
2018-03-12,9160,9522.90498274403,-362.904982744034
2018-03-13,9195,9519.63422808828,-324.634228088277
2018-03-14,9350,9516.38337406874,-166.383374068741
2018-03-15,9330,9513.15455809045,-183.15455809045
2018-03-16,9260,9509.94984878228,-249.949848782284
2018-03-19,9345,9506.7712390644,-161.771239064397
2018-03-20,9315,9503.62061853776,-188.620618537759
2018-03-21,9275,9500.49980993351,-225.499809933512
2018-03-22,9270,9497.41055801468,-227.410558014675
2018-03-23,9165,9494.35451433169,-329.354514331689
2018-03-26,9060,9491.33323643264,-431.333236432638
2018-03-27,9175,9488.34814572375,-313.348145723751
2018-03-28,9140,9485.40048531524,-345.400485315243
2018-03-29,9220,9482.49136879208,-262.49136879208
2018-03-30,9225,9479.6217669644,-254.621766964404
2018-04-02,9295,9476.79254213899,-181.792542138994
2018-04-03,9265,9474.00445137222,-209.004451372222
2018-04-04,9195,9471.25817657477,-276.258176574769
2018-04-09,9260,9468.55431326317,-208.554313263169
2018-04-10,9305,9465.89334276012,-160.893342760124
2018-04-11,9300,9463.27566018018,-163.275660180181
2018-04-12,9280,9460.70159413117,-180.701594131169
2018-04-13,9270,9458.17140572926,-188.171405729256
2018-04-16,9160,9455.68528139593,-295.68528139593
2018-04-17,9175,9453.24332977018,-278.24332977018
2018-04-18,9210,9450.84553726646,-240.845537266463
2018-04-19,9290,9448.49177528481,-158.491775284809
2018-04-20,9130,9446.18181566918,-316.181815669178
2018-04-23,9195,9443.91536474952,-248.915364749523
2018-04-24,9230,9441.69199815891,-211.691998158914
2018-04-25,9275,9439.51118863887,-164.511188638872
2018-04-26,9260,9437.37232142593,-177.372321425932
2018-04-27,9275,9435.27471375429,-160.274713754291
2018-05-02,9415,9433.21760953961,-18.2176095396074
2018-05-03,9485,9431.20018644644,53.7998135535624
2018-05-04,9540,9429.22161460881,110.778385391189
2018-05-07,9575,9427.28108639954,147.718913600461
2018-05-08,9550,9425.37783998265,124.622160017352
2018-05-09,9530,9423.51117458332,106.488825416684
2018-05-10,9515,9421.68044094056,93.3195590594382
2018-05-11,9520,9419.88503381146,100.114966188544
2018-05-14,9440,9418.12438652767,21.8756134723296
2018-05-15,9440,9416.39797380448,23.6020261955213
2018-05-16,9455,9414.70527939955,40.2947206004459
2018-05-17,9375,9413.04579682672,-38.045796826724
2018-05-18,9385,9411.41903625597,-26.4190362559686
2018-05-21,9395,9409.82449213075,-14.8244921307529
2018-05-22,9340,9408.26164797399,-68.26164797399
2018-05-23,9305,9406.72998118064,-101.729981180639
2018-05-24,9225,9405.22894092909,-180.228940929091
2018-05-25,9225,9403.75793434672,-178.757934346724
2018-05-28,9175,9402.31629406145,-227.316294061455
2018-05-29,9240,9400.90327880987,-160.903278809866
2018-05-30,9210,9399.51805336512,-189.518053365116
2018-05-31,9165,9398.15971598939,-233.159715989386
2018-06-01,9295,9396.8272866058,-101.8272866058
2018-06-04,9290,9395.51968875859,-105.519688758586
2018-06-05,9280,9394.23580390066,-114.23580390066
2018-06-06,9225,9392.97446986733,-167.97446986733
2018-06-07,9260,9391.73447727345,-131.734477273448
2018-06-08,9290,9390.51454729996,-100.514547299957
2018-06-11,9350,9389.31334667405,-39.31334667405
2018-06-12,9340,9388.12950057429,-48.129500574292
2018-06-13,9260,9386.96161792866,-126.961617928665
2018-06-14,9215,9385.80828777036,-170.808287770356
2018-06-15,9210,9384.6680466517,-174.668046651703
2018-06-19,9045,9383.5393605198,-338.539360519794
2018-06-20,9105,9382.42062312094,-277.420623120937
2018-06-21,9025,9381.31008826292,-356.310088262917
2018-06-22,8945,9380.20589507898,-435.205895078979
2018-06-25,8980,9379.1060354181,-399.106035418099
2018-06-26,9070,9378.00832123263,-308.008321232631
2018-06-27,9140,9376.91039950056,-236.910399500557
2018-06-28,9110,9375.8097898816,-265.809789881602
2018-06-29,9265,9374.70391410625,-109.703914106246
2018-07-02,9215,9373.5900840299,-158.590084029903
2018-07-03,9250,9372.46556616081,-122.465566160807
2018-07-04,9275,9371.32756145241,-96.3275614524137
2018-07-05,9160,9370.1732202358,-210.173220235803
2018-07-06,9145,9368.9996530242,-223.999653024205
2018-07-10,9255,9367.80388345362,-112.803883453619
2018-07-11,9235,9366.58284256757,-131.582842567574
2018-07-12,9305,9365.33341478112,-60.3334147811238
2018-07-13,9335,9364.05243011818,-29.0524301181756
2018-07-16,9325,9362.73669366323,-37.7366936632255
2018-07-17,9330,9361.38299849163,-31.3829984916335
2018-07-18,9320,9359.98812208011,-39.9881220801114
2018-07-19,9280,9358.54882893271,-78.5488289327079
2018-07-20,9370,9357.061867024,12.9381329760022
2018-07-23,9390,9355.52395185976,34.4760481402346
2018-07-24,9445,9353.93180429372,91.0681957062819
2018-07-25,9445,9352.28215943071,92.7178405692921
2018-07-26,9430,9350.57179001955,79.4282099804466
2018-07-27,9420,9348.79750713491,71.20249286509
2018-07-31,9370,9346.95615468361,23.0438453163876
2018-08-01,9385,9345.04460600503,39.9553939949694
2018-08-02,9475,9343.05974396367,131.940256036334
2018-08-03,9550,9340.99846794025,209.00153205975
2018-08-06,9630,9338.8577318541,291.142268145898
2018-08-07,9665,9336.63457601743,328.365423982571
2018-08-08,9710,9334.32616108902,375.673838910983
2018-08-09,9710,9331.9297834607,378.070216539303
2018-08-10,9690,9329.44289481274,360.557105187264
2018-08-13,9710,9326.8631031043,383.136896895702
2018-08-14,9780,9324.18816533441,455.811834665591
2018-08-15,9770,9321.41599687562,448.584003124378
2018-08-16,9755,9318.54470151455,436.455298485449
2018-08-17,9635,9315.57256846478,319.427431535225
2018-08-20,9670,9312.49806735272,357.501932647284
2018-08-21,9615,9309.31979984308,305.680200156921
2018-08-22,9670,9306.03651537779,363.963484622207
