"AUDCADDate","AUDCADClose","AUDCAD_hpft","AUDCAD_hpfc"
2021-07-09,0.93154,0.93437174554569,-0.00283174554569034
2021-07-12,0.93146,0.934049378042111,-0.00258937804211069
2021-07-13,0.93199,0.933730358591135,-0.00174035859113487
2021-07-14,0.93581,0.933414714740361,0.00239528525963937
2021-07-15,0.93475,0.93310247331798,0.00164752668202014
2021-07-16,0.93305,0.932793662142314,0.000256337857686497
2021-07-19,0.93647,0.932488309712694,0.00398169028730619
2021-07-20,0.92944,0.932186444634423,-0.00274644463442346
2021-07-21,0.92379,0.931888097158658,-0.00809809715865769
2021-07-22,0.92719,0.931593296401296,-0.00440329640129628
2021-07-23,0.92527,0.931302068130804,-0.00603206813080426
2021-07-26,0.92607,0.931014436295506,-0.00494443629550618
2021-07-27,0.92751,0.930730422350315,-0.00322042235031537
2021-07-28,0.92353,0.9304500457063,-0.00692004570629952
2021-07-29,0.92073,0.930173324443353,-0.00944332444335292
2021-07-30,0.91606,0.929900273780884,-0.0138402737808839
2021-08-02,0.92081,0.929630905034821,-0.00882090503482147
2021-08-03,0.92705,0.929365223800071,-0.00231522380007126
2021-08-04,0.92542,0.929103232025351,-0.00368323202535146
2021-08-05,0.926,0.928844930702337,-0.00284493070233663
2021-08-06,0.92321,0.928590319300211,-0.00538031930021123
2021-08-09,0.92205,0.928339396112178,-0.00628939611217809
2021-08-10,0.92003,0.928092157207437,-0.0080621572074367
2021-08-11,0.92204,0.927848596055396,-0.00580859605539625
2021-08-12,0.91885,0.9276087027929,-0.00875870279289956
2021-08-13,0.92261,0.927372465155749,-0.00476246515574899
2021-08-16,0.92256,0.927139867259257,-0.00457986725925726
2021-08-17,0.91625,0.926910891250108,-0.0106608912501083
2021-08-18,0.91569,0.92668551738187,-0.0109955173818698
2021-08-19,0.91691,0.926463721501317,-0.00955372150131724
2021-08-20,0.9143,0.92624547491012,-0.0119454749101197
2021-08-23,0.91189,0.926030744960833,-0.0141407449608334
2021-08-24,0.9141,0.925819494068222,-0.011719494068222
2021-08-25,0.91609,0.925611678801845,-0.00952167880184491
2021-08-26,0.91819,0.925407250886889,-0.00721725088688878
2021-08-27,0.92303,0.925206158112659,-0.0021761581126594
2021-08-30,0.9198,0.925008345285138,-0.00520834528513823
2021-08-31,0.92291,0.924813756310777,-0.00190375631077662
2021-09-01,0.92978,0.924622332943108,0.00515766705689235
2021-09-02,0.92895,0.924434016148726,0.00451598385127444
2021-09-03,0.93425,0.924248749026191,0.0100012509738087
2021-09-06,0.93243,0.924066476540799,0.00836352345920103
2021-09-07,0.9342,0.923887147791949,0.0103128522080511
2021-09-08,0.93487,0.9237107153362,0.0111592846637996
2021-09-09,0.93313,0.92353713599302,0.00959286400698048
2021-09-10,0.9335,0.923366371194673,0.0101336288053273
2021-09-13,0.93229,0.923198386338735,0.00909161366126489
2021-09-14,0.92921,0.923033151011609,0.00617684898839088
2021-09-15,0.92653,0.92287063855782,0.00365936144218032
2021-09-16,0.92467,0.922710824875141,0.00195917512485942
2021-09-17,0.92799,0.922553687373974,0.00543631262602562
2021-09-20,0.9301,0.922399204274583,0.00770079572541689
2021-09-21,0.92741,0.922247356044368,0.00516264395563187
2021-09-22,0.92492,0.922098126333938,0.00282187366606243
2021-09-23,0.92332,0.921951500927922,0.00136849907207851
2021-09-24,0.91749,0.921807466777407,-0.00431746677740664
2021-09-27,0.92025,0.921666011399165,-0.00141601139916465
2021-09-28,0.91813,0.921527120525287,-0.0033971205252868
2021-09-29,0.91488,0.921390779302555,-0.00651077930255543
2021-09-30,0.9164,0.921256971473514,-0.00485697147351379
2021-10-01,0.91858,0.921125678089411,-0.00254567808941071
2021-10-04,0.91731,0.920996878193819,-0.00368687819381934
2021-10-05,0.91748,0.920870549778032,-0.00339054977803186
2021-10-06,0.91559,0.920746669309334,-0.0051566693093339
2021-10-07,0.91779,0.920625211853491,-0.00283521185349056
2021-10-08,0.91143,0.920506150344709,-0.00907615034470857
2021-10-11,0.91724,0.920389456545241,-0.0031494565452411
2021-10-12,0.91629,0.920275098465618,-0.00398509846561793
2021-10-13,0.91801,0.920163042814507,-0.00215304281450677
2021-10-14,0.91728,0.920053254653298,-0.00277325465329818
2021-10-15,0.91738,0.919945698153409,-0.00256569815340924
2021-10-18,0.91751,0.91984033633989,-0.00233033633988975
2021-10-19,0.92417,0.919737131177251,0.00443286882274946
2021-10-20,0.92608,0.919636043666722,0.00644395633327813
2021-10-21,0.92369,0.919537036641907,0.00415296335809299
2021-10-22,0.92352,0.919440075600086,0.00407992439991387
2021-10-25,0.92781,0.919345127755201,0.00846487224479898
2021-10-26,0.92941,0.919252162007677,0.0101578379923229
2021-10-27,0.92936,0.919161150756974,0.0101988492430257
2021-10-28,0.93134,0.919072070601394,0.0122679293986059
2021-10-29,0.93123,0.918984902355029,0.0122450976449713
2021-11-01,0.9309,0.918899631903043,0.0120003680969572
2021-11-02,0.9223,0.918816250192237,0.00348374980776276
2021-11-03,0.92267,0.918734753129872,0.00393524687012788
2021-11-04,0.92187,0.918655138063253,0.00321486193674733
2021-11-05,0.92178,0.918577403966362,0.00320259603363847
2021-11-08,0.92375,0.918501551142076,0.00524844885792371
2021-11-09,0.91773,0.918427581217093,-0.000697581217093358
2021-11-10,0.91528,0.91835549798761,-0.00307549798761041
2021-11-11,0.91728,0.91828530496147,-0.00100530496147
2021-11-12,0.92031,0.91821700437523,0.00209299562476966
2021-11-15,0.91935,0.918150598049894,0.0011994019501057
2021-11-16,0.91732,0.918086088671627,-0.000766088671627329
2021-11-17,0.9164,0.918023479422377,-0.00162347942237706
2021-11-18,0.91702,0.917962773167424,-0.000942773167424095
