"GBPUSDDate","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc"
2021-02-15,1.39033,1.37430372766275,0.0160262723372504
2021-02-16,1.3902,1.37486436030971,0.0153356396902939
2021-02-17,1.3863,1.37541746194815,0.0108825380518462
2021-02-18,1.39765,1.37596294323271,0.0216870567672936
2021-02-19,1.4012,1.37650071931642,0.024699280683578
2021-02-22,1.4065,1.37703071431691,0.0294692856830929
2021-02-23,1.4112,1.37755286256144,0.0336471374385637
2021-02-24,1.41425,1.37806711055873,0.0361828894412695
2021-02-25,1.40082,1.37857341872586,0.0222465812741376
2021-02-26,1.39175,1.37907176243648,0.012678237563524
2021-03-01,1.3925,1.37956212626005,0.0129378737399484
2021-03-02,1.3954,1.38004450000674,0.015355499993259
2021-03-03,1.39515,1.38051887883468,0.0146311211653228
2021-03-04,1.38965,1.38098526424935,0.00866473575064758
2021-03-05,1.38435,1.38144366380418,0.00290633619582285
2021-03-08,1.38223,1.38189408863422,0.000335911365782413
2021-03-09,1.38886,1.3823365510759,0.00652344892409546
2021-03-10,1.3933,1.38277106360451,0.010528936395489
2021-03-11,1.39928,1.38319764139185,0.0160823586081497
2021-03-12,1.39225,1.38361630396198,0.00863369603801712
2021-03-15,1.3904,1.38402707748673,0.00637292251326658
2021-03-16,1.38915,1.38442999170678,0.0047200082932156
2021-03-17,1.3967,1.38482507899712,0.0118749210028809
2021-03-18,1.39235,1.38521237368379,0.00713762631620843
2021-03-19,1.38755,1.38559191500145,0.00195808499854559
2021-03-22,1.38632,1.38596374513516,0.000356254864843325
2021-03-23,1.37515,1.38632790707936,-0.0111779070793638
2021-03-24,1.36855,1.38668444397581,-0.0181344439758072
2021-03-25,1.3734,1.3870333943457,-0.0136333943457009
2021-03-26,1.37925,1.38737478921422,-0.00812478921422147
2021-03-29,1.37637,1.38770865397105,-0.0113386539710478
2021-03-30,1.37405,1.38803501064741,-0.0139850106474058
2021-03-31,1.37849,1.38835387658755,-0.00986387658754637
2021-04-01,1.38326,1.38866526335491,-0.00540526335491259
2021-04-02,1.38354,1.38896917843559,-0.0054291784355939
2021-04-05,1.39055,1.38926562708137,0.00128437291862575
2021-04-06,1.38236,1.38955461229985,-0.00719461229984629
2021-04-07,1.37392,1.38983613762948,-0.0159161376294776
2021-04-08,1.37358,1.39011020363481,-0.0165302036348075
2021-04-09,1.3706,1.39037680430124,-0.0197768043012426
2021-04-12,1.37397,1.39063592678132,-0.0166659267813176
2021-04-13,1.37514,1.3908875500526,-0.0157475500526003
2021-04-14,1.37766,1.39113164620364,-0.0134716462036355
2021-04-15,1.37837,1.39136818081358,-0.0129981808135757
2021-04-16,1.38414,1.39159711389292,-0.00745711389291543
2021-04-19,1.39858,1.39181840007926,0.00676159992074204
2021-04-20,1.39383,1.39203199092771,0.00179800907228692
2021-04-21,1.39282,1.39223784078837,0.000582159211626946
2021-04-22,1.38403,1.39243590475454,-0.00840590475454457
2021-04-23,1.38757,1.39262613816018,-0.00505613816018469
2021-04-26,1.38992,1.39280849286457,-0.00288849286457398
2021-04-27,1.3911,1.392982918637,-0.00188291863700099
2021-04-28,1.39388,1.39314936405277,0.000730635947232723
2021-04-29,1.39415,1.39330777690885,0.000842223091147387
2021-04-30,1.38168,1.39345810530423,-0.011778105304227
2021-05-03,1.39109,1.39360029768604,-0.00251029768604059
2021-05-04,1.38866,1.39373429763283,-0.00507429763282768
2021-05-05,1.39075,1.39386004768548,-0.00311004768547537
2021-05-06,1.3891,1.39397748828735,-0.00487748828735422
2021-05-07,1.39863,1.39408655859625,0.00454344140374515
2021-05-10,1.41181,1.39418719575383,0.0176228042461657
2021-05-11,1.4143,1.39427933877975,0.0200206612202539
2021-05-12,1.40527,1.39436293397834,0.0109070660216591
2021-05-13,1.40505,1.39443793592963,0.0106120640703662
2021-05-14,1.40968,1.39450430372217,0.0151756962778278
2021-05-17,1.41391,1.39456200083112,0.0193479991688774
2021-05-18,1.41893,1.39461099700468,0.0243190029953233
2021-05-19,1.41147,1.39465126998869,0.016818730011311
2021-05-20,1.41908,1.39468280758149,0.0243971924185127
2021-05-21,1.41492,1.39470560453367,0.0202143954663319
2021-05-24,1.41566,1.39471966568058,0.0209403343194155
2021-05-25,1.41532,1.39472500421342,0.020594995786581
2021-05-26,1.412,1.39472164197926,0.0172783580207406
2021-05-27,1.42061,1.39470960933832,0.0259003906616836
2021-05-28,1.41905,1.394688943793,0.0243610562069986
2021-05-31,1.42138,1.39465969355189,0.0267203064481133
2021-06-01,1.41497,1.39462191689346,0.0203480831065431
2021-06-02,1.41714,1.39457568314124,0.0225643168587575
2021-06-03,1.41069,1.39452107002989,0.0161689299701087
2021-06-04,1.41599,1.39445816462123,0.0215318353787679
2021-06-07,1.4179,1.39438706066068,0.0235129393393183
2021-06-08,1.41541,1.39430786079404,0.0211021392059614
2021-06-09,1.41178,1.3942206773864,0.0175593226135965
2021-06-10,1.41764,1.39412563152566,0.0235143684743375
2021-06-11,1.41073,1.39402285155802,0.016707148441985
2021-06-14,1.41118,1.39391247554956,0.0172675244504422
2021-06-15,1.40843,1.39379464847244,0.014635351527563
2021-06-16,1.39869,1.39366952243651,0.00502047756348968
2021-06-17,1.39249,1.39353725560132,-0.00104725560131719
2021-06-18,1.38047,1.39339800820165,-0.0129280082016489
2021-06-21,1.39337,1.39325194003939,0.000118059960614093
2021-06-22,1.39493,1.39309920557251,0.00183079442749182
2021-06-23,1.39626,1.39293995930779,0.00332004069220907
2021-06-24,1.3923,1.39277435650879,-0.000474356508794668
2021-06-25,1.38848,1.39260255381143,-0.00412255381143266
2021-06-28,1.38818,1.39242470765556,-0.0042447076555642
2021-06-29,1.38403,1.39224097277693,-0.00821097277693033
2021-06-30,1.3831,1.39205150215669,-0.00895150215668608
2021-07-01,1.37661,1.3918564453819,-0.0152464453819011
2021-07-02,1.38273,1.39165594833945,-0.0089259483394506
2021-07-05,1.38432,1.39145015061396,-0.0071301506139552
2021-07-06,1.37994,1.39123918810039,-0.0112991881003865
2021-07-07,1.3802,1.39102319374641,-0.0108231937464144
2021-07-08,1.37864,1.39080229582907,-0.0121622958290728
2021-07-09,1.38946,1.39057661815154,-0.00111661815153817
2021-07-12,1.38864,1.39034627948955,-0.00170627948955047
2021-07-13,1.38139,1.39011139815731,-0.00872139815731076
2021-07-14,1.38609,1.38987209176371,-0.00378209176370658
2021-07-15,1.38279,1.38962847431255,-0.00683847431255035
2021-07-16,1.37653,1.38938065824428,-0.0128506582442829
2021-07-19,1.36747,1.3891287531726,-0.0216587531726048
2021-07-20,1.36264,1.38887286339927,-0.0262328633992653
2021-07-21,1.37161,1.38861308427315,-0.0170030842731526
2021-07-22,1.37683,1.38834950029955,-0.0115195002995521
2021-07-23,1.37522,1.38808218895535,-0.0128621889553535
2021-07-26,1.38187,1.38781122295575,-0.00594122295574956
2021-07-27,1.38784,1.38753666969922,0.000303330300780287
2021-07-28,1.39019,1.38725859412839,0.00293140587161445
2021-07-29,1.3959,1.38697706131125,0.00892293868875241
2021-07-30,1.39038,1.38669213752754,0.00368786247246201
2021-08-02,1.38832,1.38640389274536,0.00191610725463685
2021-08-03,1.39158,1.38611239845725,0.00546760154275162
2021-08-04,1.38894,1.38581772694777,0.00312227305223326
2021-08-05,1.393,1.38551995276157,0.00748004723843428
2021-08-06,1.38729,1.38521915173392,0.00207084826607677
2021-08-09,1.38468,1.38491540279207,-0.000235402792068663
2021-08-10,1.38444,1.38460878571923,-0.000168785719233648
2021-08-11,1.38663,1.38429938020134,0.00233061979865578
2021-08-12,1.3808,1.38398726585456,-0.00318726585456293
2021-08-13,1.38692,1.38367252325842,0.0032474767415776
2021-08-16,1.38439,1.38335523167498,0.00103476832501529
2021-08-17,1.37429,1.38303547170868,-0.00874547170867756
2021-08-18,1.37541,1.38271332439166,-0.00730332439166075
2021-08-19,1.36374,1.38238886714107,-0.0186488671410703
2021-08-20,1.3622,1.38206217435515,-0.019862174355145
2021-08-23,1.3724,1.38173331272342,-0.0093333127234244
2021-08-24,1.37291,1.38140234072523,-0.00849234072523081
2021-08-25,1.37642,1.38106931298187,-0.00464931298186743
2021-08-26,1.37001,1.38073428060424,-0.0107242806042419
2021-08-27,1.37621,1.38039729278143,-0.0041872927814278
2021-08-30,1.37606,1.38005839426951,-0.00399839426950978
2021-08-31,1.3754,1.37971762809372,-0.0043176280937153
2021-09-01,1.3769,1.3793750356265,-0.00247503562649891
2021-09-02,1.38332,1.37903065645558,0.00428934354442435
2021-09-03,1.38648,1.37868452914558,0.0077954708544156
2021-09-06,1.3837,1.37833669403421,0.00536330596579426
2021-09-07,1.37852,1.37798719468145,0.000532805318547602
2021-09-08,1.37712,1.37763607686431,-0.000516076864311751
2021-09-09,1.38358,1.37728338658002,0.00629661341998466
2021-09-10,1.38366,1.37692916961247,0.00673083038753412
2021-09-13,1.38401,1.37657347434833,0.00743652565166499
2021-09-14,1.3808,1.37621635195655,0.00458364804345089
2021-09-15,1.3841,1.37585785667999,0.00824214332000929
2021-09-16,1.37961,1.37549804465624,0.00411195534375609
2021-09-17,1.37378,1.37513697542986,-0.00135697542985968
2021-09-20,1.36577,1.37477471024511,-0.0090047102451087
2021-09-21,1.36605,1.37441130978534,-0.00836130978534022
2021-09-22,1.36168,1.37404683101172,-0.0123668310117194
2021-09-23,1.372,1.37368132742918,-0.00168132742918055
2021-09-24,1.36745,1.37331484743071,-0.0058648474307101
2021-09-27,1.37016,1.3729474387143,-0.0027874387143005
2021-09-28,1.35379,1.37257914655365,-0.0187891465536509
2021-09-29,1.34282,1.37221001507025,-0.0293900150702467
2021-09-30,1.34747,1.37184008061889,-0.024370080618894
2021-10-01,1.35446,1.37146936740575,-0.017009367405751
2021-10-04,1.36088,1.37109788956336,-0.0102178895633631
2021-10-05,1.36279,1.37072565419329,-0.00793565419328745
2021-10-06,1.35831,1.37035266417341,-0.0120426641734146
2021-10-07,1.36143,1.36997891910136,-0.0085489191013584
2021-10-08,1.36163,1.36960441359678,-0.00797441359677636
2021-10-11,1.3594,1.36922913874555,-0.0098291387455494
2021-10-12,1.35886,1.36885308233725,-0.00999308233725485
2021-10-13,1.36621,1.3684762280985,-0.00226622809849872
