"LUMDate","LUMClose","LUM_hpft","LUM_hpfc"
2021-05-13,3261,3222.51464740403,38.4853525959659
2021-05-14,3152,3226.3683517854,-74.3683517853988
2021-05-17,3214,3230.18597943967,-16.1859794396727
2021-05-18,3225,3233.96850362522,-8.96850362522033
2021-05-19,3110,3237.71689090962,-127.716890909625
2021-05-20,3077,3241.43210415341,-164.43210415341
2021-05-21,2993,3245.11505342394,-252.115053423937
2021-05-24,3125,3248.766580819,-123.766580818996
2021-05-25,3158,3252.38742422215,-94.3874242221511
2021-05-26,3171,3255.97827035687,-84.9782703568668
2021-05-27,3140,3259.53976693061,-119.539766930608
2021-05-28,3206,3263.07252652425,-57.0725265242496
2021-05-31,3222,3266.57711230571,-44.5771123057054
2021-06-01,3290,3270.05406385139,19.945936148611
2021-06-02,3304,3273.50390231144,30.4960976885556
2021-06-03,3387,3276.92715708072,110.072842919278
2021-06-04,3392,3280.32437016002,111.675629839984
2021-06-07,3366,3283.69612904975,82.3038709502455
2021-06-08,3335,3287.04306741265,47.9569325873458
2021-06-09,3394,3290.36585293248,103.634147067521
2021-06-10,3301,3293.66517311646,7.33482688353972
2021-06-11,3374,3296.94175831005,77.0582416899481
2021-06-15,3400,3300.1963418906,99.8036581094001
2021-06-16,3454,3303.42968908829,150.570310911711
2021-06-17,3426,3306.64260638805,119.357393611948
2021-06-18,3346,3309.83596251456,36.1640374854367
2021-06-21,3408,3313.01067553004,94.9893244699645
2021-06-22,3476,3316.16767844548,159.832321554523
2021-06-23,3520,3319.30794353658,200.692056463415
2021-06-24,3493,3322.43250914738,170.56749085262
2021-06-25,3486,3325.54249657988,160.457503420115
2021-06-28,3506,3328.63909764188,177.360902358115
2021-06-29,3429,3331.7235704678,97.276429532204
2021-06-30,3432,3334.79724650593,97.2027534940696
2021-07-01,3440,3337.86149741481,102.138502585193
2021-07-02,3512,3340.91773503257,171.082264967431
2021-07-05,3544,3343.96741341737,200.032586582631
2021-07-06,3542,3347.01205734587,194.987942654134
2021-07-07,3398,3350.05327428016,47.9467257198424
2021-07-08,3370,3353.09275228251,16.9072477174914
2021-07-09,3420,3356.13219923443,63.8678007655689
2021-07-12,3494,3359.17333000622,134.826669993783
2021-07-13,3517,3362.21788586854,154.78211413146
2021-07-14,3574,3365.267663824,208.732336176003
2021-07-15,3440,3368.32452485587,71.6754751441288
2021-07-16,3404,3371.39041622902,32.609583770979
2021-07-19,3389,3374.46731483606,14.5326851639373
2021-07-20,3234,3377.5572110491,-143.557211049101
2021-07-21,3232,3380.66210124748,-148.662101247481
2021-07-22,3353,3383.78392246973,-30.7839224697276
2021-07-23,3412,3386.92455030344,25.0754496965576
2021-07-26,3375,3390.08584761142,-15.0858476114184
2021-07-27,3428,3393.26968762167,34.7303123783265
2021-07-28,3460,3396.4779373262,63.5220626737954
2021-07-29,3466,3399.71247807322,66.2875219267796
2021-07-30,3470,3402.97521746847,67.0247825315302
2021-08-02,3460,3406.2680905181,53.7319094819009
2021-08-03,3347,3409.59305993382,-62.5930599338215
2021-08-04,3346,3412.95211063779,-66.9521106377883
2021-08-05,3261,3416.34720167876,-155.347201678757
2021-08-06,3340,3419.78026443014,-79.7802644301417
2021-08-09,3250,3423.25316605119,-173.253166051188
2021-08-10,3264,3426.76774072313,-162.767740723134
2021-08-11,3328,3430.32575101125,-102.325751011254
2021-08-12,3324,3433.92889219922,-109.928892199223
2021-08-13,3311,3437.57881727343,-126.578817273432
2021-08-16,3227,3441.27713377995,-214.277133779951
2021-08-17,3203,3445.02539694243,-242.025396942435
2021-08-18,3240,3448.82507341077,-208.825073410766
2021-08-19,3134,3452.67752979151,-318.677529791512
2021-08-20,3138,3456.58404637115,-318.584046371148
2021-08-23,3135,3460.54577170761,-325.545771707613
2021-08-24,3266,3464.5637226694,-198.563722669398
2021-08-25,3310,3468.6387815571,-158.638781557104
2021-08-26,3355,3472.77174859309,-117.771748593089
2021-08-27,3392,3476.96335842508,-84.9633584250767
2021-08-30,3410,3481.21429701841,-71.2142970184072
2021-08-31,3413,3485.52521521818,-72.5252152181752
2021-09-01,3485,3489.89673443218,-4.89673443217917
2021-09-02,3437,3494.32944608937,-57.3294460893729
2021-09-03,3481,3498.82393959457,-17.8239395945722
2021-09-06,3389,3503.38078065481,-114.380780654814
2021-09-07,3462,3508.00052760946,-46.0005276094577
2021-09-08,3444,3512.68369151737,-68.6836915173741
2021-09-09,3466,3517.43076442293,-51.4307644229254
2021-09-10,3424,3522.24220997915,-98.2422099791478
2021-09-13,3529,3527.11847057981,1.88152942019162
2021-09-14,3535,3532.05994800918,2.94005199081973
2021-09-15,3547,3537.06704482936,9.9329551706429
2021-09-16,3562,3542.14016481771,19.8598351822939
2021-09-17,3581,3547.27971585745,33.7202841425466
2021-09-22,3630,3552.48611404116,77.5138859588413
2021-09-23,3652,3557.75978939986,94.240210600136
2021-09-24,3671,3563.10120400611,107.898795993888
2021-09-27,3686,3568.51085888697,117.489141113032
2021-09-28,3777,3573.98929967098,203.010700329021
2021-09-29,3596,3579.53712055183,16.4628794481734
2021-09-30,3643,3585.1549996396,57.8450003603994
2021-10-08,3880,3590.84362184958,289.15637815042
2021-10-11,3894,3596.60369600772,297.39630399228
2021-10-12,3926,3602.43605046573,323.563949534274
2021-10-13,3921,3608.341636507,312.658363493002
2021-10-14,3950,3614.32153916304,335.678460836964
2021-10-15,4028,3620.37697270596,407.623027294038
2021-10-18,3998,3626.50929016385,371.49070983615
2021-10-19,3935,3632.7200130595,302.279986940502
2021-10-20,3906,3639.01081647517,266.98918352483
2021-10-21,3908,3645.38350044367,262.616499556333
