"LH0Date","LH0Close","LH0_hpft","LH0_hpfc"
2022-09-14,23370,21483.3018144872,1886.69818551279
2022-09-15,23290,21476.9148869969,1813.08511300314
2022-09-16,23395,21469.1511121954,1925.84888780464
2022-09-19,23400,21460.0154176949,1939.98458230511
2022-09-20,22745,21449.5135271766,1295.4864728234
2022-09-21,22625,21437.651966235,1187.34803376499
2022-09-22,22165,21424.4377959681,740.562204031912
2022-09-23,22305,21409.8785682692,895.121431730817
2022-09-26,21795,21393.9821411568,401.017858843213
2022-09-27,22410,21376.7567426533,1033.24325734665
2022-09-28,22400,21358.2107665475,1041.7892334525
2022-09-29,22350,21338.3530337311,1011.64696626895
2022-09-30,22590,21317.1927957254,1272.80720427457
2022-10-10,23765,21294.739722226,2470.26027777399
2022-10-11,23785,21271.0040090563,2513.99599094366
2022-10-12,23935,21245.9968731494,2689.00312685061
2022-10-13,23975,21219.7305706202,2755.26942937977
2022-10-14,23880,21192.2184691123,2687.78153088774
2022-10-17,23780,21163.4750751817,2616.52492481829
2022-10-18,24045,21133.5160064102,2911.48399358981
2022-10-19,23590,21102.3579619419,2487.64203805809
2022-10-20,23350,21070.0188444129,2279.98115558709
2022-10-21,23435,21036.517584755,2398.48241524502
2022-10-24,22520,21001.8740563449,1518.12594365507
2022-10-25,22980,20966.1091239977,2013.8908760023
2022-10-26,22410,20929.2442800638,1480.75571993624
2022-10-27,22370,20891.301849352,1478.69815064799
2022-10-28,21910,20852.3047687581,1057.6952312419
2022-10-31,21870,20812.2765864101,1057.7234135899
2022-11-01,21655,20771.2412876479,883.7587123521
2022-11-02,22290,20729.223295029,1560.77670497098
2022-11-03,21975,20686.247396422,1288.75260357805
2022-11-04,22200,20642.3390248586,1557.66097514143
2022-11-07,22275,20597.5241460881,1677.47585391186
2022-11-08,21500,20551.8293697341,948.170630265854
2022-11-09,21215,20505.28199882,709.718001179957
2022-11-10,21155,20457.9097283076,697.090271692429
2022-11-11,21540,20409.7405465263,1130.25945347369
2022-11-14,21590,20360.8027299544,1229.19727004556
2022-11-15,21790,20311.1250222741,1478.87497772588
2022-11-16,21755,20260.7366752681,1494.26332473195
2022-11-17,21605,20209.6675520258,1395.33244797421
