"SR0Date","SR0Close","SR0_hpft","SR0_hpfc"
2020-07-09,5244,5147.22343067457,96.7765693254341
2020-07-10,5211,5145.49652905422,65.5034709457786
2020-07-13,5199,5143.83259498598,55.1674050140244
2020-07-14,5237,5142.23115892236,94.7688410776449
2020-07-15,5213,5140.69177411989,72.3082258801063
2020-07-16,5188,5139.21403300867,48.7859669913313
2020-07-17,5115,5137.79755790823,-22.7975579082327
2020-07-20,5153,5136.44199130403,16.5580086959653
2020-07-21,5173,5135.14696625826,37.8530337417436
2020-07-22,5126,5133.91212267724,-7.91212267723944
2020-07-23,5114,5132.73711611435,-18.7371161143494
2020-07-24,5075,5131.6215988523,-56.621598852297
2020-07-27,5013,5130.5652154289,-117.565215428902
2020-07-28,5023,5129.56758697689,-106.567586976894
2020-07-29,5030,5128.62828603175,-98.6282860317537
2020-07-30,5010,5127.74684107849,-117.746841078491
2020-07-31,5036,5126.92273983314,-90.9227398331437
2020-08-03,5049,5126.15542134006,-77.1554213400643
2020-08-04,5085,5125.44428705967,-40.4442870596676
2020-08-05,4953,5124.78870655951,-171.78870655951
2020-08-06,4946,5124.18803268918,-178.188032689182
2020-08-07,5105,5123.6415472875,-18.6415472875043
2020-08-10,5093,5123.14845853755,-30.1484585375544
2020-08-11,5041,5122.70796691695,-81.707966916945
2020-08-12,5065,5122.31926044092,-57.319260440921
2020-08-13,5046,5121.98149335018,-75.9814933501825
2020-08-14,5102,5121.69379619176,-19.6937961917644
2020-08-17,5058,5121.45526810503,-63.455268105029
2020-08-18,5056,5121.26500008864,-65.2650000886398
2020-08-19,5039,5121.12205691162,-82.1220569116218
2020-08-20,5056,5121.02547636496,-65.0254763649558
2020-08-21,5055,5120.97426229356,-65.9742622935618
2020-08-24,5073,5120.96739166354,-47.9673916635421
2020-08-25,5085,5121.0038141699,-36.0038141699039
2020-08-26,5156,5121.08245967984,34.9175403201571
2020-08-27,5156,5121.20224317803,34.797756821968
2020-08-28,5194,5121.36209408262,72.6379059173817
2020-08-31,5189,5121.56095619581,67.4390438041852
2020-09-01,5163,5121.79780334537,41.2021966546267
2020-09-02,5188,5122.07163723566,65.9283627643444
2020-09-03,5159,5122.38147660232,36.6185233976837
2020-09-04,5180,5122.72636743318,57.2736325668196
2020-09-07,5171,5123.10537085271,47.8946291472891
2020-09-08,5254,5123.51757165995,130.482428340051
2020-09-09,5156,5123.96207445172,32.0379255482817
2020-09-10,5159,5124.43803776087,34.5619622391274
2020-09-11,5174,5124.94463336364,49.0553666363577
2020-09-14,5221,5125.48104732264,95.5189526773557
2020-09-15,5230,5126.0464859781,103.953514021896
2020-09-16,5253,5126.64019515393,126.359804846067
2020-09-17,5308,5127.26146364421,180.738536355787
2020-09-18,5345,5127.90963247508,217.090367524923
2020-09-21,5327,5128.58411738269,198.415882617314
2020-09-22,5237,5129.28442383973,107.715576160273
2020-09-23,5263,5130.0101393359,132.989860664096
2020-09-24,5235,5130.76089588633,104.239104113668
2020-09-25,5227,5131.5363804787,95.4636195212978
2020-09-28,5163,5132.33632318896,30.6636768110375
2020-09-29,5113,5133.16049355392,-20.1604935539235
2020-09-30,5081,5134.00867378553,-53.0086737855277
2020-10-09,5163,5134.88063776217,28.1193622378341
2020-10-12,5258,5135.77613745054,122.22386254946
2020-10-13,5264,5136.69493644083,127.30506355917
2020-10-14,5275,5137.63684884556,137.363151154442
2020-10-15,5281,5138.60174140011,142.398258599888
2020-10-16,5299,5139.58953762029,159.410462379714
2020-10-19,5308,5140.60021988359,167.399780116411
2020-10-20,5380,5141.63383646129,238.366163538709
2020-10-21,5343,5142.69050482117,200.309495178834
2020-10-22,5308,5143.7704409619,164.229559038097
2020-10-23,5246,5144.87394368205,101.126056317949
2020-10-26,5251,5146.00137966606,104.998620333937
2020-10-27,5237,5147.15315739989,89.8468426001068
2020-10-28,5250,5148.32972877166,101.670271228341
2020-10-29,5270,5149.5315828086,120.468417191403
2020-10-30,5203,5150.75925056425,52.2407494357496
2020-11-02,5142,5152.01331288904,-10.0133128890387
2020-11-03,5200,5153.29437222758,46.7056277724167
2020-11-04,5142,5154.60302688541,-12.6030268854073
2020-11-05,5117,5155.93989447424,-38.9398944742416
2020-11-06,5121,5157.30558739635,-36.3055873963488
2020-11-09,5108,5158.70070195767,-50.7007019576732
2020-11-10,5127,5160.12581945686,-33.1258194568603
2020-11-11,5139,5161.58150023502,-22.5815002350227
2020-11-12,5144,5163.06829094038,-19.0682909403768
2020-11-13,5123,5164.58672888678,-41.5867288867836
2020-11-16,5057,5166.1373435061,-109.137343506095
2020-11-17,5096,5167.72064703989,-71.7206470398879
2020-11-18,5040,5169.33710661678,-129.337106616778
2020-11-19,5056,5170.98715971887,-114.987159718873
2020-11-20,5042,5172.67119036559,-130.67119036559
2020-11-23,5130,5174.38953504522,-44.3895350452212
2020-11-24,5144,5176.14247623188,-32.1424762318759
2020-11-25,5164,5177.93027805079,-13.9302780507905
2020-11-26,5133,5179.75319134083,-46.7531913408317
2020-11-27,5108,5181.61146118262,-73.6114611826223
2020-11-30,5122,5183.50531333094,-61.5053133309384
2020-12-01,5074,5185.43494311245,-111.434943112451
2020-12-02,5055,5187.40052043011,-132.400520430107
2020-12-03,4995,5189.40216912405,-194.402169124045
2020-12-04,5005,5191.43995830545,-186.439958305453
2020-12-07,5012,5193.51387672746,-181.51387672746
2020-12-08,5009,5195.62383607629,-186.623836076291
2020-12-09,4935,5197.76967300771,-262.769673007714
2020-12-10,5015,5199.95114703468,-184.951147034678
2020-12-11,5027,5202.16790905179,-175.167909051785
2020-12-14,5039,5204.41953350222,-165.41953350222
2020-12-15,5047,5206.70552242177,-159.705522421774
2020-12-16,5054,5209.02530946854,-155.025309468541
2020-12-17,5185,5211.37826228468,-26.3782622846837
2020-12-18,5205,5213.76368443117,-8.763684431168
2020-12-21,5186,5216.18086856521,-30.1808685652144
2020-12-22,5202,5218.62910372156,-16.6291037215588
2020-12-23,5245,5221.10766645936,23.8923335406386
2020-12-24,5222,5223.61582646397,-1.61582646397225
2020-12-25,5218,5226.15286329683,-8.15286329682867
2020-12-28,5210,5228.71805585148,-18.7180558514822
2020-12-29,5244,5231.31067965144,12.6893203485593
2020-12-30,5281,5233.93000248293,47.0699975170743
2020-12-31,5215,5236.57529737738,-21.5752973773782
2021-01-04,5330,5239.24585682307,90.7541431769301
2021-01-05,5340,5241.94096438995,98.0590356100494
2021-01-06,5355,5244.65994116205,110.340058837946
2021-01-07,5337,5247.40214875711,89.5978512428912
2021-01-08,5266,5250.16699440296,15.833005597043
2021-01-11,5179,5252.95392236359,-73.9539223635896
2021-01-12,5209,5255.76238344779,-46.7623834477937
2021-01-13,5225,5258.59179789463,-33.5917978946278
2021-01-14,5273,5261.44156661365,11.5584333863502
2021-01-15,5450,5264.3110766288,185.688923371203
2021-01-18,5448,5267.19971974182,180.800280258175
2021-01-19,5435,5270.10696451081,164.893035489192
2021-01-20,5330,5273.03235422942,56.9676457705849
2021-01-21,5332,5275.97550035147,56.0244996485331
2021-01-22,5258,5278.93603787889,-20.9360378788885
2021-01-25,5262,5281.9136249719,-19.9136249718956
2021-01-26,5268,5284.9079111366,-16.9079111365986
2021-01-27,5286,5287.91853764758,-1.91853764757983
2021-01-28,5226,5290.94513879042,-64.9451387904172
2021-01-29,5215,5293.98734805764,-78.9873480576416
2021-02-01,5266,5297.04477209606,-31.0447720960562
2021-02-02,5283,5300.11698490224,-17.1169849022434
2021-02-03,5328,5303.20354764015,24.796452359848
2021-02-04,5318,5306.30401439827,11.6959856017325
2021-02-05,5342,5309.41794951497,32.5820504850264
2021-02-08,5305,5312.54492216321,-7.54492216320966
2021-02-09,5248,5315.68451498406,-67.6845149840628
2021-02-10,5238,5318.83630749986,-80.8363074998578
2021-02-18,5383,5321.99985125486,61.0001487451445
2021-02-19,5429,5325.17466437886,103.825335621144
2021-02-22,5441,5328.36029021664,112.639709783363
2021-02-23,5472,5331.55631503021,140.443684969785
2021-02-24,5446,5334.76237164234,111.237628357661
2021-02-25,5500,5337.97815092954,162.021849070465
2021-02-26,5390,5341.20338974946,48.796610250544
2021-03-01,5453,5344.4378919331,108.562108066903
2021-03-02,5433,5347.68148148203,85.3185185179717
2021-03-03,5517,5350.93402727301,166.065972726992
2021-03-04,5494,5354.19543345003,139.804566549971
2021-03-05,5409,5357.46567280211,51.5343271978941
2021-03-08,5434,5360.74477590782,73.2552240921783
2021-03-09,5366,5364.03279464799,1.96720535201309
2021-03-10,5340,5367.32981118417,-27.3298111841646
2021-03-11,5384,5370.63590849109,13.3640915089147
2021-03-12,5428,5373.95115824644,54.0488417535562
2021-03-15,5351,5377.2756376521,-26.2756376520966
2021-03-16,5336,5380.60944625154,-44.6094462515426
2021-03-17,5458,5383.95267272696,74.0473272730374
2021-03-18,5477,5387.30538732081,89.6946126791941
2021-03-19,5348,5390.66769088368,-42.6676908836796
2021-03-22,5378,5394.03972134238,-16.0397213423794
2021-03-23,5371,5397.42159898655,-26.4215989865476
2021-03-24,5396,5400.8134374757,-4.81343747570082
2021-03-25,5409,5404.21533954771,4.78466045229462
2021-03-26,5350,5407.62740595073,-57.6274059507325
2021-03-29,5313,5411.04973941073,-98.0497394107287
2021-03-30,5324,5414.48241883284,-90.4824188328444
2021-03-31,5269,5417.92548259238,-148.925482592384
2021-04-01,5330,5421.37893166283,-91.3789316628262
2021-04-02,5333,5424.84270545787,-91.8427054578687
2021-04-06,5372,5428.31670561884,-56.316705618844
2021-04-07,5377,5431.800795823,-54.8007958229998
2021-04-08,5362,5435.29481646849,-73.2948164684854
2021-04-09,5362,5438.79858530104,-76.7985853010378
2021-04-12,5348,5442.31188976929,-94.311889769294
2021-04-13,5314,5445.83448557639,-131.834485576389
2021-04-14,5272,5449.36608944074,-177.36608944074
2021-04-15,5309,5452.9063635857,-143.906363585696
2021-04-16,5410,5456.45489691858,-46.4548969185803
2021-04-19,5449,5460.0112188616,-11.0112188616034
2021-04-20,5443,5463.57483963442,-20.5748396344162
2021-04-21,5464,5467.14526490506,-3.14526490505811
2021-04-22,5486,5470.72199183676,15.2780081632369
2021-04-23,5482,5474.30451629265,7.69548370735003
2021-04-26,5490,5477.89234045112,12.1076595488848
2021-04-27,5534,5481.4849696716,52.5150303284033
2021-04-28,5542,5485.08191431834,56.9180856816576
2021-04-29,5550,5488.6827064632,61.3172935368017
2021-04-30,5464,5492.28690170565,-28.2869017056516
2021-05-06,5571,5495.8940809913,75.1059190086967
2021-05-07,5610,5499.50381357308,110.49618642692
2021-05-10,5626,5503.11569974968,122.884300250318
2021-05-11,5627,5506.72938549449,120.270614505514
2021-05-12,5786,5510.34456757629,275.655432423706
2021-05-13,5720,5513.96099247895,206.039007521053
2021-05-14,5665,5517.57852063116,147.421479368842
2021-05-17,5636,5521.19709762988,114.802902370122
2021-05-18,5672,5524.81673001017,147.183269989829
2021-05-19,5598,5528.437471762,69.5625282379954
2021-05-20,5613,5532.05943771499,80.9405622850069
2021-05-21,5639,5535.6827714531,103.3172285469
2021-05-24,5597,5539.30765001786,57.6923499821374
2021-05-25,5623,5542.93429315801,80.065706841989
2021-05-26,5573,5546.56294446996,26.4370555300359
2021-05-27,5516,5550.19388064609,-34.1938806460933
2021-05-28,5529,5553.82738930678,-24.8273893067828
2021-05-31,5548,5557.46374393804,-9.46374393803902
2021-06-01,5609,5561.10320776322,47.8967922367779
2021-06-02,5587,5564.74604009376,22.2539599062363
2021-06-03,5636,5568.3925200397,67.6074799603022
2021-06-04,5532,5572.04293590997,-40.0429359099663
2021-06-07,5492,5575.69760395972,-83.6976039597176
2021-06-08,5442,5579.35682389195,-137.356823891949
2021-06-09,5469,5583.02086081245,-114.020860812449
2021-06-10,5529,5586.68992304921,-57.6899230492112
2021-06-11,5561,5590.3641717986,-29.3641717985966
2021-06-15,5479,5594.04374441025,-115.043744410251
2021-06-16,5407,5597.72876609588,-190.728766095884
2021-06-17,5413,5601.41931451272,-188.419314512725
2021-06-18,5406,5605.11538847841,-199.11538847841
2021-06-21,5389,5608.8169089256,-219.816908925596
2021-06-22,5446,5612.52371448066,-166.523714480661
2021-06-23,5475,5616.23555290651,-141.235552906508
2021-06-24,5498,5619.95210313183,-121.952103131832
2021-06-25,5539,5623.67298570421,-84.6729857042136
2021-06-28,5545,5627.39777076116,-82.3977707611569
2021-06-29,5588,5631.12599343976,-43.1259934397579
2021-06-30,5605,5634.85715481718,-29.8571548171798
2021-07-01,5616,5638.59073814403,-22.5907381440329
2021-07-02,5668,5642.32621432919,25.6737856708092
2021-07-05,5648,5646.06304494341,1.93695505658878
2021-07-06,5672,5649.80070216997,22.1992978300261
2021-07-07,5604,5653.53865899281,-49.5386589928122
2021-07-08,5592,5657.27639757216,-65.2763975721581
2021-07-09,5517,5661.01337959095,-144.013379590952
2021-07-12,5554,5664.7490397495,-110.749039749501
2021-07-13,5481,5668.48275321876,-187.482753218764
2021-07-14,5510,5672.21384939051,-162.213849390508
2021-07-15,5520,5675.94158015867,-155.941580158666
2021-07-16,5526,5679.66513036449,-153.665130364493
2021-07-19,5609,5683.38362038926,-74.3836203892572
2021-07-20,5570,5687.09610709525,-117.096107095249
2021-07-21,5594,5690.80161659755,-96.8016165975449
2021-07-22,5625,5694.49912660842,-69.499126608422
2021-07-23,5599,5698.18757482623,-99.1875748262345
2021-07-26,5544,5701.86587022123,-157.865870221229
2021-07-27,5654,5705.53288076346,-51.5328807634632
2021-07-28,5641,5709.18740916764,-68.1874091676448
2021-07-29,5675,5712.82823684679,-37.8282368467866
2021-07-30,5621,5716.45411702801,-95.4541170280067
2021-08-02,5582,5720.06378730174,-138.063787301742
2021-08-03,5556,5723.65594580155,-167.655945801548
2021-08-04,5576,5727.22923359095,-151.229233590949
2021-08-05,5578,5730.78222243126,-152.782222431265
2021-08-06,5680,5734.31342157168,-54.3134215716809
2021-08-09,5690,5737.82127710745,-47.8212771074549
2021-08-10,5628,5741.30421268276,-113.304212682762
2021-08-11,5953,5744.76063217446,208.239367825536
2021-08-12,5920,5748.18889262391,171.811107376091
2021-08-13,6007,5751.58743715033,255.412562849672
2021-08-16,6039,5754.95477989273,284.045220107271
2021-08-17,6034,5758.28954056738,275.710459432624
2021-08-18,5988,5761.59045630338,226.409543696621
2021-08-19,5958,5764.85637819752,193.143621802481
2021-08-20,5892,5768.08625093514,123.913749064858
2021-08-23,5878,5771.27909903929,106.720900960707
2021-08-24,5916,5774.43399825429,141.566001745712
2021-08-25,5862,5777.55006843846,84.4499315615428
2021-08-26,5857,5780.6264879677,76.3735120322969
2021-08-27,5842,5783.6624701262,58.3375298737965
2021-08-30,5881,5786.65725976786,94.3427402321397
2021-08-31,5871,5789.61012586091,81.3898741390935
2021-09-01,5824,5792.52037637121,31.479623628789
2021-09-02,5884,5795.38735290783,88.6126470921688
2021-09-03,5913,5798.21041009219,114.789589907807
