"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2016-07-15",5027500,5038398.06714803,-10898.0671480259
"2016-07-18",5027250,5038509.85004928,-11259.8500492775
"2016-07-19",5030000,5038603.21611923,-8603.21611923191
"2016-07-20",5044750,5038677.61033759,6072.38966241439
"2016-07-21",5047750,5038732.47412783,9017.52587217388
"2016-07-22",5048000,5038767.25142352,9232.74857648294
"2016-07-25",5039750,5038781.38988568,968.610114322837
"2016-07-26",5049500,5038774.34099184,10725.6590081563
"2016-07-27",5045000,5038745.55661988,6254.44338011639
"2016-07-28",5058250,5038694.49308123,19555.5069187664
"2016-07-29",5053250,5038620.60927267,14629.3907273258
"2016-08-01",5046750,5038523.37217441,8226.62782558691
"2016-08-02",5053750,5038402.25481392,15347.7451860758
"2016-08-03",5059250,5038256.73361916,20993.2663808397
"2016-08-04",5060500,5038086.29136226,22413.7086377406
"2016-08-05",5073250,5037890.41949311,35359.5805068875
"2016-08-08",5073750,5037668.61872658,36081.3812734213
"2016-08-09",5079500,5037420.40439369,42079.5956063119
"2016-08-10",5082500,5037145.30674013,45354.6932598727
"2016-08-11",5087750,5036842.87340554,50907.1265944642
"2016-08-12",5099000,5036512.67077739,62487.3292226111
"2016-08-15",5106500,5036154.28628612,70345.7137138818
"2016-08-16",5095000,5035767.33319192,59232.6668080778
"2016-08-17",5092250,5035351.45383303,56898.5461669678
"2016-08-18",5092500,5034906.31503213,57593.6849678719
"2016-08-19",5085250,5034431.60713144,50818.39286856
"2016-08-22",5091500,5033927.04428012,57572.9557198751
"2016-08-23",5076500,5033392.36163359,43107.638366408
"2016-08-24",5072750,5032827.31814566,39922.6818543358
"2016-08-25",5069000,5032231.69058907,36768.3094109256
"2016-08-26",5082500,5031605.27223898,50894.7277610206
"2016-08-29",5072250,5030947.87156914,41302.1284308584
"2016-08-30",5058500,5030259.31809107,28240.6819089328
"2016-08-31",5056500,5029539.45838898,26960.5416110166
"2016-09-01",5054000,5028788.15072061,25211.8492793859
"2016-09-02",5050000,5028005.26448811,21994.735511889
"2016-09-07",5074750,5027190.67951518,47559.3204848155
"2016-09-12",5032250,5026344.28471732,5905.71528267783
"2016-09-13",5046000,5025465.98866908,20534.0113309247
"2016-09-14",5048750,5024555.70238622,24194.2976137846
"2016-09-19",5050500,5023613.34537241,26886.6546275869
"2016-09-20",5052000,5022638.84713228,29361.1528677156
"2016-09-21",5051750,5021632.14828435,30117.8517156457
"2016-09-22",5051000,5020593.20158382,30406.7984161837
"2016-09-23",5057500,5019521.97223545,37978.0277645481
"2016-09-26",5062500,5018418.43801293,44081.5619870657
"2016-09-27",5061250,5017282.5923885,43967.407611499
"2016-09-28",5060000,5016114.44705595,43885.5529440496
"2016-09-29",5059000,5014914.03188347,44085.9681165319
"2016-09-30",5059500,5013681.39487976,45818.6051202381
"2016-10-10",5076750,5012416.60227688,64333.3977231195
"2016-10-11",5071750,5011119.73924648,60630.2607535234
"2016-10-12",5065250,5009790.91755296,55459.0824470381
"2016-10-13",5070500,5008430.27402297,62069.7259770314
"2016-10-14",5073500,5007037.96840759,66462.0315924115
"2016-10-17",5076500,5005614.18611511,70885.8138848859
"2016-10-18",5074250,5004159.14002654,70090.8599734567
"2016-10-19",5083000,5002673.07232419,80326.9276758057
"2016-10-20",5094500,5001156.25416313,93343.7458368696
"2016-10-21",5097500,4999608.98990237,97891.0100976283
"2016-10-24",5080250,4998031.6224855,82218.3775145036
"2016-10-25",5075000,4996424.53532023,78575.4646797679
"2016-10-26",5064250,4994788.14580016,69461.8541998408
"2016-10-27",5076000,4993122.90379869,82877.0962013069
"2016-10-28",5078000,4991429.28790209,86570.7120979147
"2016-10-31",5062250,4989707.81095458,72542.1890454233
"2016-11-01",5066500,4987959.02158531,78540.9784146854
"2016-11-02",5068250,4986183.49840941,82066.5015905901
"2016-11-03",5076500,4984381.85250768,92118.1474923181
"2016-11-04",5076750,4982554.72888394,94195.2711160558
"2016-11-07",5064750,4980702.81061997,84047.189380029
"2016-11-08",5062000,4978826.81973404,83173.1802659565
"2016-11-09",5063000,4976927.51298621,86072.4870137855
"2016-11-10",5049000,4975005.68151695,73994.3184830546
"2016-11-11",5048250,4973062.15204559,75187.8479544109
"2016-11-14",5041000,4971097.78187778,69902.2181222155
"2016-11-15",5045250,4969113.45939882,76136.5406011788
"2016-11-16",5036750,4967110.10188875,69639.8981112471
"2016-11-17",5023000,4965088.65809942,57911.3419005828
"2016-11-18",5020750,4963050.10556898,57699.8944310221
"2016-11-21",5024750,4960995.44577381,63754.5542261948
"2016-11-22",5026750,4958925.70404111,67824.2959588929
"2016-11-23",5042500,4956841.93205167,85658.0679483274
"2016-11-24",5038000,4954745.2095221,83254.7904779034
"2016-11-25",5031250,4952636.65157659,78613.3484234147
"2016-11-28",5034500,4950517.40775352,83982.5922464806
"2016-11-29",5008000,4948388.6600869,59611.339913101
"2016-11-30",5001000,4946251.62532573,54748.3746742651
"2016-12-12",4834250,4944107.54485997,-109857.544859973
