"USDCNHDate","USDCNHClose","USDCNH_hpft","USDCNH_hpfc"
2014-11-06,6.122,6.16515080123987,-0.0431508012398731
2014-11-07,6.1359,6.16564897053195,-0.0297489705319505
2014-11-10,6.1242,6.16616101914047,-0.0419610191404687
2014-11-11,6.1286,6.16668664425605,-0.0380866442560514
2014-11-12,6.1325,6.16722552572431,-0.034725525724312
2014-11-13,6.1296,6.16777732764734,-0.038177327647339
2014-11-14,6.1303,6.16834169977313,-0.0380416997731338
2014-11-17,6.126,6.16891827606868,-0.0429182760686753
2014-11-18,6.118,6.16950667477608,-0.0515066747760818
2014-11-19,6.1252,6.17010649639674,-0.0449064963967369
2014-11-20,6.126,6.17071732014129,-0.044717320141292
2014-11-21,6.1341,6.17133870665783,-0.0372387066578266
2014-11-24,6.1591,6.17197019811007,-0.0128701981100673
2014-11-25,6.1464,6.17261132126875,-0.0262113212687505
2014-11-26,6.1492,6.17326159758463,-0.0240615975846253
2014-11-27,6.1471,6.17392053767371,-0.0268205376737145
2014-11-28,6.1604,6.17458764220596,-0.014187642205958
2014-12-01,6.1581,6.17526240076474,-0.0171624007647417
2014-12-02,6.1565,6.17594429706885,-0.0194442970688495
2014-12-03,6.1474,6.17663280774284,-0.0292328077428439
2014-12-04,6.152,6.17732740137378,-0.0253274013737779
2014-12-05,6.1597,6.17802753446504,-0.0183275344650426
2014-12-08,6.1731,6.17873265305071,-0.00563265305070777
2014-12-09,6.1892,6.17944219558896,0.00975780441104077
2014-12-10,6.1798,6.18015559820969,-0.000355598209686952
2014-12-11,6.1964,6.18087230107626,0.0155276989237403
2014-12-12,6.1954,6.18159174420506,0.0138082557949429
2014-12-15,6.1993,6.18231337403098,0.0169866259690166
2014-12-16,6.1927,6.18303664269672,0.0096633573032794
2014-12-17,6.2018,6.18376100936654,0.0180389906334587
2014-12-18,6.2209,6.18448593719916,0.0364140628008436
2014-12-19,6.2238,6.18521089680987,0.0385891031901258
2014-12-22,6.2193,6.18593537386611,0.0333646261338915
2014-12-23,6.2313,6.18665886998646,0.044641130013538
2014-12-24,6.2253,6.18738090058113,0.0379190994188719
2014-12-25,6.207,6.18810099951315,0.0188990004868479
2014-12-26,6.2179,6.1888187163198,0.0290812836802007
2014-12-29,6.2336,6.18953360835044,0.0440663916495604
2014-12-30,6.2167,6.19024524497546,0.0264547550245361
2014-12-31,6.2165,6.19095321378054,0.0255467862194604
2015-01-01,6.219,6.19165711328666,0.027342886713337
2015-01-02,6.2285,6.19235655257486,0.0361434474251386
2015-01-03,6.228,6.19305115202859,0.0349488479714143
2015-01-05,6.2279,6.19374054697154,0.0341594530284552
2015-01-06,6.2122,6.19442438717391,0.017775612826086
2015-01-07,6.2158,6.19510233652599,0.0206976634740124
2015-01-08,6.2183,6.1957740662658,0.0225259337342013
2015-01-09,6.2054,6.19643925618696,0.00896074381304062
2015-01-12,6.1973,6.1970975953944,0.000202404605598996
2015-01-13,6.1964,6.19774877669705,-0.00134877669705393
2015-01-14,6.1942,6.19839249298751,-0.00419249298751281
2015-01-15,6.2107,6.19902843660086,0.0116715633991398
2015-01-16,6.2359,6.19965629813915,0.0362437018608478
2015-01-17,6.232,6.20027577302903,0.0317242269709742
2015-01-19,6.2239,6.20088657167876,0.0230134283212376
2015-01-20,6.2215,6.2014884176102,0.0200115823898028
2015-01-21,6.2167,6.20208104385799,0.014618956142007
2015-01-22,6.2212,6.20266419172878,0.018535808271223
2015-01-23,6.2519,6.20323760857209,0.0486623914279132
2015-01-26,6.2541,6.20380104939939,0.0502989506006106
2015-01-27,6.2434,6.20435428933724,0.0390457106627606
2015-01-28,6.2588,6.20489712430378,0.0539028756962196
2015-01-29,6.2618,6.20542936635704,0.0563706336429591
2015-01-30,6.2835,6.20595084983638,0.0775491501636154
2015-01-31,6.2806,6.20646143238247,0.0741385676175258
2015-02-02,6.2694,6.20696100369171,0.0624389963082905
2015-02-03,6.2577,6.20744948410637,0.0502505158936268
2015-02-04,6.2561,6.20792681977852,0.0481731802214803
2015-02-05,6.2426,6.20839297763173,0.034207022368275
2015-02-06,6.2484,6.20884794450248,0.0395520554975162
2015-02-09,6.2539,6.20929172136702,0.0446082786329848
