"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2019-09-04,3465,3591.33534310852,-126.335343108524
2019-09-05,3442,3588.85807192435,-146.858071924354
2019-09-06,3394,3586.38183654882,-192.381836548824
2019-09-09,3528,3583.9080362107,-55.9080362107002
2019-09-10,3522,3581.43799061584,-59.4379906158392
2019-09-11,3515,3578.97299635996,-63.9729963599635
2019-09-12,3568,3576.51432546951,-8.51432546950956
2019-09-16,3564,3574.06322352708,-10.0632235270754
2019-09-17,3529,3571.62093259576,-42.6209325957593
2019-09-18,3510,3569.18869057893,-59.1886905789287
2019-09-19,3428,3566.76771776218,-138.767717762178
2019-09-20,3400,3564.35920996486,-164.359209964859
2019-09-23,3509,3561.96430564536,-52.9643056453627
2019-09-24,3501,3559.58407532257,-58.5840753225699
2019-09-25,3511,3557.21956762206,-46.219567622062
2019-09-26,3460,3554.87180695306,-94.8718069530588
2019-09-27,3443,3552.54179861956,-109.541798619558
2019-09-30,3463,3550.23050870932,-87.2305087093234
2019-10-08,3416,3547.93885802994,-131.938858029943
2019-10-09,3428,3545.66773133142,-117.66773133142
2019-10-10,3399,3543.41795882557,-144.417958825572
2019-10-11,3372,3541.19032208508,-169.190322085076
2019-10-14,3344,3538.98554298604,-194.985542986043
2019-10-15,3331,3536.80427346804,-205.804273468045
2019-10-16,3287,3534.64708487155,-247.647084871549
2019-10-17,3312,3532.5144634658,-220.514463465801
2019-10-18,3300,3530.40679315265,-230.406793152654
2019-10-21,3285,3528.32436668225,-243.324366682254
2019-10-22,3313,3526.26738156375,-213.267381563754
2019-10-23,3315,3524.23593472584,-209.235934725839
2019-10-24,3356,3522.23003494094,-166.230034940943
2019-10-25,3360,3520.24960449187,-160.249604491871
2019-10-28,3341,3518.29449694859,-177.29449694859
2019-10-29,3359,3516.36449964037,-157.364499640373
2019-10-30,3365,3514.45932661001,-149.459326610015
2019-10-31,3351,3512.57862685214,-161.578626852142
2019-11-01,3358,3510.72198758095,-152.721987580953
2019-11-04,3347,3508.88892922053,-161.88892922053
2019-11-05,3385,3507.07890906585,-122.078909065851
2019-11-06,3393,3505.29131749342,-112.291317493424
2019-11-07,3364,3503.52549441736,-139.525494417357
2019-11-08,3354,3501.78073333497,-147.780733334971
2019-11-11,3321,3500.0562700694,-179.056270069397
2019-11-12,3380,3498.35127935711,-118.351279357113
2019-11-13,3377,3496.66486191998,-119.664861919981
2019-11-14,3467,3494.99606955816,-27.9960695581622
2019-11-15,3484,3493.34390460723,-9.34390460723258
2019-11-18,3471,3491.70735783025,-20.7073578302504
2019-11-19,3501,3490.08541612791,10.9145838720856
2019-11-20,3529,3488.47705784133,40.522942158669
2019-11-21,3496,3486.88126582326,9.11873417673799
2019-11-22,3531,3485.297039677,45.7029603229952
2019-11-25,3582,3483.72338277521,98.2766172247896
2019-11-26,3533,3482.15931738227,50.840682617728
2019-11-27,3522,3480.60390638618,41.3960936138248
2019-11-28,3555,3479.05623369043,75.9437663095717
2019-11-29,3556,3477.51540030998,78.4845996900161
2019-12-02,3609,3475.98053865191,133.019461348091
2019-12-03,3578,3474.45081356567,103.549186434334
2019-12-04,3600,3472.9254448856,127.074555114396
2019-12-05,3619,3471.40369524913,147.596304750873
2019-12-06,3621,3469.88487982117,151.115120178834
2019-12-09,3677,3468.36837477702,208.631625222983
2019-12-10,3685,3466.8536187569,218.146381243099
2019-12-11,3735,3465.34013664096,269.65986335904
2019-12-12,3784,3463.82754348228,320.172456517723
2019-12-13,3732,3462.31556580048,269.68443419952
2019-12-16,3523,3460.80406246161,62.1959375383852
2019-12-17,3540,3459.29300380843,80.7069961915727
2019-12-18,3538,3457.78238589296,80.2176141070355
2019-12-19,3544,3456.2722381283,87.7277618717004
2019-12-20,3526,3454.76262308624,71.2373769137587
2019-12-23,3572,3453.25363960173,118.746360398271
