"J0Date","J0Close","J0_hpft","J0_hpfc"
2011-10-26,1968,2096.0018991497,-128.001899149698
2011-10-27,1972,2094.09502223637,-122.095022236366
2011-10-28,1980,2092.21734199448,-112.217341994476
2011-10-31,1960,2090.36906579808,-130.369065798079
2011-11-01,1955,2088.55035463508,-133.550354635079
2011-11-02,1947,2086.76131560414,-139.761315604136
2011-11-03,1935,2085.00200059943,-150.002000599426
2011-11-04,1967,2083.27240374352,-116.272403743517
2011-11-07,1962,2081.57245715416,-119.572457154157
2011-11-08,1978,2079.90204488673,-101.902044886729
2011-11-09,1979,2078.2610015702,-99.2610015702008
2011-11-10,1946,2076.64911971138,-130.64911971138
2011-11-11,2039,2075.0661507865,-36.066150786497
2011-11-14,2029,2073.51179226672,-44.5117922667241
2011-11-15,2038,2071.98572671498,-33.985726714977
2011-11-16,2015,2070.48761829467,-55.4876182946653
2011-11-17,2023,2069.01711712092,-46.0171171209227
2011-11-18,2009,2067.57385037258,-58.5738503725812
2011-11-21,1993,2066.15742620684,-73.1574262068371
2011-11-22,1990,2064.76742856869,-74.7674285686931
2011-11-23,1973,2063.40341116301,-90.4034111630052
2011-11-24,1972,2062.06489678862,-90.0648967886211
2011-11-25,1963,2060.75137087534,-97.7513708753437
2011-11-28,1963,2059.46228162373,-96.4622816237272
2011-11-29,1972,2058.19703682787,-86.1970368278723
2011-11-30,1984,2056.95500440823,-72.9550044082349
2011-12-01,2006,2055.73551665483,-49.7355166548326
2011-12-02,1995,2054.53787570107,-59.5378757010704
2011-12-05,2000,2053.36136312172,-53.3613631217202
2011-12-06,1974,2052.20523588092,-78.2052358809227
2011-12-07,1979,2051.0687288854,-72.0687288854041
2011-12-08,1968,2049.95104471503,-81.951044715025
2011-12-09,1992,2048.85135615932,-56.851356159318
2011-12-12,1958,2047.76880213252,-89.7688021325178
2011-12-13,1961,2046.7024980488,-85.7024980487999
2011-12-14,1949,2045.65152221558,-96.6515222155781
2011-12-15,1926,2044.61491751423,-118.614917514226
2011-12-16,1968,2043.59168687427,-75.5916868742727
2011-12-19,1968,2042.58078419467,-74.5807841946686
2011-12-20,1974,2041.58113212777,-67.5811321277714
2011-12-21,1977,2040.59162249722,-63.5916224972163
2011-12-22,1977,2039.61111919135,-62.6111191913475
2011-12-23,1969,2038.63845981228,-69.638459812276
2011-12-26,1956,2037.67245608119,-81.6724560811906
2011-12-27,1956,2036.71189093355,-80.7118909335485
2011-12-28,1983,2035.75551354469,-52.7555135446921
2011-12-29,1984,2034.80203972692,-50.8020397269221
2011-12-30,2000,2033.85016348553,-33.8501634855255
2012-01-04,1990,2032.89855782627,-42.8985578262705
2012-01-05,1999,2031.94588176263,-32.945881762631
2012-01-06,2034,2030.99077657554,3.00922342445846
2012-01-09,2033,2030.03186992743,2.96813007257187
2012-01-10,2038,2029.06779072461,8.93220927539118
2012-01-11,2064,2028.09716910032,35.902830899681
2012-01-12,2066,2027.11863888,38.881361120004
2012-01-13,2041,2026.13084872987,14.8691512701327
2012-01-16,2045,2025.13246338817,19.867536611825
2012-01-17,2065,2024.12215373942,40.8778462605776
2012-01-18,2064,2023.0985988806,40.9014011194043
2012-01-19,2072,2022.06049480592,49.9395051940848
2012-01-20,2071,2021.00655441661,49.9934455833944
2012-01-30,2088,2019.93551125689,68.0644887431062
2012-01-31,2095,2018.84611953625,76.1538804637528
2012-02-01,2080,2017.73716159929,62.2628384007075
2012-02-02,2082,2016.60745126956,65.3925487304366
2012-02-03,2084,2015.45582810759,68.5441718924129
2012-02-06,2111,2014.28115870454,96.7188412954622
2012-02-07,2092,2013.08233798498,78.9176620150154
2012-02-08,2111,2011.85830085317,99.1416991468332
2012-02-09,2083,2010.60801483473,72.3919851652704
2012-02-10,2075,2009.33048843649,65.6695115635145
2012-02-13,2071,2008.02476008923,62.9752399107705
