"CT00YDate","CT00YClose","CT00Y_hpft","CT00Y_hpfc"
2016-09-05,67.84,69.1635263681814,-1.32352636818134
2016-09-06,69.28,69.2163755783908,0.0636244216091819
2016-09-07,69.52,69.2688646547111,0.251135345288941
2016-09-08,69.37,69.3210117672131,0.0489882327868923
2016-09-09,69.24,69.3728351897776,-0.132835189777571
2016-09-12,66.97,69.4243532165352,-2.45435321653519
2016-09-13,67.19,69.4755840867063,-2.28558408670634
2016-09-14,67.8,69.5265450249814,-1.72654502498141
2016-09-15,67.82,69.5772523112818,-1.75725231128183
2016-09-16,67.47,69.6277215118454,-2.15772151184538
2016-09-19,68.47,69.6779674665322,-1.20796746653217
2016-09-20,70.83,69.7280041232868,1.1019958767132
2016-09-21,71.59,69.7778449307293,1.81215506927074
2016-09-22,71.76,69.8275037929993,1.9324962070007
2016-09-23,70.14,69.8769953633097,0.2630046366903
2016-09-26,70.11,69.9263350936889,0.183664906311047
2016-09-27,69.89,69.975538544881,-0.0855385448810491
2016-09-28,68.9,70.0246213535499,-1.1246213535499
2016-09-29,67.8,70.0735991210011,-2.2735991210011
2016-09-30,68.26,70.1224869836672,-1.86248698366723
2016-10-03,68.69,70.1712991381662,-1.48129913816619
2016-10-04,69.84,70.2200490112385,-0.380049011238538
2016-10-05,67.89,70.2687494173155,-2.37874941731551
2016-10-06,67.79,70.3174130137314,-2.52741301373136
2016-10-07,67.19,70.366051474541,-3.17605147454101
2016-10-10,67.61,70.4146754290684,-2.80467542906837
2016-10-11,67.38,70.4632941937855,-3.08329419378548
2016-10-12,69.1,70.5119159258243,-1.41191592582431
2016-10-13,69.47,70.5605475078069,-1.09054750780695
2016-10-14,70.73,70.6091952387263,0.120804761273743
2016-10-17,71.36,70.6578649667866,0.702135033213374
2016-10-18,71.15,70.7065625901282,0.443437409871774
2016-10-19,71.3,70.7552942971258,0.544705702874201
2016-10-20,69.92,70.8040664594529,-0.88406645945291
2016-10-21,69.28,70.852885673943,-1.57288567394294
2016-10-24,69.05,70.9017581719914,-1.85175817199143
2016-10-25,68.76,70.9506895348265,-2.19068953482649
2016-10-26,69.6,70.9996845782337,-1.39968457823373
2016-10-27,69.92,71.0487472124559,-1.12874721245585
2016-10-28,71.09,71.0978807691622,-0.0078807691621793
2016-10-31,69.11,71.1470881134434,-2.03708811344341
2016-11-01,68.44,71.1963721071327,-2.75637210713273
2016-11-02,68.91,71.2457347700126,-2.33573477001258
2016-11-03,68.49,71.2951769824926,-2.80517698249258
2016-11-04,68.84,71.344698659483,-2.50469865948304
2016-11-07,68.95,71.3942985563473,-2.44429855634725
2016-11-08,69.24,71.4439743931066,-2.2039743931066
2016-11-09,68.73,71.4937228794079,-2.76372287940786
2016-11-10,69.86,71.5435398138633,-1.68353981386327
2016-11-11,69.11,71.5934198526733,-2.48341985267332
2016-11-14,69.38,71.6433569561309,-2.26335695613089
2016-11-15,70.65,71.6933440579826,-1.04334405798261
2016-11-16,71.9,71.7433731563947,0.156626843605286
2016-11-17,72.8,71.7934358182568,1.00656418174325
2016-11-18,72.28,71.8435236752016,0.436476324798412
2016-11-21,72.53,71.893628774934,0.636371225066049
2016-11-22,72.38,71.9437433455829,0.436256654417055
2016-11-23,71.88,71.9938598783266,-0.113859878326628
2016-11-25,71.36,72.043971044674,-0.683971044673993
2016-11-28,72.22,72.094069469069,0.125930530930999
2016-11-29,71.28,72.1441474932294,-0.864147493229413
2016-11-30,71.64,72.1941975109276,-0.55419751092761
2016-12-01,70.92,72.2442115587323,-1.3242115587323
2016-12-02,71.2,72.294181444129,-1.09418144412895
2016-12-05,71.17,72.3440984272275,-1.17409842722748
2016-12-06,71.49,72.3939533158472,-0.903953315847159
2016-12-07,71.28,72.4437364324819,-1.16373643248194
2016-12-08,71.37,72.4934377259681,-1.12343772596805
2016-12-09,70.65,72.5430466640997,-1.89304666409968
2016-12-12,71.63,72.5925522502874,-0.962552250287373
2016-12-13,71.88,72.6419427054322,-0.761942705432215
2016-12-14,71.32,72.6912058525545,-1.37120585255451
2016-12-15,71.54,72.7403291997183,-1.20032919971833
2016-12-16,70.93,72.7892996881869,-1.85929968818685
2016-12-19,69.62,72.8381037630548,-3.21810376305482
2016-12-20,69.4,72.8867271008574,-3.48672710085735
2016-12-21,70.26,72.935154047895,-2.67515404789498
2016-12-22,70.15,72.983367509195,-2.83336750919497
2016-12-23,69.94,73.0313492839845,-3.09134928398451
2016-12-27,69.84,73.0790800002901,-3.23908000029013
2016-12-28,69.88,73.126539008298,-3.24653900829805
2016-12-29,70.52,73.1737043192902,-2.65370431929021
2016-12-30,70.73,73.2205526025598,-2.49055260255979
2017-01-03,71.68,73.2670594304646,-1.58705943046456
2017-01-04,73.89,73.3131993458687,0.576800654131302
2017-01-05,73.68,73.3589462356091,0.3210537643909
2017-01-06,73.81,73.4042742249504,0.405725775049608
2017-01-09,72.95,73.4491575718656,-0.49915757186564
2017-01-10,73.06,73.4935707020403,-0.433570702040277
2017-01-11,73.18,73.5374878348269,-0.357487834826875
2017-01-12,72.44,73.5808830103591,-1.14088301035908
2017-01-13,72.29,73.6237301209987,-1.33373012099874
2017-01-17,72.23,73.6660025875115,-1.43600258751153
2017-01-18,72.36,73.7076732793524,-1.34767327935245
2017-01-19,72.88,73.748714472394,-0.868714472394051
2017-01-20,73.04,73.78909788543,-0.749097885429972
2017-01-23,74.72,73.8287948781655,0.891205121834522
2017-01-24,73.7,73.8677765006589,-0.167776500658867
2017-01-25,74.02,73.906014171356,0.113985828644021
2017-01-26,74.23,73.943479239351,0.286520760649016
2017-01-27,74.83,73.9801431008564,0.849856899143646
2017-01-30,74.24,74.0159772705174,0.224022729482552
2017-01-31,75,74.0509536142787,0.949046385721311
2017-02-01,76.26,74.0850440906864,2.17495590931358
2017-02-02,76.86,74.1182210505835,2.74177894941649
2017-02-03,76.41,74.1504577438538,2.25954225614615
2017-02-06,75.87,74.1817285537202,1.68827144627977
2017-02-07,75.52,74.2120087974118,1.30799120258818
2017-02-08,75.74,74.2412744900212,1.49872550997879
2017-02-09,76.19,74.2695021873089,1.92049781269106
2017-02-10,76.45,74.2966690645505,2.15333093544954
2017-02-13,77.47,74.322753090878,3.14724690912198
2017-02-14,77.34,74.3477331255258,2.99226687447424
2017-02-15,76.83,74.3715893286709,2.45841067132908
2017-02-16,76.36,74.3943030973706,1.96569690262936
2017-02-17,75.19,74.4158568448959,0.774143155104146
2017-02-21,75.58,74.4362337970557,1.14376620294431
2017-02-22,75.37,74.4554174996572,0.914582500342778
2017-02-23,75.92,74.4733919712974,1.44660802870262
2017-02-24,76.31,74.4901416086207,1.81985839137933
2017-02-27,75.97,74.5056514062458,1.46434859375419
2017-02-28,76.16,74.5199071110434,1.6400928889566
2017-03-01,77.55,74.532895075189,3.01710492481097
2017-03-02,76.69,74.5446023288072,2.14539767119279
2017-03-03,77.47,74.5550171491722,2.91498285082778
2017-03-06,78.63,74.5641287003801,4.06587129961993
2017-03-07,77.64,74.5719273514612,3.06807264853878
2017-03-08,77.75,74.5784051521165,3.17159484788347
