"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2011-01-06,19840,18782.5762205237,1057.42377947628
2011-01-07,19130,18783.8969124235,346.103087576475
2011-01-10,19115,18784.8282420947,330.171757905256
2011-01-11,19215,18785.3711313983,429.628868601673
2011-01-12,19285,18785.5266386769,499.473361323078
2011-01-13,19420,18785.2959998618,634.704000138182
2011-01-14,19350,18784.6806573487,565.319342651275
2011-01-17,19300,18783.6823158927,516.317684107344
2011-01-18,19210,18782.3029139305,427.69708606952
2011-01-19,19485,18780.5446033229,704.455396677074
2011-01-20,19040,18778.4097127244,261.590287275577
2011-01-21,18810,18775.900861982,34.0991380179794
2011-01-24,18835,18773.0207790742,61.9792209257852
2011-01-25,18125,18769.7722060748,-644.772206074769
2011-01-26,18160,18766.1579106767,-606.157910676661
2011-01-27,18255,18762.1803940506,-507.180394050641
2011-01-28,18360,18757.8419068057,-397.84190680568
2011-01-31,18700,18753.1444899028,-53.1444899028251
2011-02-01,19460,18748.0900198512,711.909980148794
2011-02-09,19250,18742.6803511928,507.319648807179
2011-02-10,19395,18736.9176327441,658.082367255922
2011-02-11,19305,18730.8042230263,574.195776973705
2011-02-14,19675,18724.3427525861,950.657247413852
2011-02-15,19620,18717.536089321,902.463910678998
2011-02-16,19955,18710.3874940902,1244.61250590978
2011-02-17,19760,18702.9006007948,1057.09939920516
2011-02-18,19945,18695.07955781,1249.92044219
2011-02-21,20420,18686.9289504729,1733.07104952707
2011-02-22,19740,18678.4538807875,1061.54611921249
2011-02-23,19330,18669.66016714,660.339832859952
2011-02-24,19140,18660.5540667165,479.445933283478
2011-02-25,19250,18651.1421096609,598.857890339092
2011-02-28,19450,18641.4310243015,808.568975698452
2011-03-01,19315,18631.4277865104,683.572213489604
2011-03-02,19235,18621.1397063884,613.860293611571
2011-03-03,19120,18610.5743765989,509.425623401054
2011-03-04,19270,18599.7396435498,670.260356450238
2011-03-07,18860,18588.6435642252,271.356435774826
2011-03-08,18080,18577.2944726682,-497.294472668225
2011-03-09,18315,18565.7008150889,-250.70081508889
2011-03-10,17735,18553.8708321369,-818.870832136923
2011-03-11,17745,18541.8126608311,-796.812660831121
2011-03-14,18045,18529.5340997033,-484.534099703324
2011-03-15,18035,18517.0426179138,-482.042617913821
2011-03-16,18175,18504.3454843369,-329.345484336918
2011-03-17,17790,18491.4497685893,-701.449768589308
2011-03-18,18310,18478.3624041498,-168.362404149801
2011-03-21,18005,18465.0900345462,-460.090034546185
2011-03-22,18180,18451.6392337117,-271.639233711654
2011-03-23,18600,18438.0163853968,161.983614603178
2011-03-24,18580,18424.2277610676,155.772238932374
2011-03-25,18605,18410.2796991472,194.720300852754
2011-03-28,18315,18396.1786024497,-81.1786024496584
2011-03-29,18280,18381.9309542776,-101.930954277603
2011-03-30,18375,18367.5432043777,7.45679562231132
2011-03-31,18240,18353.0217603631,-113.021760363073
2011-04-01,18170,18338.3730329287,-168.373032928723
2011-04-06,18580,18323.6033860512,256.396613948766
2011-04-07,18545,18308.7191141085,236.280885891535
2011-04-08,18795,18293.7266174624,501.273382537605
2011-04-11,18805,18278.632394144,526.36760585602
2011-04-12,18590,18263.4431493903,326.55685060973
2011-04-13,18565,18248.1658060178,316.834193982214
2011-04-14,18345,18232.8074218283,112.192578171718
2011-04-15,18270,18217.3751855902,52.6248144098102
2011-04-18,18265,18201.8763324477,63.1236675522949
2011-04-19,17560,18186.3181192981,-626.318119298096
2011-04-20,17825,18170.7078291315,-345.707829131531
2011-04-21,17780,18155.0524860432,-375.052486043186
2011-04-22,17580,18139.3589712268,-559.358971226764
2011-04-25,17245,18123.6340108442,-878.634010844164
2011-04-26,17340,18107.8840998409,-767.884099840903
2011-04-27,17245,18092.1153699706,-847.115369970549
2011-04-28,17480,18076.3336355741,-596.333635574146
2011-04-29,17320,18060.5443608294,-740.544360829389
2011-05-03,17250,18044.7527634136,-794.752763413611
2011-05-04,17215,18028.9637548929,-813.963754892874
2011-05-05,16720,18013.1819183144,-1293.18191831441
2011-05-06,16330,17997.4115002656,-1667.41150026558
2011-05-09,16720,17981.6562127843,-1261.65621278431
2011-05-10,16835,17965.9190786677,-1130.91907866774
2011-05-11,16750,17950.2025991949,-1200.20259919492
2011-05-12,16270,17934.5088081686,-1664.50880816856
2011-05-13,16860,17918.8392432758,-1058.83924327584
2011-05-16,16695,17903.1947541629,-1208.1947541629
2011-05-17,16750,17887.5757527944,-1137.57575279438
2011-05-18,16780,17871.9821517157,-1091.98215171567
2011-05-19,16860,17856.4133932442,-996.413393244239
2011-05-20,16770,17840.8684683159,-1070.86846831592
2011-05-23,16460,17825.3459559894,-1365.3459559894
2011-05-24,16605,17809.8439926694,-1204.84399266935
2011-05-25,16905,17794.3601503813,-889.360150381342
2011-05-26,17325,17778.8915031169,-453.891503116939
2011-05-27,17450,17763.4347572423,-313.434757242307
2011-05-30,17270,17747.9864315024,-477.986431502361
2011-05-31,17340,17732.5429150811,-392.542915081069
2011-06-01,17240,17717.100399582,-477.100399582041
2011-06-02,17220,17701.6549143474,-481.654914347424
2011-06-03,17475,17686.2022915052,-211.202291505241
2011-06-07,17475,17670.7381640868,-195.738164086767
2011-06-08,17355,17655.2580778207,-300.258077820705
2011-06-09,17360,17639.7574975255,-279.757497525493
2011-06-10,17540,17624.231763905,-84.2317639049496
2011-06-13,17390,17608.6761020224,-218.676102022439
2011-06-14,17420,17593.0857021232,-173.085702123217
2011-06-15,17485,17577.4556640607,-92.4556640607074
2011-06-16,17190,17561.7810161415,-371.781016141548
2011-06-17,17125,17546.056748455,-421.05674845501
2011-06-20,16935,17530.2776974111,-595.277697411086
2011-06-21,17180,17514.4385253718,-334.438525371776
2011-06-22,17155,17498.5336486352,-343.533648635169
2011-06-23,17240,17482.557345256,-242.557345256012
2011-06-24,17455,17466.503751286,-11.503751286002
2011-06-27,17190,17450.3669025135,-260.366902513457
2011-06-28,17360,17434.1408299715,-74.1408299714944
2011-06-29,17475,17417.819457068,57.1805429319591
2011-06-30,17760,17401.3966765639,358.603323436125
2011-07-01,17810,17384.8664048565,425.133595143526
2011-07-04,18100,17368.2227065751,731.777293424925
2011-07-05,18080,17351.4598220821,728.540177917876
2011-07-06,18175,17334.5722942275,840.427705772498
2011-07-07,18140,17317.5549670104,822.445032989632
2011-07-08,18175,17300.4030318285,874.596968171541
2011-07-11,17960,17283.1120200454,676.887979954581
2011-07-12,17895,17265.6778245486,629.32217545143
2011-07-13,18325,17248.096618023,1076.90338197705
2011-07-14,18305,17230.3648332904,1074.63516670956
2011-07-15,18150,17212.4793483211,937.520651678877
2011-07-18,18255,17194.4374852963,1060.56251470366
2011-07-19,18770,17176.2369539308,1593.76304606919
2011-07-20,18695,17157.8759023325,1537.12409766751
2011-07-21,18560,17139.3531374078,1420.64686259224
2011-07-22,18790,17120.6681014477,1669.33189855226
2011-07-25,18530,17101.820823982,1428.17917601804
2011-07-26,18900,17082.8120245747,1817.18797542528
2011-07-27,19085,17063.6430131426,2021.35698685736
2011-07-28,18910,17044.315850754,1865.68414924599
2011-07-29,18735,17024.8334340247,1710.16656597534
2011-08-01,18915,17005.1994307701,1909.80056922992
2011-08-02,18455,16985.4182157192,1469.5817842808
2011-08-03,18395,16965.4949530361,1429.50504696392
2011-08-04,18250,16945.4354143507,1304.56458564934
2011-08-05,17165,16925.2459621926,239.754037807389
2011-08-08,16755,16904.9334983463,-149.933498346324
2011-08-09,16400,16884.505023701,-484.505023701038
2011-08-10,16710,16863.9674771692,-153.967477169162
2011-08-11,16780,16843.3275973885,-63.3275973885015
2011-08-12,16845,16822.5920593526,22.4079406474416
2011-08-15,17055,16801.7675118781,253.232488121939
2011-08-16,16600,16780.8606130443,-180.860613044262
2011-08-17,16975,16759.8781256064,215.121874393572
2011-08-18,17030,16738.8267375593,291.173262440731
2011-08-19,16885,16717.7132258204,167.28677417964
2011-08-22,16765,16696.5444876665,68.4555123334992
2011-08-23,16915,16675.3274895242,239.672510475792
2011-08-24,16910,16654.0692261167,255.930773883334
2011-08-25,17085,16632.7767912381,452.22320876191
2011-08-26,17090,16611.4573844742,478.542615525828
2011-08-29,17125,16590.1183923415,534.881607658544
2011-08-30,17315,16568.7673991668,746.232600833155
2011-08-31,17360,16547.4122103757,812.587789624259
2011-09-01,17205,16526.0609398561,678.939060143916
2011-09-02,17065,16504.722037387,560.277962613038
2011-09-05,16945,16483.4042333936,461.595766606432
2011-09-06,16855,16462.1164898974,392.883510102577
2011-09-07,17145,16440.8679597252,704.132040274772
2011-09-08,17070,16419.6679581059,650.332041894067
2011-09-09,17125,16398.5260913283,726.473908671656
2011-09-13,16945,16377.4522345023,567.547765497684
2011-09-14,16710,16356.4565630329,353.543436967118
2011-09-15,16750,16335.5494869265,414.450513073513
2011-09-16,16845,16314.7415623302,530.258437669829
2011-09-19,16210,16294.0435167084,-84.0435167083523
2011-09-20,16285,16273.4662967127,11.5337032873292
2011-09-21,16455,16253.0208142546,201.979185745405
2011-09-22,15855,16232.7179860135,-377.717986013473
2011-09-23,15055,16212.568812158,-1157.56881215801
2011-09-26,14340,16192.5841367248,-1852.58413672475
2011-09-27,14975,16172.774325257,-1197.77432525696
2011-09-28,15005,16153.1489775137,-1148.14897751367
2011-09-29,14685,16133.7171981429,-1448.71719814293
2011-09-30,15400,16114.4876171941,-714.487617194126
2011-10-10,15110,16095.4682658751,-985.468265875087
2011-10-11,15135,16076.666880053,-941.666880053045
2011-10-12,15205,16058.0907882424,-853.090788242433
2011-10-13,15160,16039.7469297106,-879.746929710572
2011-10-14,15295,16021.6418910911,-726.641891091114
2011-10-17,15260,16003.7818953655,-743.781895365514
2011-10-18,14515,15986.1728651515,-1471.17286515147
