"FTSEDate","FTSEClose","FTSE_hpft","FTSE_hpfc"
2015-02-23,6912.16,6804.1535260155,108.006473984505
2015-02-24,6949.63,6806.44418467859,143.185815321414
2015-02-25,6935.38,6808.68424404847,126.695755951527
2015-02-26,6949.73,6810.87169817837,138.858301821632
2015-02-27,6946.66,6813.00459349229,133.655406507711
2015-03-02,6940.64,6815.08103381271,125.558966187286
2015-03-03,6889.13,6817.09917821,72.0308217899979
2015-03-04,6919.24,6819.05723765551,100.182762344487
2015-03-05,6961.14,6820.95345289511,140.186547104889
2015-03-06,6911.8,6822.78610608621,89.0138939137902
2015-03-09,6876.47,6824.55353733398,51.9164626660235
2015-03-10,6702.84,6826.25412353787,-123.414123537867
2015-03-11,6721.51,6827.88626305789,-106.376263057889
2015-03-12,6761.07,6829.44830323965,-68.3783032396457
2015-03-13,6740.58,6830.93854745682,-90.3585474568171
2015-03-16,6804.08,6832.35527081833,-28.2752708183263
2015-03-17,6837.61,6833.69671108263,3.91328891736968
2015-03-18,6945.2,6834.96109432019,110.238905679812
2015-03-19,6962.32,6836.14664821923,126.173351780766
2015-03-20,7022.51,6837.25164603603,185.258353963974
2015-03-23,7037.67,6838.27441318209,199.39558681791
2015-03-24,7019.68,6839.21335164711,180.466648352888
2015-03-25,6990.97,6840.06694584308,150.90305415692
2015-03-26,6895.33,6840.83375477967,54.4962452203293
2015-03-27,6855.02,6841.51239984343,13.5076001565686
2015-03-30,6891.43,6842.10152494786,49.3284750521418
2015-03-31,6773.04,6842.59977958972,-69.5597795897228
2015-04-01,6809.5,6843.00583365621,-33.5058336562081
2015-04-02,6833.46,6843.31832828144,-9.85832828143707
2015-04-07,6961.77,6843.53589074966,118.234109250345
2015-04-08,6937.41,6843.65714426975,93.7528557302533
2015-04-09,7015.36,6843.68076092394,171.679239076055
2015-04-10,7089.77,6843.60545154825,246.164548451754
2015-04-13,7064.3,6843.42999794394,220.870002056059
2015-04-14,7075.26,6843.15328366672,232.106716333285
2015-04-15,7096.78,6842.77428357121,254.005716428794
2015-04-16,7060.45,6842.29206845546,218.157931544539
2015-04-17,6994.63,6841.7058141135,152.924185886499
2015-04-20,7052.13,6841.01478651679,211.115213483208
2015-04-21,7062.93,6840.21831484957,222.711685150431
2015-04-22,7028.24,6839.31581556263,188.924184437368
2015-04-23,7053.67,6838.30679716692,215.363202833081
2015-04-24,7070.7,6837.19084626707,233.509153732925
2015-04-27,7103.98,6835.96763849,268.012361509997
2015-04-28,7030.53,6834.63694598604,195.893054013956
2015-04-29,6946.28,6833.19865169091,113.081348309087
2015-04-30,6960.63,6831.65271951509,128.977280484913
2015-05-01,6985.95,6829.99916011201,155.95083988799
2015-05-05,6927.58,6828.23803744903,99.3419625509715
2015-05-06,6933.74,6826.36947995743,107.370520042571
2015-05-07,6886.95,6824.39365713245,62.5563428675461
2015-05-08,7046.82,6822.31078285197,224.509217148032
2015-05-11,7029.85,6820.12109685226,209.728903147741
2015-05-12,6933.8,6817.82493167249,115.975068327508
2015-05-13,6949.63,6815.42270654545,134.207293454552
2015-05-14,6973.04,6812.91488864352,160.125111356479
2015-05-15,6960.49,6810.30200061467,150.187999385329
2015-05-18,6968.87,6807.58463129629,161.285368703707
2015-05-19,6995.1,6804.76343160742,190.336568392584
2015-05-20,7007.26,6801.83911913593,205.420880864066
2015-05-21,7013.47,6798.8124901473,214.657509852697
2015-05-22,7031.72,6795.68442581973,236.035574180274
2015-05-26,6948.99,6792.45589606221,156.534103937789
2015-05-27,7033.33,6789.1279683512,244.202031648804
2015-05-28,7040.92,6785.70177486822,255.218225131784
2015-05-29,6984.43,6782.17854873797,202.251451262028
2015-06-01,6953.58,6778.55962858216,175.020371417839
2015-06-02,6928.27,6774.84643662508,153.423563374916
2015-06-03,6950.46,6771.04046743757,179.419532562432
2015-06-04,6859.24,6767.14327900942,92.0967209905815
2015-06-05,6804.6,6763.15650349518,41.4434965048246
2015-06-08,6790.04,6759.08181111866,30.9581888813431
2015-06-09,6753.8,6754.92088923479,-1.12088923479075
2015-06-10,6830.27,6750.67543799518,79.5945620048245
2015-06-11,6846.74,6746.34715708807,100.392842911926
2015-06-12,6784.92,6741.93777910326,42.9822208967435
2015-06-15,6710.52,6737.44907812857,-26.9290781285678
2015-06-16,6710.1,6732.88284601902,-22.7828460190178
2015-06-17,6680.55,6728.24086349809,-47.6908634980937
2015-06-18,6707.88,6723.52490187214,-15.6449018721387
2015-06-19,6710.45,6718.73671273362,-8.28671273362165
2015-06-22,6725.67,6713.87804120838,11.7919587916182
2015-06-23,6834.87,6708.95062899668,125.919371003324
2015-06-24,6844.8,6703.95622267307,140.843777326933
2015-06-25,6807.82,6698.89662086211,108.923379137885
2015-06-26,6753.7,6693.77368040756,59.9263195924382
2015-06-29,6620.48,6688.58930317767,-68.1093031776667
2015-06-30,6520.98,6683.34541581188,-162.365415811883
2015-07-01,6608.59,6678.04391679606,-69.4539167960644
2015-07-02,6630.47,6672.68663750064,-42.2166375006387
2015-07-03,6585.78,6667.27538058656,-81.4953805865594
2015-07-06,6535.68,6661.8119312641,-126.131931264096
2015-07-08,6490.7,6656.2980410568,-165.598041056796
2015-07-09,6581.63,6650.73540935014,-69.1054093501353
2015-07-10,6673.38,6645.12566707816,28.2543329218361
2015-07-13,6737.95,6639.4704166094,98.4795833905987
2015-07-14,6753.75,6633.7712719917,119.978728008304
2015-07-15,6753.75,6628.02988798028,125.720112019718
2015-07-16,6796.45,6622.24796892483,174.202031075168
2015-07-17,6775.08,6616.42727114263,158.652728857373
2015-07-20,6788.69,6610.56962295907,178.120377040927
2015-07-21,6769.07,6604.67691828032,164.393081719676
2015-07-22,6667.34,6598.75112464028,68.5888753597244
2015-07-23,6655.01,6592.79427752626,62.2157224737431
2015-07-24,6579.81,6586.80844077757,-6.99844077757272
2015-07-27,6505.13,6580.79570395089,-75.6657039508909
2015-07-28,6555.28,6574.75815371006,-19.4781537100588
2015-07-29,6631,6568.69784544182,62.3021545581751
2015-07-30,6668.87,6562.61682648138,106.253173518616
2015-07-31,6696.28,6556.51716991716,139.762830082836
2015-08-03,6688.62,6550.40099275836,138.219007241641
2015-08-04,6686.57,6544.27046978653,142.299530213472
2015-08-05,6752.41,6538.12783291738,214.282167082618
2015-08-06,6747.09,6531.97537288755,215.114627112447
2015-08-07,6718.49,6525.81546900929,192.674530990712
2015-08-10,6736.22,6519.65058951458,216.569410485418
2015-08-11,6664.54,6513.48328227934,151.056717720664
2015-08-12,6571.19,6507.31618470053,63.8738152994715
2015-08-13,6568.33,6501.15199661592,67.1780033840825
2015-08-14,6550.74,6494.99344426612,55.7465557338782
2015-08-17,6550.3,6488.84328166045,61.4567183395526
2015-08-18,6526.29,6482.70428585159,43.5857141484118
2015-08-19,6403.45,6476.57925929595,-73.1292592959526
2015-08-20,6367.89,6470.47102246658,-102.581022466579
2015-08-21,6187.65,6464.38236560774,-276.732365607736
2015-08-24,5898.87,6458.31603656093,-559.446036560927
2015-08-25,6081.34,6452.27466877756,-370.934668777557
2015-08-26,5979.2,6446.26066445648,-467.060664456479
2015-08-27,6192.03,6440.27627246715,-248.246272467152
2015-08-28,6247.94,6434.32354861492,-186.383548614925
2015-09-01,6058.54,6428.40444609017,-369.864446090172
2015-09-02,6083.31,6422.52084103971,-339.210841039709
2015-09-03,6194.1,6416.67445672329,-222.57445672329
2015-09-04,6042.92,6410.86687618456,-367.946876184565
2015-09-07,6074.52,6405.0995904639,-330.579590463897
2015-09-08,6146.1,6399.37393850707,-253.273938507074
2015-09-09,6229.01,6393.69112261167,-164.681122611673
2015-09-10,6155.81,6388.05224038202,-232.242240382021
2015-09-11,6117.76,6382.45832134984,-264.698321349837
2015-09-14,6084.59,6376.91029904723,-292.320299047228
2015-09-15,6137.6,6371.4089975907,-233.808997590698
2015-09-16,6229.21,6365.95512026335,-136.745120263348
2015-09-17,6186.99,6360.54927370101,-173.559273701015
2015-09-18,6104.11,6355.19200801455,-251.08200801455
2015-09-21,6108.71,6349.8838015723,-241.173801572305
2015-09-22,5935.84,6344.62502895553,-408.785028955531
2015-09-23,6032.24,6339.41596505392,-307.175965053926
2015-09-24,5961.49,6334.25671578192,-372.766715781923
2015-09-25,6109.01,6329.14726007969,-220.137260079688
2015-09-28,5958.86,6324.08742280069,-365.227422800685
2015-09-29,5909.24,6319.0769378025,-409.836937802499
2015-09-30,6061.61,6314.11538797229,-252.505387972294
2015-10-01,6072.47,6309.2021867871,-236.732186787101
2015-10-02,6129.98,6304.33664334855,-174.35664334855
2015-10-05,6298.92,6299.51796890255,-0.597968902552903
2015-10-06,6326.16,6294.745302623,31.4146973769973
2015-10-07,6336.35,6290.01778343668,46.3322165633191
2015-10-08,6374.82,6285.334563256,89.4854367440001
2015-10-09,6416.16,6280.69481314499,135.465186855014
2015-10-12,6371.18,6276.09774115769,95.082258842311
