"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2021-12-16,8250,8381.28554936278,-131.285549362777
2021-12-17,8206,8382.04633035568,-176.046330355682
2021-12-20,8066,8383.0617080795,-317.061708079499
2021-12-21,8092,8384.33364499863,-292.333644998632
2021-12-22,8102,8385.86397251707,-283.863972517071
2021-12-23,8140,8387.65440120056,-247.65440120056
2021-12-24,8174,8389.70652427624,-215.706524276241
2021-12-27,8282,8392.02183260042,-110.021832600417
2021-12-28,8316,8394.60172786561,-78.6017278656075
2021-12-29,8230,8397.44756628567,-167.447566285675
2021-12-30,8206,8400.56067158337,-194.560671583373
2021-12-31,8252,8403.9422982659,-151.9422982659
2022-01-04,8184,8407.59362041623,-223.593620416227
2022-01-05,8186,8411.51574931117,-225.515749311169
2022-01-06,8056,8415.70970380242,-359.709703802416
2022-01-07,8046,8420.17640952247,-374.176409522466
2022-01-10,7798,8424.91664341466,-626.916643414659
2022-01-11,7836,8429.93102775341,-593.931027753408
2022-01-12,7890,8435.21992566957,-545.219925669566
2022-01-13,7862,8440.78345478796,-578.783454787958
2022-01-14,7948,8446.62150736074,-498.621507360739
2022-01-17,8084,8452.73373639473,-368.733736394727
2022-01-18,7994,8459.11958878592,-465.11958878592
2022-01-19,8010,8465.77835901179,-455.778359011795
2022-01-20,8014,8472.70914928761,-458.709149287613
2022-01-21,7992,8479.91087342771,-487.910873427708
2022-01-24,7984,8487.38225563451,-503.382255634511
2022-01-25,7880,8495.12181842808,-615.121818428084
2022-01-26,7902,8503.12787625065,-601.127876250652
2022-01-27,7956,8511.3984892775,-555.398489277499
2022-01-28,8016,8519.93146920181,-503.931469201814
2022-02-07,8166,8528.72439813757,-362.72439813757
2022-02-08,8148,8537.7746498937,-389.774649893703
2022-02-09,8124,8547.0794483437,-423.079448343704
2022-02-10,8098,8556.63585624331,-458.635856243314
2022-02-11,7982,8566.44076146484,-584.440761464841
2022-02-14,7990,8576.49086229824,-586.490862298237
2022-02-15,8022,8586.78261544973,-564.782615449725
2022-02-16,7972,8597.31223519354,-625.312235193536
2022-02-17,7976,8608.07570234574,-632.075702345742
2022-02-18,7976,8619.06873924361,-643.068739243607
2022-02-21,8108,8630.2868069491,-522.286806949097
2022-02-22,7962,8641.72510070574,-679.725100705738
2022-02-23,7976,8653.37859986461,-677.378599864614
2022-02-24,8286,8665.2420028061,-379.242002806103
2022-02-25,8130,8677.3097279091,-547.309727909095
2022-02-28,8362,8689.57603678971,-327.576036789708
2022-03-01,8358,8702.03496482743,-344.03496482743
2022-03-02,8366,8714.68041199567,-348.680411995671
2022-03-03,8554,8727.50613605688,-173.506136056882
2022-03-04,8696,8740.50575064367,-44.505750643669
2022-03-07,8630,8753.67279766804,-123.672797668042
2022-03-08,8422,8767.00080064518,-345.000800645175
2022-03-09,8502,8780.48323196838,-278.483231968384
2022-03-10,8330,8794.11342142219,-464.113421422189
2022-03-11,8312,8807.88458367709,-495.884583677086
2022-03-14,8456,8821.78974155763,-365.789741557629
2022-03-15,8414,8835.82171290999,-421.821712909989
2022-03-16,8560,8849.97316437688,-289.973164376883
2022-03-17,8544,8864.23658823763,-320.236588237629
2022-03-18,8532,8878.60435690798,-346.604356907979
2022-03-21,8594,8893.06871043074,-299.068710430742
2022-03-22,8528,8907.62174557646,-379.621745576459
2022-03-23,8534,8922.25543549256,-388.255435492564
2022-03-24,9666,8936.9615964063,729.038403593699
2022-03-25,9618,8951.73188405567,666.268115944331
2022-03-28,9700,8966.5582555338,733.441744466201
2022-03-29,9704,8981.43294334237,722.567056657629
2022-03-30,9672,8996.34848315825,675.651516841746
2022-03-31,9672,9011.29770933856,660.702290661441
2022-04-01,9376,9026.27373552757,349.726264472425
2022-04-06,9352,9041.26994847727,310.73005152273
2022-04-07,9374,9056.27987950248,317.720120497519
2022-04-08,9390,9071.29718836131,318.702811638695
2022-04-11,9456,9086.31566614456,369.684333855434
2022-04-12,9480,9101.32923568202,378.670764317978
2022-04-13,9454,9116.33197261606,337.668027383935
2022-04-14,9414,9131.31810911634,282.681890883658
2022-04-15,9402,9146.28201693094,255.717983069058
2022-04-18,9572,9161.21818465717,410.781815342825
2022-04-19,9486,9176.12120659599,309.878793404014
2022-04-20,9278,9190.98584684893,87.0141531510719
2022-04-21,9250,9205.80699760898,44.1930023910199
2022-04-22,9024,9220.57958703745,-196.579587037448
2022-04-25,9030,9235.29856156289,-205.29856156289
2022-04-26,9120,9249.95878635617,-129.958786356166
2022-04-27,9138,9264.55504172574,-126.555041725738
2022-04-28,9172,9279.08205426054,-107.082054260536
2022-04-29,9404,9293.53449823628,110.465501763716
2022-05-05,9696,9307.90700366578,388.092996334217
2022-05-06,9614,9322.19424622359,291.805753776412
2022-05-09,9654,9336.39106200628,317.608937993722
2022-05-10,9668,9350.49240773131,317.507592268694
2022-05-11,9778,9364.4933714028,413.5066285972
2022-05-12,9760,9378.38917226994,381.610827730063
2022-05-13,9872,9392.17520050857,479.824799491435
2022-05-16,10410,9405.84700403741,1004.15299596259
2022-05-17,10454,9419.40032911545,1034.59967088454
2022-05-18,10350,9432.83133707782,917.168662922179
2022-05-19,10470,9446.13661692175,1023.86338307825
2022-05-20,10412,9459.31313676535,952.686863234646
2022-05-23,10556,9472.35828795031,1083.64171204969
2022-05-24,10766,9485.26985562099,1280.73014437901
2022-05-25,10716,9498.04607285562,1217.95392714438
2022-05-26,10574,9510.68570213467,1063.31429786533
2022-05-27,10476,9523.18800939186,952.811990608145
2022-05-30,10374,9535.55270009257,838.44729990743
2022-05-31,10336,9547.77987355564,788.220126444364
2022-06-01,10274,9559.86997568101,714.130024318995
2022-06-02,10286,9571.82377818691,714.17622181309
2022-06-06,10336,9583.64234798421,752.357652015785
2022-06-07,10202,9595.32704719535,606.672952804648
2022-06-08,10270,9606.87954893703,663.120451062971
2022-06-09,10224,9618.30177710056,605.698222899442
2022-06-10,10736,9629.59592968424,1106.40407031576
2022-06-13,10602,9640.76445505786,961.235544942145
2022-06-14,10208,9651.81025893418,556.189741065821
2022-06-15,10126,9662.73664436207,463.263355637931
2022-06-16,10082,9673.54714429681,408.452855703188
2022-06-17,10034,9684.24548318797,349.754516812034
2022-06-20,10006,9694.83555432374,311.164445676262
2022-06-21,10064,9705.32139556601,358.67860443399
2022-06-22,9700,9715.70717339988,-15.707173399881
2022-06-23,9790,9725.99720257358,64.0027974264157
2022-06-24,9632,9736.19579134297,-104.195791342968
2022-06-27,9558,9746.30727441983,-188.307274419831
