"EURUSDDate","EURUSDClose","EURUSD_hpft","EURUSD_hpfc"
2011-06-13,1.437,1.42838400314133,0.0086159968586737
2011-06-14,1.443,1.4283298120612,0.0146701879387973
2011-06-15,1.43,1.42826004912686,0.00173995087314254
2011-06-16,1.411,1.42817477431403,-0.0171747743140327
2011-06-17,1.429,1.42807404831764,0.000925951682361013
2011-06-20,1.423,1.42795792473328,-0.00495792473328236
2011-06-21,1.436,1.42782645753928,0.00817354246071859
2011-06-22,1.437,1.42767969866459,0.00932030133540982
2011-06-23,1.422,1.42751770341675,-0.00551770341674597
2011-06-24,1.419,1.42734053095592,-0.00834053095592087
2011-06-27,1.421,1.42714823816152,-0.00614823816152193
2011-06-28,1.427,1.42694087846529,5.91215347079234e-05
2011-06-29,1.443,1.42671850275751,0.0162814972424873
2011-06-30,1.448,1.42648116195297,0.0215188380470341
2011-07-01,1.453,1.42622891369651,0.0267710863034933
2011-07-04,1.452,1.42596182452804,0.0260381754719636
2011-07-05,1.448,1.42567997205351,0.0223200279464925
2011-07-06,1.434,1.42538344464207,0.00861655535792836
2011-07-07,1.429,1.42507233988902,0.00392766011097945
2011-07-08,1.427,1.42474675895141,0.00225324104859113
2011-07-11,1.411,1.42440680460982,-0.0134068046098225
2011-07-12,1.393,1.42405258057625,-0.0310525805762513
2011-07-13,1.407,1.42368418502085,-0.0166841850208458
2011-07-14,1.419,1.42330170327789,-0.00430170327788907
2011-07-15,1.416,1.42290521378505,-0.00690521378504901
2011-07-18,1.403,1.42249479320189,-0.0194947932018946
2011-07-19,1.418,1.42207051533363,-0.0040705153336338
2011-07-20,1.422,1.42163244592714,0.000367554072862168
2011-07-21,1.417,1.42118064904663,-0.00418064904662598
2011-07-22,1.436,1.42071518890828,0.0152848110917227
2011-07-25,1.437,1.42023612800019,0.0167638719998149
2011-07-26,1.448,1.41974353512853,0.028256464871466
2011-07-27,1.446,1.41923748602906,0.0267625139709431
2011-07-28,1.43,1.41871806811752,0.0112819318824774
2011-07-29,1.44,1.41818537987229,0.0218146201277141
2011-08-01,1.443,1.41763952443523,0.0253604755647695
2011-08-02,1.419,1.41708061396547,0.00191938603453434
2011-08-03,1.432,1.41650877110512,0.015491228894883
2011-08-04,1.425,1.4159241192897,0.00907588071030251
2011-08-05,1.428,1.41532678835822,0.0126732116417829
2011-08-08,1.427,1.41471691190125,0.0122830880987529
2011-08-09,1.427,1.41409462874796,0.0129053712520411
2011-08-10,1.438,1.41346008280488,0.0245399171951166
2011-08-11,1.424,1.41281342331309,0.0111865766869132
2011-08-12,1.425,1.41215480965748,0.0128451903425236
2011-08-15,1.444,1.41148440584698,0.0325155941530249
2011-08-16,1.441,1.41080238120027,0.0301976187997343
2011-08-17,1.443,1.41010891847666,0.0328910815233406
2011-08-18,1.433,1.40940421291794,0.0235957870820646
2011-08-19,1.44,1.40868847336169,0.0313115266383064
2011-08-22,1.436,1.40796191839913,0.0280380816008741
2011-08-23,1.443,1.40722477956434,0.03577522043566
2011-08-24,1.441,1.40647729998124,0.0345227000187643
2011-08-25,1.438,1.40571973756177,0.0322802624382258
2011-08-26,1.45,1.40495236448824,0.0450476355117577
2011-08-29,1.451,1.40417546628622,0.0468245337137767
2011-08-30,1.444,1.40338934710222,0.0406106528977771
2011-08-31,1.438,1.4025943304381,0.0354056695619041
2011-09-01,1.426,1.40179075658253,0.0242092434174673
2011-09-02,1.42,1.4009789804595,0.0190210195404967
2011-09-05,1.409,1.40015936700011,0.00884063299989137
2011-09-06,1.4,1.39933228899796,0.000667711002035997
2011-09-07,1.41,1.39849812290105,0.0115018770989451
2011-09-08,1.388,1.39765724543337,-0.00965724543336965
2011-09-09,1.365,1.3968100380733,-0.0318100380732984
2011-09-12,1.368,1.39595687830733,-0.0279568783073316
2011-09-13,1.368,1.39509813047296,-0.027098130472957
2011-09-14,1.375,1.39423414735141,-0.0192341473514118
2011-09-15,1.388,1.39336527052266,-0.00536527052266447
2011-09-16,1.379,1.39249183361605,-0.0134918336160546
2011-09-19,1.368,1.39161416804314,-0.0236141680431387
2011-09-20,1.37,1.39073259963849,-0.0207325996384874
2011-09-21,1.357,1.38984744447552,-0.0328474444755226
2011-09-22,1.346,1.38895901005765,-0.0429590100576502
2011-09-23,1.349,1.38806759031046,-0.0390675903104624
2011-09-26,1.353,1.38717346140202,-0.0341734614020189
2011-09-27,1.359,1.38627688335141,-0.0272768833514133
2011-09-28,1.353,1.3853781020518,-0.0323781020517984
2011-09-29,1.359,1.38447735212117,-0.0254773521211672
2011-09-30,1.339,1.3835748547937,-0.0445748547937021
2011-10-03,1.317,1.38267082077228,-0.0656708207722775
2011-10-04,1.335,1.38176544233431,-0.0467654423343116
2011-10-05,1.335,1.38085888461155,-0.0458588846115467
2011-10-06,1.343,1.37995129340477,-0.0369512934047717
2011-10-07,1.337,1.37904279555856,-0.0420427955585571
2011-10-10,1.364,1.37813350264329,-0.0141335026432945
2011-10-11,1.364,1.37722350885057,-0.0132235088505747
2011-10-12,1.379,1.37631290252977,0.0026870974702329
2011-10-13,1.377,1.37540176656417,0.00159823343582648
2011-10-14,1.387,1.37449018494783,0.0125098150521665
2011-10-17,1.373,1.37357824233543,-0.000578242335431767
2011-10-18,1.374,1.37266602855271,0.00133397144729085
2011-10-19,1.375,1.37175363318638,0.00324636681361723
2011-10-20,1.378,1.37084114637458,0.00715885362541886
2011-10-21,1.39,1.36992865959735,0.0200713404026503
2011-10-24,1.393,1.36901626729392,0.0239837327060838
2011-10-25,1.391,1.36810407220019,0.0228959277998066
2011-10-26,1.39,1.36719218696601,0.0228078130339947
2011-10-27,1.419,1.36628073370543,0.0527192662945702
2011-10-28,1.415,1.36536984396038,0.0496301560396201
2011-10-31,1.385,1.36445967106479,0.0205403289352062
2011-11-01,1.369,1.36355038886771,0.0054496111322851
2011-11-02,1.375,1.36264217970874,0.0123578202912592
2011-11-03,1.381,1.36173522818011,0.019264771819886
2011-11-04,1.379,1.3608297239823,0.0181702760176957
2011-11-07,1.377,1.35992586477906,0.0170741352209369
2011-11-08,1.383,1.359023855745,0.0239761442549965
2011-11-09,1.355,1.3581239091125,-0.00312390911250231
2011-11-10,1.361,1.35722624702471,0.00377375297529192
2011-11-11,1.375,1.35633109033346,0.0186689096665372
2011-11-14,1.363,1.35543866145054,0.00756133854945896
2011-11-15,1.353,1.35454919050468,-0.00154919050468305
2011-11-16,1.346,1.35366291075019,-0.00766291075018881
2011-11-17,1.346,1.35278005480098,-0.00678005480097941
2011-11-18,1.351,1.35190085210344,-0.000900852103439685
2011-11-21,1.35,1.35102552930136,-0.00102552930136266
2011-11-22,1.351,1.35015431266614,0.000845687333856
2011-11-23,1.333,1.34928742804528,-0.0162874280452762
2011-11-24,1.335,1.34842510163584,-0.0134251016358383
2011-11-25,1.323,1.34756755290232,-0.0245675529023206
2011-11-28,1.331,1.34671499575983,-0.0157149957598252
2011-11-29,1.333,1.34586763396822,-0.0128676339682231
2011-11-30,1.344,1.34502566479143,-0.00102566479142968
2011-12-01,1.346,1.34418928017439,0.00181071982561199
2011-12-02,1.34,1.34335867163809,-0.00335867163808944
2011-12-05,1.34,1.342534031452,-0.00253403145200348
2011-12-06,1.34,1.34171555049726,-0.00171555049725507
2011-12-07,1.341,1.34090341860749,9.65813925059311e-05
2011-12-08,1.334,1.34009782490725,-0.00609782490725061
2011-12-09,1.338,1.33929895856096,-0.00129895856096283
2011-12-12,1.319,1.33850700621246,-0.0195070062124649
2011-12-13,1.304,1.33772215396867,-0.0337221539686674
2011-12-14,1.298,1.33694457987307,-0.0389445798730678
2011-12-15,1.302,1.33617444802979,-0.0341744480297898
2011-12-16,1.304,1.33541190644482,-0.0314119064448247
2011-12-19,1.299,1.33465708899782,-0.0356570889978177
2011-12-20,1.308,1.33391011658398,-0.0259101165839828
2011-12-21,1.304,1.33317109535935,-0.0291710953593535
2011-12-22,1.305,1.33244012076976,-0.0274401207697551
2011-12-23,1.304,1.33171727620285,-0.0277172762028544
2011-12-26,1.305,1.33100263370367,-0.0260026337036731
2011-12-27,1.307,1.33029625386,-0.0232962538600049
2011-12-28,1.294,1.32959818651124,-0.0355981865112412
2011-12-29,1.296,1.32890847186701,-0.0329084718670143
2011-12-30,1.294,1.32822713542211,-0.0342271354221138
2012-01-02,1.293,1.32755418906826,-0.0345541890682635
2012-01-03,1.305,1.32688963054909,-0.0218896305490895
2012-01-04,1.294,1.32623344332489,-0.0322334433248897
2012-01-05,1.278,1.32558560180767,-0.0475856018076693
2012-01-06,1.272,1.32494606708545,-0.0529460670854458
2012-01-09,1.276,1.32431478057625,-0.0483147805762462
2012-01-10,1.277,1.32369166181232,-0.0466916618123171
2012-01-11,1.271,1.32307661035451,-0.0520766103545148
2012-01-12,1.283,1.32246950646326,-0.0394695064632598
2012-01-13,1.267,1.32187020887259,-0.0548702088725905
2012-01-16,1.266,1.32127856000143,-0.0552785600014253
2012-01-17,1.274,1.32069437958756,-0.0466943795875558
2012-01-18,1.286,1.32011746451884,-0.0341174645188374
2012-01-19,1.296,1.31954759238155,-0.0235475923815487
2012-01-20,1.293,1.31898452665917,-0.0259845266591731
2012-01-23,1.303,1.31842802110157,-0.0154280211015728
2012-01-24,1.303,1.31787781871766,-0.0148778187176583
2012-01-25,1.311,1.31733365613899,-0.00633365613898861
2012-01-26,1.31,1.31679526384726,-0.0067952638472642
2012-01-27,1.323,1.3162623697061,0.00673763029390193
2012-01-30,1.314,1.3157346987702,-0.00173469877019615
2012-01-31,1.308,1.31521197887935,-0.00721197887935259
2012-02-01,1.316,1.31469393715629,0.00130606284370549
2012-02-02,1.315,1.3141802977426,0.000819702257400293
2012-02-03,1.314,1.31367078531974,0.000329214680262822
2012-02-06,1.313,1.31316512490801,-0.000165124908007127
2012-02-07,1.326,1.31266304166378,0.0133369583362195
2012-02-08,1.325,1.31216426067518,0.0128357393248201
2012-02-09,1.329,1.31166851254329,0.0173314874567077
2012-02-10,1.318,1.31117553317498,0.00682446682502445
2012-02-13,1.319,1.31068506564123,0.00831493435876614
2012-02-14,1.312,1.31019685583403,0.00180314416596862
2012-02-15,1.307,1.30971065308238,-0.00271065308238422
2012-02-16,1.313,1.30922620746067,0.00377379253933366
2012-02-17,1.315,1.30874326792277,0.0062567320772287
