"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2015-06-23,4730.8,4233.37439858644,497.425601413559
2015-06-24,4858.2,4227.74895380505,630.451046194953
2015-06-25,4587.2,4221.89190717298,365.30809282702
2015-06-26,4212.4,4215.81089995289,-3.41089995289536
2015-06-29,4014.2,4209.51372441094,-195.313724410938
2015-06-30,4381.4,4203.00817140297,178.39182859703
2015-07-01,4059,4196.30195105073,-137.301951050725
2015-07-02,4130,4189.40284721551,-59.402847215512
2015-07-03,3931.8,4182.31858700361,-250.518587003606
2015-07-06,4040.6,4175.05687296682,-134.456872966824
2015-07-07,3696.8,4167.62530410204,-470.825304102041
2015-07-08,3463.4,4160.03142382765,-696.631423827653
2015-07-09,3810,4152.28258094172,-342.282580941717
2015-07-10,4166.6,4144.38583628267,22.2141637173269
2015-07-13,4085.4,4136.34810920323,-50.9481092032253
2015-07-14,4001.6,4128.17632823867,-126.576328238674
2015-07-15,3858.4,4119.87740086419,-261.477400864193
2015-07-16,4008,4111.45818223314,-103.458182233141
2015-07-17,4124.4,4102.92541941506,21.4745805849441
2015-07-20,3950,4094.28581671382,-144.285816713815
2015-07-21,3969,4085.54608731027,-116.54608731027
2015-07-22,3945.2,4076.712884743,-131.512884742997
2015-07-23,4183.8,4067.79281437532,116.007185624678
2015-07-24,4012.2,4058.79242720843,-46.5924272084269
2015-07-27,3647.8,4049.71832219606,-401.91832219606
2015-07-28,3654,4040.57707903263,-386.577079032627
2015-07-29,3821.4,4031.37511127574,-209.975111275736
2015-07-30,3653.8,4022.1186726874,-368.318672687397
2015-07-31,3693.4,4012.81393023452,-319.413930234521
2015-08-03,3638.2,4003.46689863574,-365.266898635737
2015-08-04,3837.6,3994.08346057693,-156.483460576929
2015-08-05,3762.6,3984.66934775725,-222.069347757251
2015-08-06,3766.8,3975.23022719195,-208.430227191954
2015-08-07,3854.6,3965.77167410175,-111.171674101748
2015-08-10,4032.8,3956.2991775506,76.5008224494015
2015-08-11,4001.2,3946.81818064862,54.3818193513762
2015-08-12,3966.8,3937.33415812827,29.4658418717297
2015-08-13,4015.6,3927.85260720127,87.7473927987285
2015-08-14,4008.6,3918.37903725935,90.2209627406503
2015-08-17,4003.8,3908.91899396544,94.8810060345561
2015-08-18,3755,3899.47806027627,-144.478060276269
2015-08-19,3808.2,3890.06185836847,-81.8618583684742
2015-08-20,3748.4,3880.67595069735,-132.275950697352
2015-08-21,3645.4,3871.32586587975,-225.925865879754
2015-08-24,3132.2,3862.01707785486,-729.817077854858
2015-08-25,2821.6,3852.75496717337,-1031.15496717337
2015-08-26,2749.6,3843.54461270898,-1093.94461270898
2015-08-27,3030.8,3834.3906670972,-803.590667097202
2015-08-28,3188.4,3825.29733078088,-636.897330780877
2015-08-31,3070.2,3816.26847203075,-746.068472030754
2015-09-01,2999,3807.30769585009,-808.30769585009
2015-09-02,2965.8,3798.41829884716,-832.618298847156
2015-09-07,3096.2,3789.60324350834,-693.403243508341
2015-09-08,3338,3780.86514814924,-442.865148149236
2015-09-09,3328.2,3772.20634446044,-444.006344460441
2015-09-10,3296.6,3763.62898106975,-467.028981069755
2015-09-11,3311.4,3755.13502307059,-443.735023070591
2015-09-14,3130.6,3746.72624250559,-616.126242505594
2015-09-15,3142.2,3738.40422799493,-596.204227994932
2015-09-16,3304.8,3730.17031347725,-425.370313477247
2015-09-17,3240.6,3722.02558644402,-481.425586444024
2015-09-18,3255,3713.97095855576,-458.970958555755
